Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 182DF2E0	2F7BDA4	42D0D30	
DEC 1 : 405664480.000000	49790372.000000	70061360.000000	
HEX 2 : 1D2F8D20	15A32F80	1DC1A100	
DEC 2 : 489655584.000000	363016064.000000	499228928.000000	
HEX 3 : 7A5D4B8	B549BC0	10138780	
DEC 3 : 128308408.000000	190094272.000000	269715328.000000	
HEX 4 : 67AE000	1990B5A0	ABDF880	
DEC 4 : 108716032.000000	428914080.000000	180222080.000000	
HEX 5 : 21C4800	66D7800	EAA6690	
DEC 5 : 35407872.000000	107837440.000000	246048400.000000	
HEX 6 : C4DA350	1C5D8B40	E9B74B0	
DEC 6 : 206414672.000000	475892544.000000	245068976.000000	
HEX 7 : 138AA160	FC6B8F0	FC17970	
DEC 7 : 327852384.000000	264681712.000000	264337776.000000	
HEX 8 : 17DE0A60	9FAEE20	703B4B8	
DEC 8 : 400427616.000000	167439904.000000	117683384.000000	
HEX 9 : 5C3A878	15E82260	1B33DC40	
DEC 9 : 96708728.000000	367534688.000000	456383552.000000	
HEX 10 : CB4E690	18A191E0	1A2AF6A0	
DEC 10 : 213182096.000000	413241824.000000	439023264.000000	
HEX 11 : E653B50	1EA7F3C0	1E6E9A60	
DEC 11 : 241515344.000000	514323392.000000	510564960.000000	
HEX 12 : 2A0B5A4	1DF97100	157C2C40	
DEC 12 : 44086692.000000	502886656.000000	360459328.000000	
HEX 13 : C86EA60	F047A60	1AB023C0	
DEC 13 : 210168416.000000	251951712.000000	447751104.000000	
HEX 14 : 11BE52E0	97C9530	1A00D1E0	
DEC 14 : 297685728.000000	159159600.000000	436261344.000000	
HEX 15 : 1F431880	14CED3C0	8E623C0	
DEC 15 : 524490880.000000	349098944.000000	149300160.000000	
HEX 16 : 15FE3900	6C0FA58	DFBDC40	
DEC 16 : 368982272.000000	113310296.000000	234609728.000000	
HEX 17 : 190E8E20	11A7A960	411BB48	
DEC 17 : 420384288.000000	296200544.000000	68270920.000000	
HEX 18 : 3B0A43C	1C93B5A0	1E034000	
DEC 18 : 61908028.000000	479442336.000000	503529472.000000	
HEX 19 : CF3B4B	10B1ABC0	124F3F00	
DEC 19 : 13581131.000000	280079296.000000	307183360.000000	
HEX 20 : BD19CB0	135DA3C0	584C788	
DEC 20 : 198286512.000000	324903872.000000	92587912.000000	
HEX 21 : 17213DA0	15311E20	A8854B0	
DEC 21 : 388054432.000000	355540512.000000	176706736.000000	
HEX 22 : DEC6E90	14F7FF00	13978D20	
DEC 22 : 233598608.000000	351796992.000000	328699168.000000	
HEX 23 : 131CE260	175C6900	4311E20	
DEC 23 : 320660064.000000	391932160.000000	70327840.000000	
HEX 24 : 15DA5DA0	1F0284C0	162F81E0	
DEC 24 : 366632352.000000	520258752.000000	372212192.000000	
HEX 25 : 17F3A4C0	B90F000	1449A100	
DEC 25 : 401843392.000000	194048000.000000	340369664.000000	
HEX 26 : E112710	C0964B0	13F291E0	
DEC 26 : 236005136.000000	201942192.000000	334664160.000000	
HEX 27 : 1B923C4	E45E8F0	1CE1CB40	
DEC 27 : 28910532.000000	239462640.000000	484559680.000000	
HEX 28 : 6F35800	18377800	12268A60	
DEC 28 : 116611072.000000	406288384.000000	304515680.000000	
HEX 29 : A27B3C0	1E189100	159CF1E0	
DEC 29 : 170374080.000000	504926464.000000	362607072.000000	
HEX 30 : 11A5A	1D57CD20	4FBE3C0	
DEC 30 : 72282.000000	492293408.000000	83616704.000000	
HEX 31 : 4647D30	AAB9B50	16D55880	
DEC 31 : 73694512.000000	179018576.000000	383080576.000000	
HEX 32 : 1A6D14C0	1901E100	4F0CF10	
DEC 32 : 443356352.000000	419553536.000000	82890512.000000	
HEX 33 : 11BFF520	5014F88	13F3EB40	
DEC 33 : 297792800.000000	83971976.000000	334752576.000000	
HEX 34 : 3FAC078	18612780	F3CC3C	
DEC 34 : 66764920.000000	409020288.000000	15977532.000000	
HEX 35 : 1F57C4C0	14FFC100	108296A0	
DEC 35 : 525845696.000000	352305408.000000	276993696.000000	
HEX 36 : 82D83C0	1D7E1C40	48BF0F0	
DEC 36 : 137200576.000000	494804032.000000	76280048.000000	
HEX 37 : 8239BC0	3449800	80014B0	
DEC 37 : 136551360.000000	54827008.000000	134223024.000000	
HEX 38 : 5247878	12568700	C6021E0	
DEC 38 : 86276216.000000	307660544.000000	207626720.000000	
HEX 39 : 13B0D520	F2C1690	1E8A0000	
DEC 39 : 330356000.000000	254547600.000000	512360448.000000	
HEX 40 : 116502E0	6370078	4A3EE20	
DEC 40 : 291832544.000000	104267896.000000	77852192.000000	
HEX 41 : 430F530	A70C3C	2258A5C	
DEC 41 : 70317360.000000	10947644.000000	36014684.000000	
HEX 42 : 1FC50880	53B55A8	1AF382E0	
DEC 42 : 533006464.000000	87774632.000000	452166368.000000	
HEX 43 : 588F1E0	F115440	59B04B8	
DEC 43 : 92860896.000000	252793920.000000	94045368.000000	
HEX 44 : 1FFBD2E	8359690	48784B8	
DEC 44 : 33537326.000000	137729680.000000	75990200.000000	
HEX 45 : FA40CB0	51D3258	1FC2C960	
DEC 45 : 262409392.000000	85799512.000000	532859232.000000	
HEX 46 : C781440	16F9F88	1A01E780	
DEC 46 : 209196096.000000	24092552.000000	436332416.000000	
HEX 47 : 1F33A960	1476AE20	1612D2	
DEC 47 : 523479392.000000	343322144.000000	1446610.000000	
HEX 48 : 19F523C0	FB84A60	1A66DA60	
DEC 48 : 435495872.000000	263735904.000000	442948192.000000	
HEX 49 : CB7E9E0	18F2D960	8C1C3C	
DEC 49 : 213379552.000000	418568544.000000	9182268.000000	
HEX 50 : 12FB49E0	10B82D20	17346880	
DEC 50 : 318458336.000000	280505632.000000	389310592.000000	
HEX 51 : 11C88440	1046EA60	203B000	
DEC 51 : 298353728.000000	273082976.000000	33796096.000000	
HEX 52 : 19C16C40	4109698	15A5CC40	
DEC 52 : 432106560.000000	68195992.000000	363187264.000000	
HEX 53 : 18FA34C0	8601F10	1BC59100	
DEC 53 : 419050688.000000	140517136.000000	465932544.000000	
HEX 54 : 1EC4A000	69A15A8	47344B8	
DEC 54 : 516202496.000000	110761384.000000	74663096.000000	
HEX 55 : 1A65B960	1AC51880	EEDBB50	
DEC 55 : 442874208.000000	449124480.000000	250461008.000000	
HEX 56 : 7999710	115A14C0	157EC6A0	
DEC 56 : 127506192.000000	291116224.000000	360629920.000000	
HEX 57 : 1E892960	D6BD440	7A24000	
DEC 57 : 512305504.000000	225170496.000000	128073728.000000	
HEX 58 : 14CEE6A0	180F9E2	1B39A100	
DEC 58 : 349103776.000000	25229794.000000	456761600.000000	
HEX 59 : 8D2C170	5153078	144B95A0	
DEC 59 : 148029808.000000	85274744.000000	340497824.000000	
HEX 60 : 186A8DA0	143D7100	135CD4C0	
DEC 60 : 409636256.000000	339570944.000000	324850880.000000	
HEX 61 : 1D1BC6A0	8939E20	FA39B50	
DEC 61 : 488359584.000000	143892000.000000	262380368.000000	
HEX 62 : 1AD144C0	F84C530	DD5FE20	
DEC 62 : 449922240.000000	260359472.000000	232128032.000000	
HEX 63 : 16CA1EA0	1D3E3960	1D96D1E0	
DEC 63 : 382344864.000000	490617184.000000	496423392.000000	
HEX 64 : 141B0EA0	17F53340	18F24960	
DEC 64 : 337317536.000000	401945408.000000	418531680.000000	
HEX 65 : D5AE1E0	8F85A6	CB51880	
DEC 65 : 224059872.000000	9405862.000000	213194880.000000	
HEX 66 : C195000	CC9AD3	1A4C878	
DEC 66 : 202985472.000000	13408979.000000	27576440.000000	
HEX 67 : 6278710	14452D	EDACE20	
DEC 67 : 103253776.000000	1328429.000000	249220640.000000	
HEX 68 : 1297710	1DB55B40	E186B50	
DEC 68 : 19494672.000000	498424640.000000	236481360.000000	
HEX 69 : 15D1F2E0	1DD2F000	16FD2D2	
DEC 69 : 366080736.000000	500363264.000000	24105682.000000	
HEX 70 : A28DA6	16142080	782BC40	
DEC 70 : 10653094.000000	370417792.000000	126008384.000000	
HEX 71 : C5FDD30	10A6D900	D9EEA60	
DEC 71 : 207609136.000000	279369984.000000	228518496.000000	
HEX 72 : 116C3960	D5C45A0	8F251E0	
DEC 72 : 292305248.000000	224150944.000000	150098400.000000	
HEX 73 : 13CE1E20	1CF82100	95C5F10	
DEC 73 : 332275232.000000	486023424.000000	157048592.000000	
HEX 74 : 97DABC0	82B1CB0	1BC6E6A0	
DEC 74 : 159230912.000000	137043120.000000	466020000.000000	
HEX 75 : 1BE51E20	1A3DBB40	164A8880	
DEC 75 : 468000288.000000	440253248.000000	373983360.000000	
HEX 76 : E900440	7EE9168	DA7B000	
DEC 76 : 244319296.000000	133075304.000000	229093376.000000	
HEX 77 : 13419340	199EE100	110522E0	
DEC 77 : 323064640.000000	429842688.000000	285549280.000000	
HEX 78 : 1F246000	DC2ABC0	14B502E0	
DEC 78 : 522477568.000000	230861760.000000	347407072.000000	
HEX 79 : BD3E97	20F7878	8B03000	
DEC 79 : 12402327.000000	34568312.000000	145764352.000000	
HEX 80 : B120170	A0FFE20	69C0C40	
DEC 80 : 185729392.000000	168820256.000000	110890048.000000	
HEX 81 : FC8AC40	16CC51E0	AEBFE20	
DEC 81 : 264809536.000000	382489056.000000	183238176.000000	
HEX 82 : 14748CC0	6CCDA5	A349F10	
DEC 82 : 343182528.000000	7130533.000000	171220752.000000	
HEX 83 : 4C47CB8	176ABC4	199A23C0	
DEC 83 : 79985848.000000	24554436.000000	429532096.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
