Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 77
HEX 1 : 1A3E9C40	56745A8	1DE8B960	
DEC 1 : 440310848.000000	90654120.000000	501791072.000000	
HEX 2 : 7ADAB48	4F3696	12DCF3C0	
DEC 2 : 128822088.000000	5191318.000000	316470208.000000	
HEX 3 : 1A62E000	D5A078	13539D20	
DEC 3 : 442687488.000000	14000248.000000	324246816.000000	
HEX 4 : 4C755A8	FAB8260	1B9C4B4	
DEC 4 : 80172456.000000	262898272.000000	28951732.000000	
HEX 5 : 3602878	F576530	D9BC3C0	
DEC 5 : 56633464.000000	257385776.000000	228312000.000000	
HEX 6 : C919E20	1BA136A0	1DCBC1E0	
DEC 6 : 210869792.000000	463550112.000000	499892704.000000	
HEX 7 : D9235A0	10F32880	17BC14C0	
DEC 7 : 227685792.000000	284371072.000000	398202048.000000	
HEX 8 : 13909C40	14685900	13B95F00	
DEC 8 : 328244288.000000	342382848.000000	330915584.000000	
HEX 9 : 12036780	DDB48F0	4D7C0F0	
DEC 9 : 302212992.000000	232474864.000000	81248496.000000	
HEX 10 : 10A64E20	16048AE0	65011E0	
DEC 10 : 279334432.000000	369396448.000000	105910752.000000	
HEX 11 : 181F4F00	1A9C3B40	1227D960	
DEC 11 : 404705024.000000	446446400.000000	304601440.000000	
HEX 12 : 169E5E20	165939E0	C219A60	
DEC 12 : 379477536.000000	374946272.000000	203528800.000000	
HEX 13 : C47CA60	98751E0	12C74B4	
DEC 13 : 206031456.000000	159863264.000000	19690676.000000	
HEX 14 : F6230F0	1D7F46A0	46341E0	
DEC 14 : 258093296.000000	494880416.000000	73613792.000000	
HEX 15 : 11041880	1D201000	12C61100	
DEC 15 : 285481088.000000	488640512.000000	314970368.000000	
HEX 16 : 167E0A60	1F708A60	2D80000	
DEC 16 : 377358944.000000	527469152.000000	47710208.000000	
HEX 17 : 19464E20	1131EF80	753C0F0	
DEC 17 : 424037920.000000	288485248.000000	122929392.000000	
HEX 18 : 1E12D4C0	9B13530	190C1C40	
DEC 18 : 504550592.000000	162608432.000000	420224064.000000	
HEX 19 : 91700F0	14E504C0	1C52CA60	
DEC 19 : 152502512.000000	350553280.000000	475187808.000000	
HEX 20 : 35B7E20	7858CB8	14BD7F00	
DEC 20 : 56327712.000000	126192824.000000	347963136.000000	
HEX 21 : 115854C0	A41FE20	12905D20	
DEC 21 : 291001536.000000	172097056.000000	311450912.000000	
HEX 22 : 1776BA60	D2BA260	1645A960	
DEC 22 : 393656928.000000	220963424.000000	373664096.000000	
HEX 23 : 1E847100	1346A4C0	256F000	
DEC 23 : 511996160.000000	323396800.000000	39251968.000000	
HEX 24 : 9460780	A7F1CB0	11282000	
DEC 24 : 155584384.000000	176102576.000000	287842304.000000	
HEX 25 : 157CEF00	5F55CB8	17271B40	
DEC 25 : 360509184.000000	99966136.000000	388438848.000000	
HEX 26 : 1ADEB6A0	B8A1440	29EA698	
DEC 26 : 450803360.000000	193598528.000000	43951768.000000	
HEX 27 : 1DD2A880	6BDC2D0	8E090F0	
DEC 27 : 500344960.000000	113099472.000000	148934896.000000	
HEX 28 : 170AF100	A03EDA0	8EC1690	
DEC 28 : 386593024.000000	168029600.000000	149690000.000000	
HEX 29 : 1ADC7A60	1CD8E960	866B0F0	
DEC 29 : 450656864.000000	483977568.000000	140947696.000000	
HEX 30 : AE3E000	11EA82E0	8E68780	
DEC 30 : 182706176.000000	300581600.000000	149325696.000000	
HEX 31 : 1E9684C0	100D9440	1EF24C40	
DEC 31 : 513180864.000000	269325376.000000	519195712.000000	
HEX 32 : 7EF51E0	B3BEF80	714C878	
DEC 32 : 133124576.000000	188477312.000000	118802552.000000	
HEX 33 : DF6969	213D1E0	102BC880	
DEC 33 : 14641513.000000	34853344.000000	271304832.000000	
HEX 34 : 14C916A0	F28C1E0	DEF9A60	
DEC 34 : 348722848.000000	254329312.000000	233806432.000000	
HEX 35 : 9C60D30	1B0E7960	8C6DD30	
DEC 35 : 163974448.000000	453933408.000000	147250480.000000	
HEX 36 : 161F7000	BB38C40	1E1AFE20	
DEC 36 : 371159040.000000	196316224.000000	505085472.000000	
HEX 37 : CE421E0	43A03C0	16A0C880	
DEC 37 : 216277472.000000	70910912.000000	379635840.000000	
HEX 38 : 5823E20	16AD9100	4614E20	
DEC 38 : 92421664.000000	380473600.000000	73485856.000000	
HEX 39 : 132A5880	53C1620	D4230F0	
DEC 39 : 321542272.000000	87823904.000000	222441712.000000	
HEX 40 : 1E68AC40	14B21A60	BD81E20	
DEC 40 : 510176320.000000	347216480.000000	198712864.000000	
HEX 41 : 321C5A4	149DBC4	9082880	
DEC 41 : 52544932.000000	21617604.000000	151529600.000000	
HEX 42 : 127C4E20	12F016A	1D341E20	
DEC 42 : 310136352.000000	19857770.000000	489954848.000000	
HEX 43 : C9C0F1	1C99CA60	6C23A58	
DEC 43 : 13222129.000000	479840864.000000	113392216.000000	
HEX 44 : 4D50C40	18CB74C0	1451C1E0	
DEC 44 : 81071168.000000	415986880.000000	340902368.000000	
HEX 45 : 1C7B0F0	1CD833C0	E37ED30	
DEC 45 : 29864176.000000	483931072.000000	238546224.000000	
HEX 46 : 3EE5968	7E94B48	C860780	
DEC 46 : 65952104.000000	132729672.000000	210110336.000000	
HEX 47 : 176C4C40	12C3AF80	1B4FF100	
DEC 47 : 392973376.000000	314814336.000000	458223872.000000	
HEX 48 : 1FE15000	1A465100	1F15F4C0	
DEC 48 : 534859776.000000	440815872.000000	521532608.000000	
HEX 49 : 6AD9E20	161B7BC0	D884A60	
DEC 49 : 112041504.000000	370899904.000000	227035744.000000	
HEX 50 : 193831E0	102734C	BC764B0	
DEC 50 : 423113184.000000	16937804.000000	197616816.000000	
HEX 51 : A10F0	C5B2F10	1D6185A0	
DEC 51 : 659696.000000	207302416.000000	492930464.000000	
HEX 52 : 28AE000	125DA260	19990D20	
DEC 52 : 42655744.000000	308126304.000000	429460768.000000	
HEX 53 : 1789A880	17D53900	3DF8C3C	
DEC 53 : 394897536.000000	399849728.000000	64982076.000000	
HEX 54 : E1A10F0	ADE2080	B6421E0	
DEC 54 : 236589296.000000	182329472.000000	191111648.000000	
HEX 55 : F11FC40	17C766A0	DD785A0	
DEC 55 : 252836928.000000	398943904.000000	232228256.000000	
HEX 56 : 1C237A60	17836A60	17DCBB40	
DEC 56 : 472087136.000000	394488416.000000	400341824.000000	
HEX 57 : DBFC000	10B8F900	101CB6A0	
DEC 57 : 230670336.000000	280557824.000000	270317216.000000	
HEX 58 : 5116E20	77FFE98	6D15A5	
DEC 58 : 85028384.000000	125828760.000000	7148965.000000	
HEX 59 : A1065A0	2294000	3EE65A4	
DEC 59 : 168846752.000000	36257792.000000	65955236.000000	
HEX 60 : 107CFF00	13F34960	1DFE93C0	
DEC 60 : 276627200.000000	334711136.000000	503223232.000000	
HEX 61 : FF85000	A31AC40	1A0926A0	
DEC 61 : 267931648.000000	171027520.000000	436807328.000000	
HEX 62 : 69FAC40	68B8F1	1B2C13C0	
DEC 62 : 111127616.000000	6863089.000000	455873472.000000	
HEX 63 : 981BA60	1DBCB4C0	FCECD30	
DEC 63 : 159496800.000000	498906304.000000	265211184.000000	
HEX 64 : 197405A0	2A0EBC4	4462C40	
