Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
HEX 1 : B8E2970	6E55F10	DACB3C0	
DEC 1 : 193866096.000000	115695376.000000	229422016.000000	
HEX 2 : 1A1E000	1917B2E0	5F77A58	
DEC 2 : 27385856.000000	420983520.000000	100104792.000000	
HEX 3 : 14A26000	134B8880	15469F00	
DEC 3 : 346185728.000000	323717248.000000	356949760.000000	
HEX 4 : 3A265A4	17894B40	18928D20	
DEC 4 : 60974500.000000	394873664.000000	412257568.000000	
HEX 5 : 12C17780	58658F0	F659690	
DEC 5 : 314668928.000000	92690672.000000	258315920.000000	
HEX 6 : 9755780	FA1D3C0	BB8B3C0	
DEC 6 : 158685056.000000	262263744.000000	196654016.000000	
HEX 7 : EBFBF10	181224C0	16155100	
DEC 7 : 247447312.000000	403842240.000000	370495744.000000	
HEX 8 : 11BB22E0	12F4CF00	85A7A60	
DEC 8 : 297476832.000000	318033664.000000	140147296.000000	
HEX 9 : 187E7000	16742D2	12001F00	
DEC 9 : 410939392.000000	23544530.000000	301997824.000000	
HEX 10 : 9018B50	1DCE3C40	C7A14B0	
DEC 10 : 151096144.000000	500055104.000000	209327280.000000	
HEX 11 : B94969	B36CB5	C4F9A60	
DEC 11 : 12142953.000000	11758773.000000	206543456.000000	
HEX 12 : 187E71E0	1E357100	16F5A880	
DEC 12 : 410939872.000000	506818816.000000	385198208.000000	
HEX 13 : A348780	126055A0	455BF10	
DEC 13 : 171214720.000000	308303264.000000	72728336.000000	
HEX 14 : BC0F970	178E3F80	1FBE8B40	
DEC 14 : 197196144.000000	395198336.000000	532581184.000000	
HEX 15 : 10AFEE20	1E41EC40	1A13C1E0	
DEC 15 : 279965216.000000	507636800.000000	437502432.000000	
HEX 16 : 184023C0	269F620	A4293C0	
DEC 16 : 406856640.000000	40498720.000000	172135360.000000	
HEX 17 : 187771E0	A049F10	D21A0F0	
DEC 17 : 410481120.000000	168075024.000000	220307696.000000	
HEX 18 : 8C1E2D0	12244B40	176992E0	
DEC 18 : 146924240.000000	304368448.000000	392794848.000000	
HEX 19 : 17B3F000	876BF10	5CDC5A8	
DEC 19 : 397668352.000000	141999888.000000	97371560.000000	
HEX 20 : 187E7000	8AD2CB0	148A4B40	
DEC 20 : 410939392.000000	145566896.000000	344607552.000000	
HEX 21 : 9666F10	A978690	4D3B878	
DEC 21 : 157708048.000000	177702544.000000	80984184.000000	
HEX 22 : B4A63C0	C825350	12AFD000	
DEC 22 : 189424576.000000	209867600.000000	313511936.000000	
HEX 23 : 11E47F00	1A7BA4C0	87B4C40	
DEC 23 : 300187392.000000	444310720.000000	142298176.000000	
HEX 24 : 2C64B4	642EA58	119872E0	
DEC 24 : 2909364.000000	105048664.000000	295203552.000000	
HEX 25 : 187E72E0	1CA5A780	59415A8	
DEC 25 : 410940128.000000	480618368.000000	93590952.000000	
HEX 26 : 7204D30	3A5343C	12D2BE20	
DEC 26 : 119557424.000000	61158460.000000	315801120.000000	
HEX 27 : B325880	19CCD6A0	51B4F10	
DEC 27 : 187848832.000000	432854688.000000	85675792.000000	
HEX 28 : B540D30	3166F88	72EF000	
DEC 28 : 190057776.000000	51801992.000000	120516608.000000	
HEX 29 : 187E7000	8B604B0	1D6594C0	
DEC 29 : 410939392.000000	146146480.000000	493196480.000000	
HEX 30 : 10AEA780	10A49B40	F710690	
DEC 30 : 279881600.000000	279223104.000000	259065488.000000	
HEX 31 : 3E51C3C	355BE20	602A698	
DEC 31 : 65346620.000000	55950880.000000	100837016.000000	
HEX 32 : E3193C0	3CFCD2C	15721100	
DEC 32 : 238130112.000000	63950124.000000	359796992.000000	
HEX 33 : B59C0F0	B0553C0	1A3D3880	
DEC 33 : 190431472.000000	184898496.000000	440219776.000000	
HEX 34 : C4C91E0	54AAE98	1F1D42E0	
DEC 34 : 206344672.000000	88780440.000000	522011360.000000	
HEX 35 : 187E7000	DF688F0	3F73C3	
DEC 35 : 410939392.000000	234260720.000000	4158403.000000	
HEX 36 : 5526788	1387B340	1EB871E0	
DEC 36 : 89286536.000000	327660352.000000	515404256.000000	
HEX 37 : 1863A4C0	159D14C0	2E4A698	
DEC 37 : 409183424.000000	362616000.000000	48539288.000000	
HEX 38 : 18586D20	1804ADA0	B83CA60	
DEC 38 : 408448288.000000	402959776.000000	193186400.000000	
HEX 39 : 1394E1E	106F4440	17E763C0	
DEC 39 : 20532766.000000	275727424.000000	401040320.000000	
HEX 40 : 14D68100	3D2EE20	18FCCD20	
DEC 40 : 349602048.000000	64155168.000000	419220768.000000	
HEX 41 : 11C9CE20	B91B4B0	165F7960	
DEC 41 : 298438176.000000	194098352.000000	375355744.000000	
HEX 42 : 9807D30	1C002F00	1A1982E0	
DEC 42 : 159415600.000000	469774080.000000	437879520.000000	
HEX 43 : 46F13C0	9E24970	C727780	
DEC 43 : 74388416.000000	165824880.000000	208828288.000000	
HEX 44 : 7746788	174DDB40	1216A100	
DEC 44 : 125069192.000000	390978368.000000	303472896.000000	
HEX 45 : F92D000	1170DAE0	1A889100	
DEC 45 : 261279744.000000	292608736.000000	445157632.000000	
HEX 46 : 645D2D	1A162960	12339780	
DEC 46 : 6577453.000000	437660000.000000	305371008.000000	
HEX 47 : 187E7000	FBBEBC0	79874B8	
DEC 47 : 410939392.000000	263973824.000000	127431864.000000	
HEX 48 : 2479B4C	370AE98	1937D2E0	
DEC 48 : 38247244.000000	57716376.000000	423088864.000000	
HEX 49 : 156E2000	1871B900	1AB61A60	
DEC 49 : 359538688.000000	410106112.000000	448141920.000000	
HEX 50 : 5EADE20	1F275960	4B474B8	
DEC 50 : 99278368.000000	522672480.000000	78935224.000000	
HEX 51 : 10556C40	B8C4970	99A6000	
DEC 51 : 274033728.000000	193743216.000000	161112064.000000	
HEX 52 : 4EA92D0	A2C35A0	15F15960	
DEC 52 : 82481872.000000	170669472.000000	368138592.000000	
HEX 53 : 17305D20	1DC21C40	1FDA7880	
DEC 53 : 389045536.000000	499260480.000000	534411392.000000	
HEX 54 : 114F1000	FD19970	1859C3C	
DEC 54 : 290394112.000000	265394544.000000	25533500.000000	
HEX 55 : DC7C690	1770E5A0	E01C0F0	
DEC 55 : 231196304.000000	393274784.000000	234995952.000000	
HEX 56 : 3680E20	1123E340	10918F00	
DEC 56 : 57151008.000000	287564608.000000	277974784.000000	
HEX 57 : 114E8E20	59EE530	30751E0	
DEC 57 : 290360864.000000	94299440.000000	50811360.000000	
HEX 58 : 7126F10	16B42080	A979880	
DEC 58 : 118648592.000000	380903552.000000	177707136.000000	
HEX 59 : 101C5F00	1EECA4C0	EB454B0	
DEC 59 : 270294784.000000	518825152.000000	246699184.000000	
HEX 60 : 18642100	1497078	FF3000	
DEC 60 : 409215232.000000	21590136.000000	16723968.000000	
HEX 61 : 4D21E20	91D0D30	1D7766A0	
DEC 61 : 80879136.000000	152898864.000000	494364320.000000	
HEX 62 : 14D9F2E0	1A02EF00	11E12D20	
DEC 62 : 349827808.000000	436399872.000000	299969824.000000	
HEX 63 : 21D8000	98BD710	22503C4	
DEC 63 : 35487744.000000	160159504.000000	35980228.000000	
HEX 64 : 183595A0	1151E260	EF35690	
DEC 64 : 406164896.000000	290579040.000000	250828432.000000	
HEX 65 : 117AEC40	B2A8DA0	1E9C0000	
DEC 65 : 293268544.000000	187338144.000000	513540096.000000	
HEX 66 : 18231E2	1DDE2C40	BC973C0	
DEC 66 : 25309666.000000	501099584.000000	197751744.000000	
HEX 67 : 3289878	F80AA60	7999000	
DEC 67 : 52992120.000000	260090464.000000	127504384.000000	
HEX 68 : 187E71E0	1025B5A0	1AEC36A0	
DEC 68 : 410939872.000000	270906784.000000	451688096.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
