Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 6038E	16D67A60	F0441E0	
DEC 1 : 394126.000000	383154784.000000	251937248.000000	
HEX 2 : 16E6A520	5101E20	3EC00F0	
DEC 2 : 384214304.000000	84942368.000000	65798384.000000	
HEX 3 : C81EF80	5A791E0	1F1B9F00	
DEC 3 : 209842048.000000	94867936.000000	521903872.000000	
HEX 4 : E941360	196222E0	B0760F0	
DEC 4 : 244585312.000000	425861856.000000	185032944.000000	
HEX 5 : 672ED10	B2943C0	1553E000	
DEC 5 : 108195088.000000	187253696.000000	357818368.000000	
HEX 6 : 5CA64F8	10B7A000	5FA35A8	
DEC 6 : 97150200.000000	280469504.000000	100283816.000000	
HEX 7 : 3183144	3CCCE20	118E6E20	
DEC 7 : 51917124.000000	63753760.000000	294546976.000000	
HEX 8 : 61D76	1AF9B780	1A957E20	
DEC 8 : 400758.000000	452573056.000000	446004768.000000	
HEX 9 : 14D4FD60	B2943C0	125465A0	
DEC 9 : 349502816.000000	187253696.000000	307520928.000000	
HEX 10 : 62053A0	D77E5A0	DEE4000	
DEC 10 : 102781856.000000	225961376.000000	233717760.000000	
HEX 11 : 1F326E60	B78A970	5571878	
DEC 11 : 523398752.000000	192457072.000000	89593976.000000	
HEX 12 : 2DB792C	175502E0	80F01E0	
DEC 12 : 47937836.000000	391447264.000000	135201248.000000	
HEX 13 : 2886710	1F8F23C0	1529B880	
DEC 13 : 42493712.000000	529474496.000000	355055744.000000	
HEX 14 : FD9DD70	4BC1968	DC88780	
DEC 14 : 265936240.000000	79436136.000000	231245696.000000	
HEX 15 : 19BBB480	1DC2DF00	274FF10	
DEC 15 : 431731840.000000	499310336.000000	41221904.000000	
HEX 16 : 5FAEB	1E51DB40	E2C4690	
DEC 16 : 391915.000000	508681024.000000	237782672.000000	
HEX 17 : 5F18B	CA9F2D0	354F1E0	
DEC 17 : 389515.000000	212464336.000000	55898592.000000	
HEX 18 : 1126BD80	81A73C0	1930E960	
DEC 18 : 287751552.000000	135951296.000000	422635872.000000	
HEX 19 : 89AA610	9A4A000	5BBB968	
DEC 19 : 144352784.000000	161783808.000000	96188776.000000	
HEX 20 : 9636660	4B8A0F0	17E47000	
DEC 20 : 157509216.000000	79208688.000000	400846848.000000	
HEX 21 : D314250	10640960	4A300F0	
DEC 21 : 221332048.000000	274991456.000000	77791472.000000	
HEX 22 : 14771CE0	124C33C0	935EE20	
DEC 22 : 343350496.000000	306983872.000000	154529312.000000	
HEX 23 : 699CF	5CCEA58	66D8788	
DEC 23 : 432591.000000	97315416.000000	107841416.000000	
HEX 24 : B628DB0	1F49FC40	17447780	
DEC 24 : 191008176.000000	524942400.000000	390363008.000000	
