Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : 1AC36160	1294D780	186195A0	
DEC 1 : 449012064.000000	311744384.000000	409048480.000000	
HEX 2 : AAF5E2	1B997100	198686A0	
DEC 2 : 11204066.000000	463040768.000000	428246688.000000	
HEX 3 : 1BAB5040	1B690C40	895FD30	
DEC 3 : 464212032.000000	459869248.000000	144047408.000000	
HEX 4 : 3390A98	D046C40	19410A60	
DEC 4 : 54069912.000000	218393664.000000	423692896.000000	
HEX 5 : 85DA6D0	16A64E20	15F49100	
DEC 5 : 140355280.000000	379997728.000000	368349440.000000	
HEX 6 : 174FF520	DF3CB50	1D36AF00	
DEC 6 : 391116064.000000	234081104.000000	490123008.000000	
HEX 7 : D874530	1FA1E2E0	191664C0	
DEC 7 : 226968880.000000	530703072.000000	420897984.000000	
HEX 8 : 15F52560	2E61D2C	12A4D960	
DEC 8 : 368387424.000000	48635180.000000	312793440.000000	
HEX 9 : 11AC3FC0	154A2D2	AE43B50	
DEC 9 : 296501184.000000	22323922.000000	182729552.000000	
HEX 10 : 298A788	DA14B5	14B1AA60	
DEC 10 : 43558792.000000	14292149.000000	347187808.000000	
HEX 11 : ADB7FC0	16E95E20	BB75F10	
DEC 11 : 182157248.000000	384392736.000000	196566800.000000	
HEX 12 : 2FA49A4	1E045F00	C0BEA60	
DEC 12 : 49957284.000000	503602944.000000	202107488.000000	
HEX 13 : 99CDAD0	10222780	EBFCD30	
DEC 13 : 161274576.000000	270673792.000000	247450928.000000	
HEX 14 : 10BE3C4	1D83C4C0	43B2E20	
DEC 14 : 17556420.000000	495174848.000000	70987296.000000	
HEX 15 : 1DEBB4C0	1CD8E1E0	13F3878	
DEC 15 : 501986496.000000	483975648.000000	20920440.000000	
HEX 16 : 1F3575A0	16DF1100	1E26E3C0	
DEC 16 : 523597216.000000	383717632.000000	505865152.000000	
HEX 17 : 1C8B5BC0	11EC05A0	DFA70F0	
DEC 17 : 478895040.000000	300680608.000000	234516720.000000	
HEX 18 : D7BCCB0	9BE8000	FB07A60	
DEC 18 : 226217136.000000	163479552.000000	263223904.000000	
HEX 19 : AC7A690	F139880	6C4C5A8	
DEC 19 : 180856464.000000	252942464.000000	113558952.000000	
HEX 20 : 147ED000	B7FD3C0	D945000	
DEC 20 : 343855104.000000	192926656.000000	227823616.000000	
HEX 21 : E4FA310	894D0F0	1063000	
DEC 21 : 240100112.000000	143970544.000000	17182720.000000	
HEX 22 : 15FCF5E0	15B762E0	1E357960	
DEC 22 : 368899552.000000	364339936.000000	506820960.000000	
