Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 1E739100	19FDAB40	4A7696	
DEC 1 : 510890240.000000	436054848.000000	4880022.000000	
HEX 2 : 123CCE20	EB04690	8ACD000	
DEC 2 : 305974816.000000	246433424.000000	145543168.000000	
HEX 3 : CECFC40	1D099F00	CD232D0	
DEC 3 : 216857664.000000	487169792.000000	215102160.000000	
HEX 4 : 776C000	173FE6A0	BBB7690	
DEC 4 : 125222912.000000	390063776.000000	196834960.000000	
HEX 5 : 10FF1440	14EFA2E0	3BF6C3C	
DEC 5 : 285152320.000000	351249120.000000	62876732.000000	
HEX 6 : D1F6C40	83FD0F0	1F793100	
DEC 6 : 220163136.000000	138399984.000000	528036096.000000	
HEX 7 : 138782E0	403DD30	1D239F00	
DEC 7 : 327647968.000000	67362096.000000	488873728.000000	
HEX 8 : EC75AD0	584A5A	2506E20	
DEC 8 : 247945936.000000	5786202.000000	38825504.000000	
HEX 9 : 1A94E1E0	13CDAA60	1BF374C0	
DEC 9 : 445964768.000000	332245600.000000	468939968.000000	
HEX 10 : 665A258	BCFA780	4C01878	
DEC 10 : 107323992.000000	198158208.000000	79698040.000000	
HEX 11 : DED0A60	E580000	1818C1E0	
DEC 11 : 233638496.000000	240648192.000000	404275680.000000	
HEX 12 : 8D03620	4DD12D0	3249000	
DEC 12 : 147863072.000000	81597136.000000	52727808.000000	
HEX 13 : 296BDA4	1427D780	3D79968	
DEC 13 : 43433380.000000	338155392.000000	64461160.000000	
HEX 14 : 47645A8	B497D30	FF405A0	
DEC 14 : 74859944.000000	189365552.000000	267650464.000000	
HEX 15 : 95B19E0	14AC8780	5EBA5A	
DEC 15 : 156965344.000000	346851200.000000	6208090.000000	
HEX 16 : 1FFB8960	18471000	7760C40	
DEC 16 : 536578400.000000	407310336.000000	125176896.000000	
HEX 17 : A3A4DA0	FF8E780	E859000	
DEC 17 : 171593120.000000	267970432.000000	243634176.000000	
HEX 18 : 78A90F0	2310698	EDFE000	
DEC 18 : 126521584.000000	36767384.000000	249552896.000000	
HEX 19 : 4C6A2D0	19D241E0	1963E6A0	
DEC 19 : 80126672.000000	433209824.000000	425977504.000000	
HEX 20 : F3DF710	15CCAD20	B44B4B0	
DEC 20 : 255719184.000000	365735200.000000	189052080.000000	
HEX 21 : 13EFD620	1381BB40	1FA4E2E0	
DEC 21 : 334485024.000000	327269184.000000	530899680.000000	
HEX 22 : 1BC0B1E0	B060D30	1FE5E100	
DEC 22 : 465613280.000000	184945968.000000	535159040.000000	
HEX 23 : 6CF800	13EA01E0	1D8D7D20	
DEC 23 : 7141376.000000	334103008.000000	495811872.000000	
HEX 24 : 77B9800	A442D30	1A6605A0	
DEC 24 : 125540352.000000	172240176.000000	442893728.000000	
HEX 25 : 1340F3C0	1AC04D20	123453C0	
DEC 25 : 323023808.000000	448810272.000000	305419200.000000	
HEX 26 : FDADDA0	21A91E0	11F23780	
DEC 26 : 266001824.000000	35295712.000000	301086592.000000	
HEX 27 : 1A7B2F00	110E8B40	8E2E1E0	
DEC 27 : 444280576.000000	286165824.000000	149086688.000000	
HEX 28 : 1FA3F5A0	2572968	1A78C3C	
DEC 28 : 530838944.000000	39266664.000000	27757628.000000	
HEX 29 : 1A07BF00	66A3968	1A31CC40	
DEC 29 : 436715264.000000	107624808.000000	439471168.000000	
HEX 30 : 1FC2E3C0	1AA0C100	E9C61E0	
DEC 30 : 532865984.000000	446742784.000000	245129696.000000	
HEX 31 : DFA5690	5A4F1E0	18521100	
DEC 31 : 234509968.000000	94695904.000000	408031488.000000	
HEX 32 : DBF3A60	27A00F0	A73E000	
DEC 32 : 230636128.000000	41550064.000000	175366144.000000	
HEX 33 : 179F4800	EEFB3C0	16541100	
DEC 33 : 396314624.000000	250590144.000000	374608128.000000	
HEX 34 : 987B880	1DDA5960	1EC87A60	
DEC 34 : 159889536.000000	500848992.000000	516455008.000000	
HEX 35 : CC1B620	16EE26A0	1B0EC100	
DEC 35 : 214021664.000000	384706208.000000	453951744.000000	
HEX 36 : 3AC03C4	2ED34B4	8750C40	
DEC 36 : 61604804.000000	49099956.000000	141888576.000000	
HEX 37 : 197B85A0	122B55A0	181BA5A	
DEC 37 : 427525536.000000	304829856.000000	25279066.000000	
HEX 38 : 129C4AE0	1E001880	7410698	
DEC 38 : 312232672.000000	503322752.000000	121702040.000000	
HEX 39 : 13EDBB40	8913E20	14C07B40	
DEC 39 : 334347072.000000	143736352.000000	348158784.000000	
HEX 40 : 31EB0F0	109FB3C0	A823780	
DEC 40 : 52343024.000000	278901696.000000	176306048.000000	
HEX 41 : 1BE0E6A0	FFE33C0	10354000	
DEC 41 : 467723936.000000	268317632.000000	271925248.000000	
HEX 42 : CB0E440	10573880	1F40DE20	
DEC 42 : 212919360.000000	274151552.000000	524344864.000000	
HEX 43 : 14B0B520	C60CE20	1F113C4	
DEC 43 : 347125024.000000	207670816.000000	32576452.000000	
HEX 44 : A2BF350	9196880	AAC8A60	
DEC 44 : 170652496.000000	152660096.000000	179079776.000000	
HEX 45 : CB0ECB0	160FF1E0	1317B100	
DEC 45 : 212921520.000000	370143712.000000	320319744.000000	
HEX 46 : 1B1AC780	7606A58	EF7B1E0	
DEC 46 : 454739840.000000	123759192.000000	251113952.000000	
HEX 47 : 5456CB8	1466A000	12591B40	
DEC 47 : 88435896.000000	342269952.000000	307829568.000000	
HEX 48 : 3E23788	69191E0	1FE202E0	
DEC 48 : 65157000.000000	110203360.000000	534905568.000000	
HEX 49 : DC708F0	A6CE1E0	432D2D0	
DEC 49 : 231147760.000000	174907872.000000	70439632.000000	
HEX 50 : 12D4EF80	14AD0A60	173922E0	
DEC 50 : 315944832.000000	346884704.000000	389620448.000000	
HEX 51 : 1CAF55A0	B5CA970	1FCB5A6	
DEC 51 : 481252768.000000	190622064.000000	33338790.000000	
HEX 52 : 54125A8	507E000	15779D20	
DEC 52 : 88155560.000000	84402176.000000	360160544.000000	
HEX 53 : 1F896000	BD12A60	ACDEE20	
DEC 53 : 529096704.000000	198257248.000000	181268000.000000	
HEX 54 : 7035800	1222CD20	1A3601E0	
DEC 54 : 117659648.000000	304270624.000000	439747040.000000	
HEX 55 : 1312B3C0	55E34B8	5FC0698	
DEC 55 : 319992768.000000	90059960.000000	100402840.000000	
HEX 56 : 19DA1D20	137CE1E	6D06D30	
DEC 56 : 433724704.000000	20434462.000000	114322736.000000	
HEX 57 : 1DF8F880	2AF0F1	1BA6C880	
DEC 57 : 502855808.000000	2814193.000000	463915136.000000	
HEX 58 : 3E8D968	1B21C6A0	6592F10	
DEC 58 : 65591656.000000	455198368.000000	106508048.000000	
HEX 59 : 14BAD960	1B0301E0	1AD241E0	
DEC 59 : 347789664.000000	453181920.000000	449987040.000000	
HEX 60 : 1CD06000	1224000	13631C40	
DEC 60 : 483418112.000000	19021824.000000	325262400.000000	
