Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 16C1FB40	18B27880	1A047B40	
DEC 1 : 381811520.000000	414349440.000000	436501312.000000	
HEX 2 : 4E183C0	8200780	1B4E6100	
DEC 2 : 81888192.000000	136316800.000000	458121472.000000	
HEX 3 : A579B50	AD3A880	15ED8960	
DEC 3 : 173513552.000000	181643392.000000	367888736.000000	
HEX 4 : EE234B0	4CD9788	2A30B4C	
DEC 4 : 249705648.000000	80582536.000000	44239692.000000	
HEX 5 : D54D4B0	10CE0F00	8D945A0	
DEC 5 : 223663280.000000	281939712.000000	148456864.000000	
HEX 6 : 18EA4D20	1F2B52E0	8429F10	
DEC 6 : 418008352.000000	522932960.000000	138583824.000000	
HEX 7 : 8CA000	E5BB780	1B2312E0	
DEC 7 : 9216000.000000	240891776.000000	455283424.000000	
HEX 8 : 192515A0	72D23C0	138226A0	
DEC 8 : 421860768.000000	120398784.000000	327296672.000000	
HEX 9 : E7641E0	1B1FDB40	2750B4C	
DEC 9 : 242631136.000000	455072576.000000	41225036.000000	
HEX 10 : 6D114B8	185844C0	1027B960	
DEC 10 : 114365624.000000	408437952.000000	271038816.000000	
HEX 11 : 169DD2E0	11882960	17B52F00	
DEC 11 : 379441888.000000	294136160.000000	397750016.000000	
HEX 12 : DB5B2D0	13A77C40	1E3B878	
DEC 12 : 230011600.000000	329743424.000000	31701112.000000	
HEX 13 : 42D2698	C17F3C0	1196B5A0	
DEC 13 : 70067864.000000	202896320.000000	295089568.000000	
HEX 14 : 8D121E0	1E665100	16E0E100	
DEC 14 : 147923424.000000	510021888.000000	383836416.000000	
HEX 15 : 1E329A60	FE65690	19733A60	
DEC 15 : 506632800.000000	266753680.000000	426981984.000000	
HEX 16 : B0E6F10	A0885A0	67835A8	
DEC 16 : 185495312.000000	168330656.000000	108541352.000000	
HEX 17 : 3FB81E0	8AF4690	4456E20	
DEC 17 : 66814432.000000	145704592.000000	71659040.000000	
HEX 18 : 12C04100	FE6E1E	1EAC9F00	
DEC 18 : 314589440.000000	16674334.000000	514629376.000000	
HEX 19 : 1FCFF1E0	1FBBDC40	213C2D4	
DEC 19 : 533721568.000000	532405312.000000	34849492.000000	
HEX 20 : 17352880	15059F00	E96FF10	
DEC 20 : 389359744.000000	352689920.000000	244776720.000000	
HEX 21 : 1BD7EE20	17CFAF00	7B49968	
DEC 21 : 467136032.000000	399486720.000000	129276264.000000	
HEX 22 : 25361E0	1AC652E0	15B04780	
DEC 22 : 39018976.000000	449204960.000000	363874176.000000	
HEX 23 : 1A6F3F00	E84F0F	EBC03C0	
DEC 23 : 443498240.000000	15224591.000000	247202752.000000	
HEX 24 : A9F7C40	51EFC40	10C4CF00	
DEC 24 : 178224192.000000	85916736.000000	281333504.000000	
HEX 25 : E9C63C0	161B1D20	E0A6A60	
DEC 25 : 245130176.000000	370875680.000000	235563616.000000	
HEX 26 : A8CA3C0	1EBE9C40	BD11D30	
DEC 26 : 176989120.000000	515808320.000000	198253872.000000	
HEX 27 : 5F17968	7EB64B8	B939000	
DEC 27 : 99711336.000000	132867256.000000	194220032.000000	
HEX 28 : 16903880	CC24A60	F2640F0	
DEC 28 : 378550400.000000	214059616.000000	254165232.000000	
HEX 29 : 1346A000	DF8AB50	1259B4C	
DEC 29 : 323395584.000000	234400592.000000	19241804.000000	
HEX 30 : 2BB7F10	1FCA23C0	A011690	
DEC 30 : 45842192.000000	533341120.000000	167843472.000000	
HEX 31 : 8348B50	1A505C40	1EC012E0	
DEC 31 : 137661264.000000	441474112.000000	515904224.000000	
HEX 32 : BD42B50	561ED30	1C40DE20	
DEC 32 : 198454096.000000	90303792.000000	474013216.000000	
HEX 33 : 15A77960	1B6763C0	131415A0	
DEC 33 : 363297120.000000	459760576.000000	320083360.000000	
HEX 34 : 34D3F10	13630F00	149C83C0	
DEC 34 : 55394064.000000	325259008.000000	345801664.000000	
HEX 35 : 5FEDC40	F1C3D30	8C5C690	
DEC 35 : 100588608.000000	253508912.000000	147179152.000000	
HEX 36 : 1D56AA60	19616E20	EEA8000	
DEC 36 : 492218976.000000	425815584.000000	250249216.000000	
HEX 37 : E44FE20	1C7694C0	120F86A0	
DEC 37 : 239402528.000000	477533376.000000	303007392.000000	
HEX 38 : A10A3C0	10C70B40	114FC100	
DEC 38 : 168862656.000000	281480000.000000	290439424.000000	
HEX 39 : 1C919000	8C60C40	CF88E20	
DEC 39 : 479301632.000000	147196992.000000	217615904.000000	
HEX 40 : 1CC5AD20	10C612E0	A376780	
