Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
HEX 1 : 126ED2E0	1A3333C0	A56D000	
DEC 1 : 309252832.000000	439563200.000000	173461504.000000	
HEX 2 : 187E73C0	7152698	5A730F0	
DEC 2 : 410940352.000000	118826648.000000	94843120.000000	
HEX 3 : 33BA878	17C623C0	6430D30	
DEC 3 : 54241400.000000	398861248.000000	105057584.000000	
HEX 4 : 5E3A5A8	1A3E0D20	CDC54B0	
DEC 4 : 98805160.000000	440274208.000000	215766192.000000	
HEX 5 : 166ED780	1E641100	1EAE9D20	
DEC 5 : 376362880.000000	509874432.000000	514759968.000000	
HEX 6 : CDE9D30	5AA7E20	1A111100	
DEC 6 : 215915824.000000	95059488.000000	437326080.000000	
HEX 7 : 1442A880	12E945A0	9DD8C40	
DEC 7 : 339912832.000000	317277600.000000	165514304.000000	
HEX 8 : 3FC1C3C	8CF30F0	2FC51E0	
DEC 8 : 66853948.000000	147796208.000000	50090464.000000	
HEX 9 : 187E6E20	104E95A0	13A6BB40	
DEC 9 : 410938912.000000	273585568.000000	329694016.000000	
HEX 10 : 12465000	F8E8F10	17D424C0	
DEC 10 : 306597888.000000	261000976.000000	399779008.000000	
HEX 11 : 6B84878	515B698	103C2A60	
DEC 11 : 112740472.000000	85309080.000000	272378464.000000	
HEX 12 : AE07780	18FC4780	1D6CAD20	
DEC 12 : 182482816.000000	419186560.000000	493661472.000000	
HEX 13 : 2360968	1E00DD20	1251AA60	
DEC 13 : 37095784.000000	503373088.000000	307341920.000000	
HEX 14 : F6D6B50	1A52E1E	40FBC40	
DEC 14 : 258829136.000000	27602462.000000	68140096.000000	
HEX 15 : 187E72E0	1D33FE20	1233E880	
DEC 15 : 410940128.000000	489946656.000000	305391744.000000	
HEX 16 : 125E0880	159CCC40	135ADD20	
DEC 16 : 308152448.000000	362597440.000000	324721952.000000	
HEX 17 : AB324B0	671DE20	88C000	
DEC 17 : 179512496.000000	108125728.000000	8962048.000000	
HEX 18 : 67223C0	DCF8D30	126C2A60	
DEC 18 : 108143552.000000	231705904.000000	309078624.000000	
HEX 19 : 114D8B40	473D000	13B1BE20	
DEC 19 : 290294592.000000	74698752.000000	330415648.000000	
HEX 20 : 187E7100	1EA51F00	AC883C0	
DEC 20 : 410939648.000000	514137856.000000	180913088.000000	
HEX 21 : 14587A60	4CF1A58	1AB2DE20	
DEC 21 : 341342816.000000	80681560.000000	447929888.000000	
HEX 22 : 904A5A0	4AF75A8	8C3A4B0	
DEC 22 : 151299488.000000	78607784.000000	147039408.000000	
HEX 23 : 12E11F00	E0A4B50	1F7216A0	
DEC 23 : 316743424.000000	235555664.000000	527570592.000000	
HEX 24 : 10D9878	4A3D4B8	88711E0	
DEC 24 : 17668216.000000	77845688.000000	143069664.000000	
HEX 25 : 5389F10	129882E0	1924F960	
DEC 25 : 87596816.000000	311984864.000000	421853536.000000	
HEX 26 : 6E8DE20	19A16100	170EC000	
DEC 26 : 115924512.000000	430006528.000000	386842624.000000	
HEX 27 : A523000	E7E05A0	6E2969	
DEC 27 : 173158400.000000	243140000.000000	7219561.000000	
HEX 28 : 187E71E0	19ECAD20	18FB1B40	
DEC 28 : 410939872.000000	434941216.000000	419109696.000000	
HEX 29 : 13A3CF00	B6B72D0	96FE1E0	
DEC 29 : 329502464.000000	191591120.000000	158327264.000000	
HEX 30 : B0B4780	497A5A	141ACC40	
DEC 30 : 185288576.000000	4815450.000000	337300544.000000	
HEX 31 : 187C74C0	B106970	1B656960	
DEC 31 : 410809536.000000	185624944.000000	459630944.000000	
HEX 32 : 109DFF00	1AE2E4C0	186F9000	
DEC 32 : 278789888.000000	451077312.000000	409964544.000000	
HEX 33 : 13CC21E0	175986A0	1E45D5A0	
DEC 33 : 332145120.000000	391743136.000000	507893152.000000	
HEX 34 : 187E72E0	165E4C40	F0B3E20	
DEC 34 : 410940128.000000	375278656.000000	252395040.000000	
HEX 35 : 14AAC100	1D65A5A	97720F0	
DEC 35 : 346734848.000000	30825050.000000	158802160.000000	
HEX 36 : FD520F0	1AEFA100	34FBD2C	
DEC 36 : 265625840.000000	451911936.000000	55557420.000000	
HEX 37 : 11ED6F00	84A7690	18E5878	
DEC 37 : 300773120.000000	139097744.000000	26105976.000000	
HEX 38 : 9B52A60	1EB386A0	123F0E20	
DEC 38 : 162867808.000000	515081888.000000	306122272.000000	
HEX 39 : AE2D2D	18A7B1E0	1B3F4A60	
DEC 39 : 11414829.000000	413643232.000000	457132640.000000	
HEX 40 : 13CFCA60	10049880	2EDBA5C	
DEC 40 : 332384864.000000	268736640.000000	49134172.000000	
HEX 41 : 1855B780	1EA75000	3416C3C	
DEC 41 : 408270720.000000	514281472.000000	54619196.000000	
HEX 42 : CD93880	1F224D20	B6AC2D0	
DEC 42 : 215562368.000000	522341664.000000	191546064.000000	
HEX 43 : 186DB4C0	16E3AC40	504BB48	
DEC 43 : 409842880.000000	384019520.000000	84196168.000000	
HEX 44 : 5901E20	A5454B0	1A0B6880	
DEC 44 : 93330976.000000	173298864.000000	436955264.000000	
HEX 45 : D2A72D0	B21B5A0	148281E0	
DEC 45 : 220885712.000000	186758560.000000	344097248.000000	
HEX 46 : 4B763C0	272E4B4	192136A0	
DEC 46 : 79127488.000000	41084084.000000	421607072.000000	
HEX 47 : 1138F3C0	1F27D2E0	12242A60	
DEC 47 : 288945088.000000	522703584.000000	304360032.000000	
HEX 48 : CE001E0	1899DF00	F290B50	
DEC 48 : 216007136.000000	412737280.000000	254348112.000000	
HEX 49 : EB0D970	F638E20	D81EF10	
DEC 49 : 246471024.000000	258182688.000000	226619152.000000	
HEX 50 : 908E1E	108463C0	296F0F0	
DEC 50 : 9473566.000000	277111744.000000	43446512.000000	
HEX 51 : A529A60	12262D2	1F8BD1E0	
DEC 51 : 173185632.000000	19030738.000000	529256928.000000	
HEX 52 : 187DAD20	129284C0	1AD4F2E0	
DEC 52 : 410889504.000000	311592128.000000	450163424.000000	
HEX 53 : 13CDB3C0	B11D2D0	10F4DD20	
DEC 53 : 332248000.000000	185717456.000000	284482848.000000	
HEX 54 : 69C0968	F5A1E20	6ECB968	
DEC 54 : 110889320.000000	257564192.000000	116177256.000000	
HEX 55 : 186ABD20	1E755A6	3031E2	
DEC 55 : 409648416.000000	31937958.000000	3158498.000000	
HEX 56 : 303DE20	1528B780	126AD2E0	
DEC 56 : 50585120.000000	354989952.000000	308990688.000000	
HEX 57 : 87E4F10	1A95CB40	1AAA2D2	
DEC 57 : 142495504.000000	446024512.000000	27960018.000000	
HEX 58 : 81F95A0	1310BA60	D4C22D0	
DEC 58 : 136287648.000000	319863392.000000	223093456.000000	
HEX 59 : BA391E0	12C9F1E0	153633C0	
DEC 59 : 195269088.000000	315224544.000000	355873728.000000	
HEX 60 : 187E7A60	6793D30	14A3D100	
DEC 60 : 410942048.000000	108608816.000000	346280192.000000	
HEX 61 : 3CDFA5C	AAB30F0	C1C40F0	
DEC 61 : 63830620.000000	178991344.000000	203178224.000000	
HEX 62 : 831878	8976880	144544C0	
DEC 62 : 8591480.000000	144140416.000000	340083904.000000	
HEX 63 : CAD81E0	AE7C0F0	69DDE20	
DEC 63 : 212697568.000000	182960368.000000	111009312.000000	
HEX 64 : C6505A0	CFC51E0	1BC434C0	
DEC 64 : 207947168.000000	217862624.000000	465843392.000000	
HEX 65 : F5454B0	61FC698	C9C2970	
DEC 65 : 257184944.000000	102745752.000000	211560816.000000	
HEX 66 : DA28A60	12BEE100	64AD4B8	
DEC 66 : 228756064.000000	314499328.000000	105567416.000000	
HEX 67 : 187E7100	AB64B5	FD7FA60	
DEC 67 : 410939648.000000	11232437.000000	265812576.000000	
HEX 68 : E10EB50	1FC3C5A0	1E2C9B40	
DEC 68 : 235989840.000000	532923808.000000	506239808.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
