Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 71
HEX 1 : 69835D0	8F3D1E0	1ADDF5A0	
DEC 1 : 110638544.000000	150196704.000000	450753952.000000	
HEX 2 : 15107900	8AAFD30	1903E1E0	
DEC 2 : 353401088.000000	145423664.000000	419684832.000000	
HEX 3 : 1448848	17AE6780	11BB8960	
DEC 3 : 21268552.000000	397305728.000000	297503072.000000	
HEX 4 : 10FFB480	143E1D20	93E6E20	
DEC 4 : 285193344.000000	339615008.000000	155086368.000000	
HEX 5 : 102D8FA0	78EEF10	11DBBB40	
DEC 5 : 271421344.000000	126807824.000000	299612992.000000	
HEX 6 : 5E0C4	4112878	137EE1E	
DEC 6 : 385220.000000	68233336.000000	20442654.000000	
HEX 7 : B7A9B40	F207880	90512D0	
DEC 7 : 192584512.000000	253786240.000000	151327440.000000	
HEX 8 : 5785F9	D8B1C40	4370000	
DEC 8 : 5735929.000000	227220544.000000	70713344.000000	
HEX 9 : 13307FE0	1872D1E0	1832E780	
DEC 9 : 321945568.000000	410178016.000000	405989248.000000	
HEX 10 : 73610B8	12E671E0	EE66780	
DEC 10 : 120983736.000000	317092320.000000	249980800.000000	
HEX 11 : D65E0F0	BD3A4B0	19671E20	
DEC 11 : 224780528.000000	198419632.000000	426188320.000000	
HEX 12 : 194842A0	187636A0	F6DA970	
DEC 12 : 424166048.000000	410400416.000000	258845040.000000	
HEX 13 : 17A54920	1508EC40	1D37DC40	
DEC 13 : 396708128.000000	352906304.000000	490200128.000000	
HEX 14 : 12F44260	DF8B970	CEC80F0	
DEC 14 : 317997664.000000	234404208.000000	216826096.000000	
HEX 15 : 76F0EF8	1AB2D2E	1D37FA60	
DEC 15 : 124718840.000000	27995438.000000	490207840.000000	
HEX 16 : B7CC220	1879E780	1AFFD6A0	
DEC 16 : 192725536.000000	410642304.000000	452974240.000000	
HEX 17 : 1E687400	93E65A0	15BB3000	
DEC 17 : 510161920.000000	155084192.000000	364589056.000000	
HEX 18 : 1D82B720	53CF4B8	DDA75A0	
DEC 18 : 495105824.000000	87880888.000000	232420768.000000	
HEX 19 : 8E1EF30	6EAB788	13FD12E0	
DEC 19 : 149024560.000000	116045704.000000	335352544.000000	
HEX 20 : 170C1240	1872E880	7B065A8	
DEC 20 : 386667072.000000	410183808.000000	129000872.000000	
HEX 21 : 5F777	C98DE20	1B57C960	
DEC 21 : 391031.000000	211344928.000000	458738016.000000	
HEX 22 : 1E4731A0	1879E5A0	9C9AC40	
DEC 22 : 507982240.000000	410641824.000000	164211776.000000	
HEX 23 : 1D76F100	259C000	189B9E20	
DEC 23 : 494334208.000000	39436288.000000	412851744.000000	
HEX 24 : 16C1CC80	DA6FC40	1E66D100	
DEC 24 : 381799552.000000	229047360.000000	510054656.000000	
HEX 25 : 1AB4C2E0	10C9EB40	1699C4C0	
DEC 25 : 448053984.000000	281668416.000000	379176128.000000	
HEX 26 : 1AA38F80	18790B40	171B9100	
DEC 26 : 446926720.000000	410585920.000000	387682560.000000	
HEX 27 : 5F5FC	1238B6A0	B457880	
DEC 27 : 390652.000000	305706656.000000	189102208.000000	
HEX 28 : A833F20	5119788	25DA000	
DEC 28 : 176373536.000000	85038984.000000	39690240.000000	
HEX 29 : 5F7B6	2B8F3C4	1C6715A0	
DEC 29 : 391094.000000	45675460.000000	476517792.000000	
HEX 30 : AA518C0	8B83C40	CE2B690	
DEC 30 : 178591936.000000	146291776.000000	216184464.000000	
HEX 31 : 1BEDE260	867B780	1CCF85A0	
DEC 31 : 468574816.000000	141014912.000000	483362208.000000	
HEX 32 : 56BE738	128B94C0	1D6013C0	
DEC 32 : 90957624.000000	311137472.000000	492835776.000000	
HEX 33 : 1D486B00	120D84C0	FA3C780	
DEC 33 : 491285248.000000	302875840.000000	262391680.000000	
HEX 34 : B231500	187A22E0	4C8BB48	
DEC 34 : 186848512.000000	410657504.000000	80264008.000000	
HEX 35 : 17B878C0	121B696	1E2CFA60	
DEC 35 : 397965504.000000	18986646.000000	506264160.000000	
HEX 36 : F2B30B0	8EF1970	6D891E0	
DEC 36 : 254488752.000000	149887344.000000	114856416.000000	
