Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 67
HEX 1 : 5715C40	1288BE20	104C13C0	
DEC 1 : 91315264.000000	310951456.000000	273421248.000000	
HEX 2 : 145B1100	B8CDC40	1F6293C0	
DEC 2 : 341512448.000000	193780800.000000	526554048.000000	
HEX 3 : BD85D30	112DB5A0	159985A0	
DEC 3 : 198729008.000000	288208288.000000	362382752.000000	
HEX 4 : 18E24E60	B3371E0	35F70F0	
DEC 4 : 417484384.000000	187920864.000000	56586480.000000	
HEX 5 : 1C4D000	C01AE20	F886780	
DEC 5 : 29675520.000000	201436704.000000	260597632.000000	
HEX 6 : 17861E20	A85F0F	EB6C000	
DEC 6 : 394665504.000000	11034383.000000	246857728.000000	
HEX 7 : 1059BC00	84783C0	DB7BF10	
DEC 7 : 274316288.000000	138904512.000000	230145808.000000	
HEX 8 : 16C63000	1236FD20	1CD995A0	
DEC 8 : 382087168.000000	305593632.000000	484021664.000000	
HEX 9 : 9D67000	A4F0C40	7E4A000	
DEC 9 : 165048320.000000	172952640.000000	132423680.000000	
HEX 10 : BFFDC40	5DE6698	14F82000	
DEC 10 : 201317440.000000	98461336.000000	351805440.000000	
HEX 11 : 1E02E100	CA1BC40	1D6CB2E0	
DEC 11 : 503505152.000000	211926080.000000	493662944.000000	
HEX 12 : EB5A660	3D73000	7417E20	
DEC 12 : 246785632.000000	64434176.000000	121732640.000000	
HEX 13 : 1F5C9A6	150E2E20	17CAE6A0	
DEC 13 : 32885158.000000	353250848.000000	399173280.000000	
HEX 14 : 11713160	ADD05A0	5474D30	
DEC 14 : 292630880.000000	182257056.000000	88558896.000000	
HEX 15 : 141B3220	12050C40	15CFD780	
DEC 15 : 337326624.000000	302320704.000000	365942656.000000	
HEX 16 : E6C000	1879E2E0	112B4F00	
DEC 16 : 15122432.000000	410641120.000000	288050944.000000	
HEX 17 : EF18A60	F69AE20	ABBA690	
DEC 17 : 250710624.000000	258584096.000000	180070032.000000	
HEX 18 : 118099E0	5455A58	1C5B44C0	
DEC 18 : 293640672.000000	88431192.000000	475743424.000000	
HEX 19 : 4E826D0	10D06E20	8B95D30	
DEC 19 : 82323152.000000	282095136.000000	146365744.000000	
HEX 20 : 155426A0	E4FEA60	F5FA0F0	
DEC 20 : 357836448.000000	240118368.000000	257925360.000000	
HEX 21 : 1F4D2A60	96D8000	8F51A60	
DEC 21 : 525150816.000000	158171136.000000	150280800.000000	
HEX 22 : 17D25A	F47D690	31C55A4	
DEC 22 : 1561178.000000	256366224.000000	52188580.000000	
HEX 23 : 1964D560	1879DF00	12E2D4C0	
DEC 23 : 426038624.000000	410640128.000000	316855488.000000	
HEX 24 : 1B9D6C80	130E6A60	CF8FB50	
DEC 24 : 463301760.000000	319711840.000000	217643856.000000	
HEX 25 : F442750	11CA14C0	1C65A1E0	
DEC 25 : 256124752.000000	298456256.000000	476422624.000000	
HEX 26 : 74720B8	1215F880	1C68A100	
DEC 26 : 122101944.000000	303429760.000000	476619008.000000	
HEX 27 : 1797FAA0	85512D0	A36B5A0	
DEC 27 : 395836064.000000	139793104.000000	171357600.000000	
HEX 28 : 1AC67D60	1879EA60	63F62D0	
DEC 28 : 449215840.000000	410643040.000000	104817360.000000	
HEX 29 : 18E91040	8982E20	19A22A60	
DEC 29 : 417927232.000000	144191008.000000	430058080.000000	
HEX 30 : 1A260880	1879E2E0	1A60A6A0	
DEC 30 : 438700160.000000	410641120.000000	442541728.000000	
HEX 31 : 97483C0	BDA60F0	FEEDD30	
DEC 31 : 158630848.000000	198861040.000000	267312432.000000	
HEX 32 : B2B3130	157B0780	628FB48	
DEC 32 : 187380016.000000	360384384.000000	103349064.000000	
HEX 33 : 3D73878	36321E0	117C6D20	
DEC 33 : 64436344.000000	56828384.000000	293367072.000000	
HEX 34 : 62067C0	9641E2	18174C40	
DEC 34 : 102787008.000000	9847266.000000	404180032.000000	
HEX 35 : 1CDFAF80	1152D880	52F7F10	
DEC 35 : 484421504.000000	290642048.000000	86998800.000000	
HEX 36 : 15A4B440	AACF0F	76C4C40	
DEC 36 : 363115584.000000	11194127.000000	124537920.000000	
HEX 37 : 11DE4120	1879E6A0	12A674C0	
DEC 37 : 299778336.000000	410642080.000000	312898752.000000	
HEX 38 : 7A66568	822A5A	23365A4	
DEC 38 : 128345448.000000	8530522.000000	36922788.000000	
HEX 39 : 1FC68880	137FFB40	1AE4AC40	
DEC 39 : 533104768.000000	327154496.000000	451193920.000000	
HEX 40 : B4593C0	B422E20	1B68C1E0	
DEC 40 : 189109184.000000	188886560.000000	459850208.000000	
HEX 41 : B806C00	EE3DF10	19CBC3C	
DEC 41 : 192965632.000000	249814800.000000	27049020.000000	
HEX 42 : 8087400	187634C0	14925100	
DEC 42 : 134771712.000000	410399936.000000	345133312.000000	
HEX 43 : A880840	2451878	1F9E3100	
DEC 43 : 176687168.000000	38082680.000000	530460928.000000	
HEX 44 : 551E478	93BD0F0	14811E2	
DEC 44 : 89252984.000000	154915056.000000	21500386.000000	
HEX 45 : 14507100	5030A58	13F386A0	
DEC 45 : 340816128.000000	84085336.000000	334726816.000000	
HEX 46 : 1AB74000	E748880	1543D6A0	
DEC 46 : 448217088.000000	242518144.000000	356767392.000000	
HEX 47 : 44C37C0	53611E0	8052780	
DEC 47 : 72103872.000000	87429600.000000	134555520.000000	
HEX 48 : 1BA7F780	45762D0	4C511E0	
DEC 48 : 463992704.000000	72835792.000000	80024032.000000	
HEX 49 : 1FDBB4C0	32B7A5C	DA2B000	
DEC 49 : 534492352.000000	53181020.000000	228765696.000000	
HEX 50 : 645C9A8	1879E2E0	BAD55A0	
DEC 50 : 105236904.000000	410641120.000000	195909024.000000	
HEX 51 : 312983C	61CCE20	1C319F00	
DEC 51 : 51550268.000000	102551072.000000	473014016.000000	
HEX 52 : 1E81EAE0	4AF6B48	16506100	
DEC 52 : 511830752.000000	78605128.000000	374366464.000000	
HEX 53 : 134A1B40	10EEB000	9FD788	
DEC 53 : 323623744.000000	284078080.000000	10475400.000000	
HEX 54 : 12EC99A0	17A9F1E0	4BB7698	
DEC 54 : 317495712.000000	397013472.000000	79394456.000000	
HEX 55 : 3DDE710	182472E0	48CD878	
DEC 55 : 64874256.000000	405041888.000000	76339320.000000	
HEX 56 : 1384B000	4B94878	1723E1E	
DEC 56 : 327462912.000000	79251576.000000	24264222.000000	
HEX 57 : 4FC4C78	CD1E4B0	16C25B40	
DEC 57 : 83643512.000000	215082160.000000	381836096.000000	
HEX 58 : 129F85A0	183CA2E0	1A6F1D20	
DEC 58 : 312444320.000000	406627040.000000	443489568.000000	
HEX 59 : 1B9434C0	89CA0F0	10988780	
DEC 59 : 462697664.000000	144482544.000000	278431616.000000	
HEX 60 : 1F6FD100	14033D20	136396A0	
DEC 60 : 527421696.000000	335756576.000000	325293728.000000	
HEX 61 : B2F5840	18799C40	1BA193C0	
DEC 61 : 187652160.000000	410623040.000000	463573952.000000	
HEX 62 : C5014B0	15347F00	EC2B3C0	
DEC 62 : 206574768.000000	355761920.000000	247641024.000000	
HEX 63 : 11C16B80	B1704B0	1795C4C0	
DEC 63 : 297888640.000000	186057904.000000	395691200.000000	
HEX 64 : 9D7BC80	42A71E0	D016880	
DEC 64 : 165133440.000000	69890528.000000	218196096.000000	
HEX 65 : 18809BC0	11BC696	1A5441E0	
DEC 65 : 411081664.000000	18597526.000000	441729504.000000	
HEX 66 : 15569660	171FB2E0	C1B3B50	
DEC 66 : 357996128.000000	387953376.000000	203111248.000000	
HEX 67 : 15ED96A0	10CF65A0	80BEF10	
DEC 67 : 367892128.000000	282027424.000000	134999824.000000	
68 : 0.000000	0.000000	0.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
