Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 69
HEX 1 : 8275970	5910D30	1EE5D6A0	
DEC 1 : 136796528.000000	93392176.000000	518379168.000000	
HEX 2 : B79AD3	2EB70F0	1DE0CD20	
DEC 2 : 12032723.000000	48984304.000000	501271840.000000	
HEX 3 : AB23170	A5B5970	BDF42D0	
DEC 3 : 179450224.000000	173758832.000000	199181008.000000	
HEX 4 : 1E6301E0	118E55A0	E5CF2D0	
DEC 4 : 509805024.000000	294540704.000000	240972496.000000	
HEX 5 : 1DE95E20	FE4C3C0	398E3C4	
DEC 5 : 501833248.000000	266650560.000000	60351428.000000	
HEX 6 : 5BC15A8	154BE2E0	140CCA60	
DEC 6 : 96212392.000000	357294816.000000	336382560.000000	
HEX 7 : 64EA000	113C8880	A090B50	
DEC 7 : 105816064.000000	289179776.000000	168364880.000000	
HEX 8 : 1036B260	1879D6A0	15790780	
DEC 8 : 272020064.000000	410637984.000000	360253312.000000	
HEX 9 : 155FD080	18777780	30F41E0	
DEC 9 : 358600832.000000	410482560.000000	51331552.000000	
HEX 10 : 19DF2100	158F0880	85A2000	
DEC 10 : 434053376.000000	361695360.000000	140124160.000000	
HEX 11 : B03A5A0	86BA690	176B7C40	
DEC 11 : 184788384.000000	141272720.000000	392920128.000000	
HEX 12 : 17014000	EAA51E0	14E26000	
DEC 12 : 385957888.000000	246043104.000000	350380032.000000	
HEX 13 : DC3E080	3D940F0	93E43C0	
DEC 13 : 230940800.000000	64569584.000000	155075520.000000	
HEX 14 : 1776DAE0	908F970	FB7E1E0	
DEC 14 : 393665248.000000	151583088.000000	263709152.000000	
HEX 15 : B0731E0	14A2E3C0	195D1D20	
DEC 15 : 185020896.000000	346219456.000000	425532704.000000	
HEX 16 : 159CAB40	50FF3C0	80B05A0	
DEC 16 : 362588992.000000	84931520.000000	134940064.000000	
HEX 17 : A2841E0	F315880	143C3780	
DEC 17 : 170410464.000000	254892160.000000	339490688.000000	
HEX 18 : 16EBE900	10FDD4C0	D8F8880	
DEC 18 : 384559360.000000	285070528.000000	227510400.000000	
HEX 19 : 264A52C	C7C3880	1F76C4C0	
DEC 19 : 40150316.000000	209467520.000000	527877312.000000	
HEX 20 : 3C21C3C	BB171E0	125D7780	
DEC 20 : 63052860.000000	196178400.000000	308115328.000000	
HEX 21 : F0922D0	130B96A0	A4C1E20	
DEC 21 : 252256976.000000	319526560.000000	172760608.000000	
HEX 22 : 829C3C	1D4F5A6	6D85D30	
DEC 22 : 8559676.000000	30733734.000000	114842928.000000	
HEX 23 : 1A748780	215AD2C	1C4714C0	
DEC 23 : 443844480.000000	34975020.000000	474420416.000000	
HEX 24 : 6ED53C0	12580F0	ADD85A0	
DEC 24 : 116216768.000000	19235056.000000	182289824.000000	
HEX 25 : B0053C0	356A000	118C3A60	
DEC 25 : 184570816.000000	56008704.000000	294402656.000000	
HEX 26 : AB44350	174B01E0	EC1F1E0	
DEC 26 : 179585872.000000	390791648.000000	247591392.000000	
HEX 27 : 624800	C945A60	9F8E2D0	
DEC 27 : 6440960.000000	211049056.000000	167305936.000000	
HEX 28 : 1940E1E	15DAEE20	3F43698	
DEC 28 : 26480158.000000	366669344.000000	66336408.000000	
HEX 29 : 1A004B40	164F3B40	13CB8F00	
DEC 29 : 436226880.000000	374291264.000000	332107520.000000	
HEX 30 : 2E2E52C	8784F10	191D1780	
DEC 30 : 48424236.000000	142102288.000000	421336960.000000	
HEX 31 : 73AAE98	1879E4C0	82F02D0	
DEC 31 : 121286296.000000	410641600.000000	137298640.000000	
HEX 32 : 10A502E0	120AF880	11958780	
DEC 32 : 279249632.000000	302708864.000000	295012224.000000	
HEX 33 : 26733C4	1879E4C0	E17E2D0	
DEC 33 : 40317892.000000	410641600.000000	236446416.000000	
HEX 34 : 1090C3C0	13879A60	664B4	
DEC 34 : 277922752.000000	327653984.000000	418996.000000	
HEX 35 : F86F710	A986F10	11A49880	
DEC 35 : 260503312.000000	177762064.000000	295999616.000000	
HEX 36 : 1C349C40	4229788	BB2F3C0	
DEC 36 : 473209920.000000	69375880.000000	196277184.000000	
HEX 37 : 197CE96	121BB000	1A84EB40	
DEC 37 : 26726038.000000	303804416.000000	444918592.000000	
HEX 38 : 5396800	1879E3C0	1C3CFA60	
DEC 38 : 87648256.000000	410641344.000000	473758304.000000	
HEX 39 : 1ED0E100	F257880	15D723C0	
DEC 39 : 517005568.000000	254113920.000000	366420928.000000	
HEX 40 : 7E0D440	1A7FE1E	18782A60	
DEC 40 : 132174912.000000	27786782.000000	410528352.000000	
HEX 41 : 7042B48	8F6AF10	573D1E0	
DEC 41 : 117713736.000000	150384400.000000	91476448.000000	
HEX 42 : 154D9B40	2B8CD2C	E4B000	
DEC 42 : 357407552.000000	45665580.000000	14987264.000000	
HEX 43 : 1B7CB780	BEFE0F0	986DB50	
DEC 43 : 461158272.000000	200270064.000000	159832912.000000	
HEX 44 : 8668DA0	164E35A0	CCDE1E	
DEC 44 : 140938656.000000	374224288.000000	13426206.000000	
HEX 45 : 1F18C100	8B6E690	1D4721E0	
DEC 45 : 521715968.000000	146204304.000000	491200992.000000	
HEX 46 : 41E5440	F06B4B0	20E31E0	
DEC 46 : 69096512.000000	252097712.000000	34484704.000000	
HEX 47 : DE2C3C	4CAB4B	1614B5A0	
DEC 47 : 14560316.000000	5024587.000000	370455968.000000	
HEX 48 : 90432D0	1BA6788	3A7AF10	
DEC 48 : 151270096.000000	28993416.000000	61320976.000000	
HEX 49 : 10530800	E31E880	1A770100	
DEC 49 : 273876992.000000	238151808.000000	444006656.000000	
HEX 50 : 1BE202E0	15C5FD20	1BA856A0	
DEC 50 : 467796704.000000	365296928.000000	464017056.000000	
HEX 51 : BF27E90	EEB7880	4CED2D0	
DEC 51 : 200441488.000000	250312832.000000	80663248.000000	
HEX 52 : 2CF1000	48CD1E0	102E8780	
DEC 52 : 47124480.000000	76337632.000000	271484800.000000	
HEX 53 : 120CDBC0	B389780	A8202D0	
DEC 53 : 302832576.000000	188258176.000000	176292560.000000	
HEX 54 : 1C635F00	74E7968	1620F1E0	
DEC 54 : 476274432.000000	122583400.000000	371257824.000000	
HEX 55 : 14D5EA60	14282100	198E7780	
DEC 55 : 349563488.000000	338174208.000000	428767104.000000	
HEX 56 : F18CF10	325BB4C	1BB55780	
DEC 56 : 253284112.000000	52804428.000000	464869248.000000	
HEX 57 : 100D85A0	1879E5A0	1D7335A0	
DEC 57 : 269321632.000000	410641824.000000	494089632.000000	
HEX 58 : 19ABB880	DD531E0	1C404880	
DEC 58 : 430684288.000000	232075744.000000	473974912.000000	
HEX 59 : 14EA4C40	EE5969	162BF100	
DEC 59 : 350899264.000000	15620457.000000	371978496.000000	
HEX 60 : 14D21780	1879E3C0	DE77880	
DEC 60 : 349312896.000000	410641344.000000	233273472.000000	
HEX 61 : E24BD30	1879E3C0	528B878	
DEC 61 : 237288752.000000	410641344.000000	86554744.000000	
HEX 62 : 1E128960	17437C40	1EE41E2	
DEC 62 : 504531296.000000	390298688.000000	32391650.000000	
HEX 63 : 132A4CC0	227BA5C	EDA42D0	
DEC 63 : 321539264.000000	36158044.000000	249184976.000000	
HEX 64 : 8FC0970	DEFC000	1C2031E0	
DEC 64 : 150735216.000000	233816064.000000	471871968.000000	
HEX 65 : E7A5A60	7FDC788	24FE4B4	
DEC 65 : 242899552.000000	134072200.000000	38790324.000000	
HEX 66 : 199A8E20	8F17F10	2E13C3C	
DEC 66 : 429559328.000000	150044432.000000	48315452.000000	
HEX 67 : 15541440	780B2D0	1F2AD5A0	
DEC 67 : 357831744.000000	125874896.000000	522900896.000000	
HEX 68 : 148B71E0	1082AE20	5C3EE20	
DEC 68 : 344682976.000000	276999712.000000	96726560.000000	
HEX 69 : 13D18620	8480690	17617880	
DEC 69 : 332498464.000000	138938000.000000	392263808.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
