Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 56
HEX 1 : F5B9E20	147CA000	CDA31E0	
DEC 1 : 257662496.000000	343711744.000000	215626208.000000	
HEX 2 : 5A1E698	15939F00	1B31D2E	
DEC 2 : 94496408.000000	361996032.000000	28515630.000000	
HEX 3 : 1BC6696	DEA0A60	118724C0	
DEC 3 : 29124246.000000	233441888.000000	294069440.000000	
HEX 4 : 1604ED20	12DD1880	9BD90F0	
DEC 4 : 369421600.000000	316479616.000000	163418352.000000	
HEX 5 : 187E7780	4510E20	FBC3780	
DEC 5 : 410941312.000000	72420896.000000	263993216.000000	
HEX 6 : 2D7AC3C	149E5000	151586A0	
DEC 6 : 47688764.000000	345919488.000000	353732256.000000	
HEX 7 : 12D7A3C0	3A64E20	ACE1D30	
DEC 7 : 316122048.000000	61230624.000000	181280048.000000	
HEX 8 : 18626A60	13F70880	2AD7A5C	
DEC 8 : 409102944.000000	334956672.000000	44923484.000000	
HEX 9 : 5D5FF10	12669A60	D155F10	
DEC 9 : 97910544.000000	308714080.000000	219504400.000000	
HEX 10 : A26B4B	79AE1E	1CC1F960	
DEC 10 : 10644299.000000	7974430.000000	482474336.000000	
HEX 11 : 1162D780	F2EA1E0	11CBBE20	
DEC 11 : 291690368.000000	254714336.000000	298565152.000000	
HEX 12 : 187E7100	1190F6A0	11191960	
DEC 12 : 410939648.000000	294712992.000000	286857568.000000	
HEX 13 : 8AE1D30	AE80690	FB49E20	
DEC 13 : 145628464.000000	182978192.000000	263495200.000000	
HEX 14 : FADE780	1879E960	1CC212E0	
DEC 14 : 263055232.000000	410642784.000000	482480864.000000	
HEX 15 : 411D878	6A3CB48	3EE3B4C	
DEC 15 : 68278392.000000	111397704.000000	65944396.000000	
HEX 16 : 9C584B0	1879E3C0	18170000	
DEC 16 : 163939504.000000	410641344.000000	404160512.000000	
HEX 17 : A2A94B0	1879E3C0	10920E20	
DEC 17 : 170562736.000000	410641344.000000	278007328.000000	
HEX 18 : 68981E0	250B5A4	180A7F00	
DEC 18 : 109674976.000000	38843812.000000	403341056.000000	
HEX 19 : 187E71E0	1879E4C0	E1B6F10	
DEC 19 : 410939872.000000	410641600.000000	236678928.000000	
HEX 20 : A2C15A0	6CFB698	90620F0	
DEC 20 : 170661280.000000	114275992.000000	151396592.000000	
HEX 21 : 31E7F10	186B34C0	1B9DB4C0	
DEC 21 : 52330256.000000	409679040.000000	463320256.000000	
HEX 22 : 6F872D0	11FFBD20	1AD005A0	
DEC 22 : 116945616.000000	301972768.000000	449840544.000000	
HEX 23 : 11D06E20	76B62D0	1E920000	
DEC 23 : 298872352.000000	124478160.000000	512884736.000000	
HEX 24 : 187E6F00	D0C32D0	5A61698	
DEC 24 : 410939136.000000	218903248.000000	94770840.000000	
HEX 25 : D17F880	D6872D0	1D5A01E0	
