Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 1E6276E0	1BA09500	C48B5A0	
DEC 1 : 509769440.000000	463508736.000000	206091680.000000	
HEX 2 : A3B72E0	141AA280	65E4E20	
DEC 2 : 171668192.000000	337289856.000000	106843680.000000	
HEX 3 : 6F17768	16AEE	36820F0	
DEC 3 : 116488040.000000	92910.000000	57155824.000000	
HEX 4 : E9D8550	4174D08	1A5B1A60	
DEC 4 : 245204304.000000	68635912.000000	442178144.000000	
HEX 5 : F868820	1C6D79E0	17969A60	
DEC 5 : 260474912.000000	476936672.000000	395745888.000000	
HEX 6 : 13381020	9239580	17309960	
DEC 6 : 322441248.000000	153326976.000000	389060960.000000	
HEX 7 : E3826A0	1A6C5B20	9DE13C0	
DEC 7 : 238560928.000000	443308832.000000	165548992.000000	
HEX 8 : 7057E90	76451C0	4DD8F10	
DEC 8 : 117800592.000000	124015040.000000	81628944.000000	
HEX 9 : 12D13C4	176979A	805D0F0	
DEC 9 : 19731396.000000	24549274.000000	134598896.000000	
HEX 10 : 8B2FBD0	942D2D0	1A5B1A60	
DEC 10 : 145947600.000000	155374288.000000	442178144.000000	
HEX 11 : 1AB0FB20	1BEEF2C0	132D8C40	
DEC 11 : 447806240.000000	468644544.000000	321752128.000000	
HEX 12 : 6242FF8	113EA840	1553F780	
DEC 12 : 103034872.000000	289318976.000000	357824384.000000	
HEX 13 : E583990	EBED350	1A5B1A60	
DEC 13 : 240662928.000000	247386960.000000	442178144.000000	
HEX 14 : A6F0AC0	D419DF0	199DD2E	
DEC 14 : 175049408.000000	222404080.000000	26860846.000000	
HEX 15 : 5F777	1C1ADEC0	E258D30	
DEC 15 : 391031.000000	471523008.000000	237342000.000000	
HEX 16 : 13AEB1E0	16B6C	16922A60	
DEC 16 : 330215904.000000	93036.000000	378677856.000000	
HEX 17 : 16150600	14C45360	122D6B40	
DEC 17 : 370476544.000000	348410720.000000	304966464.000000	
HEX 18 : 55CE928	E04E690	807EF10	
DEC 18 : 89975080.000000	235202192.000000	134737680.000000	
HEX 19 : ABF0FC0	1ED5EDE0	FA29B50	
DEC 19 : 180293568.000000	517336544.000000	262314832.000000	
HEX 20 : 164C3180	F3CC530	1A5B1A60	
DEC 20 : 374092160.000000	255640880.000000	442178144.000000	
HEX 21 : 1039BFA0	F69D090	1284B960	
DEC 21 : 272220064.000000	258592912.000000	310688096.000000	
HEX 22 : 1F4115A0	8476390	D0CEB50	
DEC 22 : 524359072.000000	138896272.000000	218950480.000000	
HEX 23 : 109F2540	12D17E20	B4813C0	
DEC 23 : 278865216.000000	315719200.000000	189273024.000000	
HEX 24 : 94CBAF0	50E308	1629F960	
DEC 24 : 156023536.000000	5301000.000000	371849568.000000	
HEX 25 : 7C505C0	1C7EC5C0	485CB48	
DEC 25 : 130352576.000000	478070208.000000	75877192.000000	
HEX 26 : 16CBFF40	6C809F8	10FF9F00	
DEC 26 : 382467904.000000	113773048.000000	285187840.000000	
HEX 27 : 19209D20	1EBC2C80	70C1000	
DEC 27 : 421567776.000000	515648640.000000	118231040.000000	
HEX 28 : 5F7B6	763B9C0	1D7C1E2	
DEC 28 : 391094.000000	123976128.000000	30917090.000000	
HEX 29 : 5F7B6	1E30CE20	577AA58	
DEC 29 : 391094.000000	506514976.000000	91728472.000000	
HEX 30 : 1D01F500	185CDE60	50855A8	
DEC 30 : 486667520.000000	408739424.000000	84432296.000000	
HEX 31 : 91C2260	64B5F88	C59E970	
DEC 31 : 152838752.000000	105602952.000000	207219056.000000	
HEX 32 : C451920	781FA	8BA6B50	
DEC 32 : 205855008.000000	492026.000000	146434896.000000	
HEX 33 : 1808FA00	12B32900	9F864B0	
