Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 148DDD60	1EC327C0	2D4CD2C	
DEC 1 : 344841568.000000	516106176.000000	47500588.000000	
HEX 2 : E2C3080	11C14D60	D7DCB50	
DEC 2 : 237777024.000000	297880928.000000	226347856.000000	
HEX 3 : 1F426080	1628A	1425B6A0	
DEC 3 : 524443776.000000	90762.000000	338015904.000000	
HEX 4 : 1A4EF8C0	16D4E100	B6B0F1	
DEC 4 : 441383104.000000	383049984.000000	11972849.000000	
HEX 5 : FB54D70	8A65160	FB055A0	
DEC 5 : 263540080.000000	145117536.000000	263214496.000000	
HEX 6 : 1CED8960	11B11800	E08B5A0	
DEC 6 : 485329248.000000	296818688.000000	235451808.000000	
HEX 7 : C316780	1F809160	E9D7B50	
DEC 7 : 204564352.000000	528519520.000000	245201744.000000	
HEX 8 : 1990A5E0	A553690	31E6C3C	
DEC 8 : 428910048.000000	173356688.000000	52325436.000000	
HEX 9 : B639D30	901F360	3668788	
DEC 9 : 191077680.000000	151122784.000000	57051016.000000	
HEX 10 : 1E074700	459E270	1A015A6	
DEC 10 : 503793408.000000	72999536.000000	27268518.000000	
HEX 11 : 21231E0	168F4	9E51F10	
DEC 11 : 34746848.000000	92404.000000	166010640.000000	
HEX 12 : 139C9500	189880E0	70C1698	
DEC 12 : 329028864.000000	412647648.000000	118232728.000000	
HEX 13 : 5330B88	11A3BD20	F2D22D0	
DEC 13 : 87231368.000000	295943456.000000	254616272.000000	
HEX 14 : 115FC960	1A24C480	1A5B1A60	
DEC 14 : 291490144.000000	438617216.000000	442178144.000000	
HEX 15 : 328034C	A510290	BED788	
DEC 15 : 52953932.000000	173081232.000000	12507016.000000	
HEX 16 : 157CC480	BFF6A00	1A178000	
DEC 16 : 360498304.000000	201288192.000000	437747712.000000	
HEX 17 : 31CC12C	14C7A580	161A82E0	
DEC 17 : 52216108.000000	348628352.000000	370836192.000000	
