Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 77
HEX 1 : 14EAE96	1BBBCCE0	1A5B1E20	
DEC 1 : 21933718.000000	465292512.000000	442179104.000000	
HEX 2 : 3C68CB4	14E7FB60	DF1D4B0	
DEC 2 : 63343796.000000	350747488.000000	233952432.000000	
HEX 3 : E574D30	13E0B8E0	5DED878	
DEC 3 : 240602416.000000	333494496.000000	98490488.000000	
HEX 4 : 18ACFAE0	182B5200	82ACE20	
DEC 4 : 413989600.000000	405492224.000000	137023008.000000	
HEX 5 : 34B3710	1CBEE3E0	498BC40	
DEC 5 : 55260944.000000	482272224.000000	77118528.000000	
HEX 6 : 17150F00	47711F8	DB79000	
DEC 6 : 387256064.000000	74912248.000000	230133760.000000	
HEX 7 : 1AFD53C0	5773348	56DD878	
DEC 7 : 452809664.000000	91697992.000000	91084920.000000	
HEX 8 : 11A53340	C377110	16CA7E20	
DEC 8 : 296039232.000000	204960016.000000	382369312.000000	
HEX 9 : C683620	1D727560	18986C40	
DEC 9 : 208156192.000000	494040416.000000	412642368.000000	
HEX 10 : B6D0530	E84E010	1A5B1A60	
DEC 10 : 191694128.000000	243589136.000000	442178144.000000	
HEX 11 : 13A733C0	169B2	8B66B50	
DEC 11 : 329724864.000000	92594.000000	146172752.000000	
HEX 12 : 12729E20	1A2B5400	BF60780	
DEC 12 : 309501472.000000	439047168.000000	200673152.000000	
HEX 13 : C83E5A0	687FF70	19F0F960	
DEC 13 : 209970592.000000	109576048.000000	435222880.000000	
HEX 14 : 1C7C5100	C8A5E20	354DA5C	
DEC 14 : 477909248.000000	210394656.000000	55892572.000000	
HEX 15 : E96E350	580F558	99E33C0	
DEC 15 : 244769616.000000	92337496.000000	161362880.000000	
HEX 16 : C470000	7866620	1481878	
DEC 16 : 205979648.000000	126248480.000000	21502072.000000	
HEX 17 : 4E93800	16B6C	F2C2A60	
DEC 17 : 82393088.000000	93036.000000	254552672.000000	
HEX 18 : 41A6E98	16B2D	ACA3C4	
DEC 18 : 68841112.000000	92973.000000	11314116.000000	
HEX 19 : 1CB5A4C0	1078FB00	196F21E0	
DEC 19 : 481666240.000000	276364032.000000	426713568.000000	
HEX 20 : A120DA0	18CFDEA0	132426A0	
DEC 20 : 168955296.000000	416276128.000000	321136288.000000	
HEX 21 : E040DA0	12751B60	14014E20	
DEC 21 : 235146656.000000	309664608.000000	335629856.000000	
HEX 22 : 1F0AFCC0	E8BBF70	11BC8000	
DEC 22 : 520813760.000000	244039536.000000	297566208.000000	
HEX 23 : 7C65E98	6801988	CA945A0	
DEC 23 : 130440856.000000	109058440.000000	212420000.000000	
HEX 24 : 1361B440	ACE9380	C0CE0F0	
DEC 24 : 325170240.000000	181310336.000000	202170608.000000	
HEX 25 : AE10800	167F9880	C059780	
DEC 25 : 182519808.000000	377460864.000000	201693056.000000	
HEX 26 : 5AD6E98	9A7F900	1A5B1D20	
DEC 26 : 95252120.000000	162003200.000000	442178848.000000	
HEX 27 : 13AFE000	44C5680	1580D3C0	
DEC 27 : 330293248.000000	72111744.000000	360764352.000000	
HEX 28 : A7CB2D0	1AE48E40	5D3E2D0	
DEC 28 : 175944400.000000	451186240.000000	97772240.000000	
HEX 29 : 17F5AF80	B2062E0	12D65780	
DEC 29 : 401977216.000000	186671840.000000	316036992.000000	
HEX 30 : 131C81E0	1A90C420	16B16C40	
DEC 30 : 320635360.000000	445695008.000000	380726336.000000	
HEX 31 : 18144080	A9B7880	1A5B1B40	
DEC 31 : 403980416.000000	177961088.000000	442178368.000000	
HEX 32 : 51C5698	1E55C740	1466B780	
DEC 32 : 85743256.000000	508938048.000000	342275968.000000	
HEX 33 : 19E801E0	13D686C0	E33B000	
DEC 33 : 434635232.000000	332826304.000000	238268416.000000	
HEX 34 : 1C34CDA0	16B6C	A780690	
DEC 34 : 473222560.000000	93036.000000	175638160.000000	
HEX 35 : A074B5	C0D0780	1256FD20	
DEC 35 : 10515637.000000	202180480.000000	307690784.000000	
HEX 36 : A7B55A0	27917	15E95000	
DEC 36 : 175855008.000000	162071.000000	367611904.000000	
HEX 37 : 77D5710	EB3F640	13F096A0	
DEC 37 : 125654800.000000	246675008.000000	334534304.000000	
HEX 38 : 1CECBBC0	17538D60	142714C0	
DEC 38 : 485276608.000000	391351648.000000	338105536.000000	
HEX 39 : 1B9224C0	16B6C	13D914C0	
DEC 39 : 462562496.000000	93036.000000	332993728.000000	
HEX 40 : 1DEA49E0	67EE6A0	102451E0	
DEC 40 : 501893600.000000	108979872.000000	270815712.000000	
HEX 41 : DC6B0F0	7A1BA00	123DBD20	
DEC 41 : 231125232.000000	128039424.000000	306036000.000000	
HEX 42 : 600ACB8	5BB3C80	13F044C0	
DEC 42 : 100707512.000000	96156800.000000	334513344.000000	
HEX 43 : 5B2FE98	14EB7DC0	6AA44B8	
DEC 43 : 95616664.000000	350977472.000000	111822008.000000	
HEX 44 : 1E10E100	1EC1C300	1492DA60	
DEC 44 : 504422656.000000	516014848.000000	345168480.000000	
HEX 45 : 1FB5FC40	1F6CCC40	91CBE20	
DEC 45 : 532020288.000000	527223872.000000	152878624.000000	
HEX 46 : 1716E960	16B6C	2035A5C	
DEC 46 : 387377504.000000	93036.000000	33774172.000000	
HEX 47 : A076080	16850FE0	1A575D20	
DEC 47 : 168255616.000000	377819104.000000	441933088.000000	
HEX 48 : 1430C520	8C1C940	4D9C2D0	
DEC 48 : 338740512.000000	146917696.000000	81380048.000000	
HEX 49 : DB5E440	C6F05D0	6CEE4B8	
DEC 49 : 230024256.000000	208602576.000000	114222264.000000	
HEX 50 : 18654520	1E7DBB80	1A5912E0	
