Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 43E5A58	1CDD36C0	31154B4	
DEC 1 : 71195224.000000	484259520.000000	51467444.000000	
HEX 2 : 20DBE98	16B6C	1004BA60	
DEC 2 : 34455192.000000	93036.000000	268745312.000000	
HEX 3 : A2BF080	16B6C	66D2D3	
DEC 3 : 170651776.000000	93036.000000	6738643.000000	
HEX 4 : 1493A4C0	52A7760	1A5B1D20	
DEC 4 : 345220288.000000	86669152.000000	442178848.000000	
HEX 5 : DF83880	C352BC0	1041CC40	
DEC 5 : 234371200.000000	204811200.000000	272747584.000000	
HEX 6 : 1CC74880	2C497	1A4AB3C0	
DEC 6 : 482822272.000000	181399.000000	441103296.000000	
HEX 7 : 85D5B50	3FDD3E0	EF7C3C0	
DEC 7 : 140335952.000000	66966496.000000	251118528.000000	
HEX 8 : F53DF10	5EFB130	25F1878	
DEC 8 : 257154832.000000	99594544.000000	39786616.000000	
HEX 9 : FAD5350	1EC8AF00	1320B4C0	
DEC 9 : 263017296.000000	516468480.000000	320910528.000000	
HEX 10 : 18730340	3163838	3A3B4B	
DEC 10 : 410190656.000000	51787832.000000	3816267.000000	
HEX 11 : 62CE968	1B534240	172D2000	
DEC 11 : 103606632.000000	458441280.000000	388833280.000000	
HEX 12 : 1A0CEB40	33DBB	B77B000	
DEC 12 : 437054272.000000	212411.000000	192393216.000000	
HEX 13 : 25EC9E0	4485890	9D473C0	
DEC 13 : 39766496.000000	71850128.000000	164918208.000000	
HEX 14 : 179EEBC0	141E32A0	867E5A0	
DEC 14 : 396291008.000000	337523360.000000	141026720.000000	
HEX 15 : 123ADB40	16BEA	5FD9000	
DEC 15 : 305847104.000000	93162.000000	100503552.000000	
HEX 16 : 18FB12E0	FE3D9A0	1C85A5A	
DEC 16 : 419107552.000000	266590624.000000	29907546.000000	
HEX 17 : 1E7A6B40	1301F6A	557EA58	
DEC 17 : 511339328.000000	19930986.000000	89647704.000000	
HEX 18 : 1210F4C0	18E3A860	DA564B0	
DEC 18 : 303101120.000000	417572960.000000	228943024.000000	
HEX 19 : 11A8B900	110E08E0	14AECA60	
DEC 19 : 296270080.000000	286132448.000000	346999392.000000	
HEX 20 : ABD5690	B549A30	9833000	
DEC 20 : 180180624.000000	190093872.000000	159592448.000000	
HEX 21 : 33CF168	1CAB6BC0	F83FA60	
DEC 21 : 54325608.000000	480996288.000000	260307552.000000	
HEX 22 : B9FCD30	102F50C0	3D341E0	
DEC 22 : 195022128.000000	271536320.000000	64176608.000000	
HEX 23 : AB50E90	12B14820	124C8E20	
DEC 23 : 179637904.000000	313608224.000000	307007008.000000	
HEX 24 : 1C6BCA60	9228B90	24F5878	
DEC 24 : 476826208.000000	153258896.000000	38754424.000000	
HEX 25 : 1E201880	16CBE220	CC744B0	
DEC 25 : 505419904.000000	382460448.000000	214385840.000000	
HEX 26 : 17840440	1ED5B7C0	D1FAE20	
DEC 26 : 394527808.000000	517322688.000000	220180000.000000	
HEX 27 : 1803F520	9C2A220	143C3B40	
DEC 27 : 402912544.000000	163750432.000000	339491648.000000	
HEX 28 : 3A394B4	B5FF980	C043F10	
DEC 28 : 61052084.000000	190839168.000000	201604880.000000	
HEX 29 : 1EE52B40	149C8120	4E933C0	
DEC 29 : 518335296.000000	345800992.000000	82392000.000000	
HEX 30 : 13F4E2E0	CAB7230	1A5B1C40	
DEC 30 : 334815968.000000	212562480.000000	442178624.000000	
HEX 31 : 3BC75A4	157082E0	118EAF00	
DEC 31 : 62682532.000000	359695072.000000	294563584.000000	
HEX 32 : 1A77F5A0	1B469220	6A920F0	
DEC 32 : 444069280.000000	457609760.000000	111747312.000000	
HEX 33 : 127614C0	16BEA	EA10780	
DEC 33 : 309728448.000000	93162.000000	245434240.000000	
HEX 34 : 12C31080	1BC68560	55EE968	
DEC 34 : 314773632.000000	465995104.000000	90106216.000000	
HEX 35 : 469E0F0	8E718E0	13161100	
DEC 35 : 74047728.000000	149362912.000000	320213248.000000	
HEX 36 : C97DF10	174A1660	8297970	
DEC 36 : 211279632.000000	390731360.000000	136935792.000000	
HEX 37 : 3E20E20	DE22AF0	2EC5A5C	
DEC 37 : 65146400.000000	232925936.000000	49044060.000000	
HEX 38 : 16FC1620	13518B40	FDD9880	
DEC 38 : 385619488.000000	324111168.000000	266180736.000000	
HEX 39 : 105B7100	119A2920	B5A4880	
DEC 39 : 274428160.000000	295315744.000000	190466176.000000	
HEX 40 : 1D4862E0	16AAF	12714100	
DEC 40 : 491283168.000000	92847.000000	309412096.000000	
HEX 41 : 151356A0	C413560	DC49780	
DEC 41 : 353588896.000000	205600096.000000	230987648.000000	
HEX 42 : 322787	16B2D	1A5B1A60	
DEC 42 : 3286919.000000	92973.000000	442178144.000000	
HEX 43 : D115E90	5B8AE38	1A5B1A60	
DEC 43 : 219242128.000000	95989304.000000	442178144.000000	
HEX 44 : 1D89CA60	1FDC5380	1A5B1A60	
DEC 44 : 495569504.000000	534532992.000000	442178144.000000	
HEX 45 : 6A982D0	12598140	AF6EA60	
DEC 45 : 111772368.000000	307855680.000000	183954016.000000	
HEX 46 : 1C3791E0	1455E060	152F36A0	
DEC 46 : 473403872.000000	341172320.000000	355415712.000000	
HEX 47 : 15581900	19CA12A0	145D5000	
DEC 47 : 358095104.000000	432673440.000000	341659648.000000	
HEX 48 : 1D32EC40	DE96A00	10AFED20	
DEC 48 : 489876544.000000	233400832.000000	279964960.000000	
HEX 49 : 19EA43C0	1FD5FF00	BB3C3	
DEC 49 : 434783168.000000	534118144.000000	766915.000000	
HEX 50 : 1BC115A0	7785000	1A5B3960	
DEC 50 : 465638816.000000	125325312.000000	442186080.000000	
HEX 51 : DC43080	168F4	15814D20	
DEC 51 : 230961280.000000	92404.000000	360795424.000000	
HEX 52 : 16405340	168F4	15228C40	
DEC 52 : 373314368.000000	92404.000000	354585664.000000	
HEX 53 : 655D348	10C71B2	161FA1E0	
DEC 53 : 106287944.000000	17592754.000000	371171808.000000	
HEX 54 : 17208440	5984C08	733E000	
DEC 54 : 388006976.000000	93867016.000000	120840192.000000	
HEX 55 : 143A5D20	1E42C840	1A552F00	
DEC 55 : 339369248.000000	507693120.000000	441790208.000000	
HEX 56 : 6802F88	159C5DA0	2D331E0	
DEC 56 : 109064072.000000	362569120.000000	47395296.000000	
HEX 57 : 19E041E0	19482A40	1A5B1A60	
DEC 57 : 434127328.000000	424159808.000000	442178144.000000	
HEX 58 : D3E49E0	18B4AC20	16D88C40	
DEC 58 : 222185952.000000	414493728.000000	383290432.000000	
HEX 59 : 13175A6	17C31E80	82732D0	
DEC 59 : 20018598.000000	398663296.000000	136786640.000000	
HEX 60 : A8420F0	19D8D0C0	FEBD000	
DEC 60 : 176431344.000000	433639616.000000	267112448.000000	
