Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 69
HEX 1 : 4C29F10	1EC31500	1319EF00	
DEC 1 : 79863568.000000	516101376.000000	320466688.000000	
HEX 2 : 1878AF00	EC46DC0	164D6E20	
DEC 2 : 410562304.000000	247754176.000000	374173216.000000	
HEX 3 : 5DE8F10	10A37	DC6A5A0	
DEC 3 : 98471696.000000	68151.000000	231122336.000000	
HEX 4 : 872AF10	5496CE0	1A5B2780	
DEC 4 : 141733648.000000	88698080.000000	442181504.000000	
HEX 5 : F066970	64FB410	165C96A0	
DEC 5 : 252078448.000000	105886736.000000	375166624.000000	
HEX 6 : A797E20	1BB93EE0	1A5B3E20	
DEC 6 : 175734304.000000	465125088.000000	442187296.000000	
HEX 7 : 187E7000	18210480	404D5A8	
DEC 7 : 410939392.000000	404817024.000000	67425704.000000	
HEX 8 : 320C5A4	175B1700	10458D20	
DEC 8 : 52479396.000000	391845632.000000	272993568.000000	
HEX 9 : 21391E0	DC125A0	106B1B40	
DEC 9 : 34836960.000000	230761888.000000	275454784.000000	
HEX 10 : 140B000	125ABE80	4710C40	
DEC 10 : 21016576.000000	307936896.000000	74517568.000000	
HEX 11 : 187EA000	16344580	123E5960	
DEC 11 : 410951680.000000	372524416.000000	306076000.000000	
HEX 12 : B3032D0	1AD887E0	12E99A60	
DEC 12 : 187708112.000000	450398176.000000	317299296.000000	
HEX 13 : B7762D0	168B5	10050F0	
DEC 13 : 192373456.000000	92341.000000	16797936.000000	
HEX 14 : 56B4000	B2DDC20	16A783C0	
DEC 14 : 90914816.000000	187554848.000000	380076992.000000	
HEX 15 : 2A4FB4C	AF88570	3F4BB4C	
DEC 15 : 44366668.000000	184059248.000000	66370380.000000	
HEX 16 : 1495A5A	19454F20	1770C3C	
DEC 16 : 21584474.000000	423972640.000000	24579132.000000	
HEX 17 : 15D2B960	BB191A0	8C1B0F0	
DEC 17 : 366131552.000000	196186528.000000	146911472.000000	
HEX 18 : A986F10	1619A880	7649788	
DEC 18 : 177762064.000000	370780288.000000	124032904.000000	
HEX 19 : 10D6EC40	1C32ED20	7EA8B48	
DEC 19 : 282520640.000000	473099552.000000	132811592.000000	
HEX 20 : 11580100	16D189A0	1484F5A0	
DEC 20 : 290980096.000000	382831008.000000	344257952.000000	
HEX 21 : 6D511E0	113A3C40	BBA0B50	
DEC 21 : 114627040.000000	289029184.000000	196741968.000000	
HEX 22 : C1855A0	7816FC0	911A970	
DEC 22 : 202921376.000000	125923264.000000	152152432.000000	
HEX 23 : 10BDB960	735DD60	30BE968	
DEC 23 : 280869216.000000	120970592.000000	51112296.000000	
HEX 24 : 1200B2E0	14D1E500	6F681E0	
DEC 24 : 302035680.000000	349299968.000000	116818400.000000	
HEX 25 : 136414C0	AF77290	1A5B41E0	
DEC 25 : 325326016.000000	183988880.000000	442188256.000000	
HEX 26 : 149443C0	10433220	FC842D0	
DEC 26 : 345260992.000000	272839200.000000	264782544.000000	
HEX 27 : 9945E20	C093ED0	107014C0	
DEC 27 : 160718368.000000	201932496.000000	275780800.000000	
HEX 28 : 89391E0	6EC7E50	1B12F10	
DEC 28 : 143888864.000000	116162128.000000	28389136.000000	
HEX 29 : 46C42D0	18283A80	17A53E20	
DEC 29 : 74203856.000000	405289600.000000	396705312.000000	
HEX 30 : 3023B4C	1146C820	1A5B36A0	
DEC 30 : 50477900.000000	289851424.000000	442185376.000000	
HEX 31 : BDE4690	1384A3A0	1A5B1A60	
DEC 31 : 199116432.000000	327459744.000000	442178144.000000	
HEX 32 : 187E73C0	16B2D	14A9D2E	
DEC 32 : 410940352.000000	92973.000000	21667118.000000	
HEX 33 : 82E8780	1413B	14FF2C40	
DEC 33 : 137267072.000000	82235.000000	352267328.000000	
HEX 34 : 187EA960	17F8F280	1A5B1C40	
DEC 34 : 410954080.000000	402190976.000000	442178624.000000	
HEX 35 : B66A780	49C23F8	FFC0C40	
DEC 35 : 191276928.000000	77341688.000000	268176448.000000	
HEX 36 : 11ACF4C0	1EACBD00	DAD5A6	
DEC 36 : 296547520.000000	514637056.000000	14341542.000000	
HEX 37 : 17A6F3C0	1DA444E0	152B7780	
DEC 37 : 396817344.000000	497304800.000000	355170176.000000	
HEX 38 : 12003960	1BC6FFC0	1A25A1E0	
DEC 38 : 302004576.000000	466026432.000000	438673888.000000	
HEX 39 : 11017E20	9A29EF0	FD56B50	
DEC 39 : 285310496.000000	161652464.000000	265644880.000000	
HEX 40 : 187EDE20	6642E70	173DF100	
DEC 40 : 410967584.000000	107228784.000000	389935360.000000	
HEX 41 : 28C22D4	1855C700	8D43000	
DEC 41 : 42738388.000000	408274688.000000	148123648.000000	
HEX 42 : 11AE16A0	1C53AD40	F65BF10	
DEC 42 : 296621728.000000	475245888.000000	258326288.000000	
HEX 43 : A8391E0	1C769860	2FB2E20	
DEC 43 : 176394720.000000	477534304.000000	50015776.000000	
HEX 44 : E98BA60	EA8EA10	AC51E20	
DEC 44 : 244890208.000000	245950992.000000	180690464.000000	
HEX 45 : FF6DD30	17326000	1D92D2	
DEC 45 : 267836720.000000	389177344.000000	1938130.000000	
HEX 46 : CB774B0	14968B40	F03A5A0	
DEC 46 : 213349552.000000	345410368.000000	251897248.000000	
HEX 47 : DD06D30	163C6	1A4D41E0	
DEC 47 : 231763248.000000	91078.000000	441270752.000000	
HEX 48 : 1193AD20	ED1E870	26F2878	
DEC 48 : 294890784.000000	248637552.000000	40839288.000000	
HEX 49 : 135A56A0	4CF1C70	A8AF000	
DEC 49 : 324687520.000000	80682096.000000	176877568.000000	
HEX 50 : 117103C0	16973	100446A0	
DEC 50 : 292619200.000000	92531.000000	268715680.000000	
HEX 51 : 798ED30	12312AE0	144C6000	
DEC 51 : 127462704.000000	305212128.000000	340549632.000000	
HEX 52 : 4DA50F0	30C83F4	6F72788	
DEC 52 : 81416432.000000	51151860.000000	116860808.000000	
HEX 53 : 148631E0	12225	16E2D6A0	
DEC 53 : 344338912.000000	74277.000000	383964832.000000	
HEX 54 : 1353F100	127EE520	1A5B2D20	
DEC 54 : 324268288.000000	310306080.000000	442182944.000000	
HEX 55 : C7393C0	16E23	A1EA780	
DEC 55 : 208901056.000000	93731.000000	169781120.000000	
HEX 56 : 516FA58	98AA8A0	AEEAF10	
DEC 56 : 85391960.000000	160082080.000000	183414544.000000	
HEX 57 : 349E2D4	5C824A0	11DB34C0	
DEC 57 : 55173844.000000	97002656.000000	299578560.000000	
HEX 58 : 7B78000	14E70D00	8A15A6	
DEC 58 : 129466368.000000	350686464.000000	9049510.000000	
HEX 59 : 881C780	1BBB7540	BEECB50	
DEC 59 : 142722944.000000	465270080.000000	200198992.000000	
HEX 60 : 9858C40	DBB7450	5493000	
DEC 60 : 159747136.000000	230388816.000000	88682496.000000	
HEX 61 : EB890F0	FC2C280	147C5100	
DEC 61 : 246976752.000000	264422016.000000	343691520.000000	
HEX 62 : 1E454B4	2055C08	189C84C0	
DEC 62 : 31741108.000000	33905672.000000	412910784.000000	
HEX 63 : 187EB6A0	143EB900	ABB9880	
DEC 63 : 410957472.000000	339654912.000000	180066432.000000	
HEX 64 : 11E56780	274E6	4EB43C0	
DEC 64 : 300246912.000000	160998.000000	82527168.000000	
HEX 65 : 187EC100	9E14240	1091CB40	
DEC 65 : 410960128.000000	165757504.000000	277990208.000000	
HEX 66 : 187E06A0	7526468	311F3C4	
DEC 66 : 410912416.000000	122840168.000000	51508164.000000	
HEX 67 : 187E64C0	1B9D7520	C4604B0	
DEC 67 : 410936512.000000	463303968.000000	205915312.000000	
HEX 68 : 1877F960	32451	D4EE5A0	
DEC 68 : 410515808.000000	205905.000000	223274400.000000	
HEX 69 : BED8B50	BF6B9C0	1A5B6100	
DEC 69 : 200117072.000000	200718784.000000	442196224.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
