Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 80
HEX 1 : 1A484980	CC1D880	3DDD878	
DEC 1 : 440945024.000000	214030464.000000	64870520.000000	
HEX 2 : 7343780	6AC7310	4060E20	
DEC 2 : 120862592.000000	111964944.000000	67505696.000000	
HEX 3 : 60D6C	DA2D220	1A59E5A0	
DEC 3 : 396652.000000	228774432.000000	442099104.000000	
HEX 4 : 93DCC30	127ECD00	1A5B2E20	
DEC 4 : 155044912.000000	310299904.000000	442183200.000000	
HEX 5 : 152DFF00	1D0E7700	180755A0	
DEC 5 : 355335936.000000	487487232.000000	403133856.000000	
HEX 6 : 54EC188	14AAF160	1450A1E0	
DEC 6 : 89047432.000000	346747232.000000	340828640.000000	
HEX 7 : 61494	152B83C0	1A5B1B40	
DEC 7 : 398484.000000	355173312.000000	442178368.000000	
HEX 8 : 1EADC0C0	1EBF2DA0	1004C100	
DEC 8 : 514703552.000000	515845536.000000	268747008.000000	
HEX 9 : 72967	6414B10	643BD30	
DEC 9 : 469351.000000	104942352.000000	105102640.000000	
HEX 10 : 16823780	66684F0	813AE20	
DEC 10 : 377632640.000000	107382000.000000	135507488.000000	
HEX 11 : 67BB340	1DC4A1E0	13056C40	
DEC 11 : 108770112.000000	499425760.000000	319122496.000000	
HEX 12 : 12ECBEC0	1CF27F80	818F3C0	
DEC 12 : 317505216.000000	485654400.000000	135852992.000000	
HEX 13 : 5F10D	12883160	F6524B0	
DEC 13 : 389389.000000	310915424.000000	258286768.000000	
HEX 14 : E522930	1267E960	14CC8C40	
DEC 14 : 240265520.000000	308799840.000000	348949568.000000	
HEX 15 : 1ECBC800	67539A8	63313C0	
DEC 15 : 516671488.000000	108345768.000000	104010688.000000	
HEX 16 : 5ED59	1D34D6A0	DC6A690	
DEC 16 : 388441.000000	490002080.000000	231122576.000000	
HEX 17 : 14BB6880	16F0CE20	C432780	
DEC 17 : 347826304.000000	384880160.000000	205727616.000000	
HEX 18 : 99BDB70	BEAAD30	8DCEB50	
DEC 18 : 161209200.000000	199929136.000000	148695888.000000	
HEX 19 : FC36CB0	36D0878	1A5B1B40	
DEC 19 : 264465584.000000	57477240.000000	442178368.000000	
HEX 20 : 251DDB4	1E4CEAE0	1A5AEC40	
DEC 20 : 38919604.000000	508357344.000000	442166336.000000	
HEX 21 : 1AA016E0	27339E0	165E1E	
DEC 21 : 446699232.000000	41105888.000000	1465886.000000	
HEX 22 : 1C040220	12A35780	103455A0	
DEC 22 : 470024736.000000	312694656.000000	271865248.000000	
HEX 23 : E8BF010	1AB60D60	26503C4	
DEC 23 : 244051984.000000	448138592.000000	40174532.000000	
HEX 24 : 161A3520	1750F1	177621E0	
DEC 24 : 370816288.000000	1528049.000000	393617888.000000	
HEX 25 : 5ECDB	945B8B0	14361880	
DEC 25 : 388315.000000	155564208.000000	339089536.000000	
HEX 26 : 856D070	19E5DE60	19514000	
DEC 26 : 139907184.000000	434495072.000000	424755200.000000	
HEX 27 : 5F4FF	EDB08B0	7D1AA58	
DEC 27 : 390399.000000	249235632.000000	131181144.000000	
HEX 28 : EA728C0	CD4E780	1A5AE000	
DEC 28 : 245835968.000000	215279488.000000	442163200.000000	
HEX 29 : 5DF8468	1C0A9BC0	92E5D30	
DEC 29 : 98534504.000000	470457280.000000	154033456.000000	
HEX 30 : 176F54A0	1CB58800	1046BF00	
DEC 30 : 393172128.000000	481658880.000000	273071872.000000	
HEX 31 : 6AA0290	16CC2D00	264BB4C	
DEC 31 : 111805072.000000	382479616.000000	40155980.000000	
HEX 32 : 16E82B40	7D2B298	111BF000	
DEC 32 : 384314176.000000	131248792.000000	287043584.000000	
HEX 33 : 1AE4B0A0	1D7AB700	213B4B	
DEC 33 : 451195040.000000	494581504.000000	2177867.000000	
HEX 34 : C8D67D0	11AA3AE0	47F7F10	
DEC 34 : 210593744.000000	296368864.000000	75464464.000000	
HEX 35 : 96F3C20	631A220	175C24C0	
DEC 35 : 158284832.000000	103916064.000000	391914688.000000	
HEX 36 : 557E008	12201A6	9EF70F0	
DEC 36 : 89645064.000000	19005862.000000	166686960.000000	
HEX 37 : 15456BC0	F8877C0	EF44880	
DEC 37 : 356871104.000000	260601792.000000	250890368.000000	
HEX 38 : CB77750	18EA5880	9795A60	
DEC 38 : 213350224.000000	418011264.000000	158947936.000000	
HEX 39 : A5EA310	E238CB0	10043E20	
DEC 39 : 173974288.000000	237210800.000000	268713504.000000	
HEX 40 : 19403140	EC41BC0	16141B40	
DEC 40 : 423637312.000000	247733184.000000	370416448.000000	
HEX 41 : 10177E20	1D929620	11B30780	
DEC 41 : 269975072.000000	496145952.000000	296945536.000000	
HEX 42 : 19B9A960	1231AC40	90BAD30	
DEC 42 : 431597920.000000	305245248.000000	151760176.000000	
HEX 43 : 642F6	1AD55520	1EFA1E2	
DEC 43 : 410358.000000	450188576.000000	32481762.000000	
HEX 44 : 1E6BFB40	88AC0B0	1212E780	
DEC 44 : 510393152.000000	143311024.000000	303228800.000000	
HEX 45 : 1BDF2140	33CD4B4	D262B50	
DEC 45 : 467607872.000000	54318260.000000	220605264.000000	
HEX 46 : 10A3BEE0	B6A8690	133B2C40	
DEC 46 : 279166688.000000	191530640.000000	322645056.000000	
HEX 47 : 14525460	1293A5A0	1A4E6960	
DEC 47 : 340939872.000000	311666080.000000	441346400.000000	
HEX 48 : 13BE55C0	1FD4AAE0	86AE1E	
DEC 48 : 331240896.000000	534031072.000000	8826398.000000	
HEX 49 : 187B8980	18A76400	56200F0	
DEC 49 : 410749312.000000	413623296.000000	90308848.000000	
HEX 50 : 874EDC0	6816E20	F78E780	
DEC 50 : 141880768.000000	109145632.000000	259581824.000000	
HEX 51 : CF06800	24CF800	7B952D0	
DEC 51 : 217081856.000000	38598656.000000	129585872.000000	
HEX 52 : 5F7F5	134FF440	194E788	
DEC 52 : 391157.000000	324006976.000000	26535816.000000	
HEX 53 : 5F738	1A0609A0	149981E0	
DEC 53 : 390968.000000	436603296.000000	345604576.000000	
HEX 54 : 1528F380	89F61E0	1942ED20	
DEC 54 : 355005312.000000	144663008.000000	423816480.000000	
HEX 55 : 677E920	139B80C0	BA773C0	
DEC 55 : 108521760.000000	328958144.000000	195523520.000000	
HEX 56 : FA9A8B0	187DD2E0	1A5B1D20	
DEC 56 : 262777008.000000	410899168.000000	442178848.000000	
HEX 57 : 1DC3F260	1984D040	AAD7690	
DEC 57 : 499380832.000000	428134464.000000	179140240.000000	
HEX 58 : 648B260	CF01040	1639D780	
DEC 58 : 105427552.000000	217059392.000000	372889472.000000	
HEX 59 : E305920	970FFC0	36C6D2C	
DEC 59 : 238049568.000000	158400448.000000	57437484.000000	
HEX 60 : 1FE46040	A83A570	1930A780	
DEC 60 : 535060544.000000	176399728.000000	422619008.000000	
HEX 61 : FE02350	8227290	C7F6880	
DEC 61 : 266347344.000000	136475280.000000	209676416.000000	
HEX 62 : AF44760	182669E0	10C10F00	
DEC 62 : 183781216.000000	405170656.000000	281087744.000000	
HEX 63 : F071B90	12123DA0	B98E780	
DEC 63 : 252124048.000000	303185312.000000	194570112.000000	
HEX 64 : 12A17940	2D7B65C	1BF50F0	
DEC 64 : 312572224.000000	47691356.000000	29315312.000000	
HEX 65 : D8042C	4FFB620	1A5B1C40	
DEC 65 : 14156844.000000	83867168.000000	442178624.000000	
HEX 66 : 1C509380	1DA94780	1A5B2000	
DEC 66 : 475042688.000000	497633152.000000	442179584.000000	
HEX 67 : 103C8B00	3A9C4F0	12D85880	
DEC 67 : 272403200.000000	61457648.000000	316168320.000000	
HEX 68 : CF43AC	3799AD4	F78C5A0	
DEC 68 : 13583276.000000	58301140.000000	259573152.000000	
HEX 69 : 133B4C80	D8C0DA0	74A4B48	
DEC 69 : 322653312.000000	227282336.000000	122309448.000000	
HEX 70 : 1B69EC80	4932440	1A5B1960	
DEC 70 : 459926656.000000	76751936.000000	442177888.000000	
HEX 71 : 62B68B0	1F357D20	25B5698	
DEC 71 : 103508144.000000	523599136.000000	39540376.000000	
HEX 72 : 1BA28260	B68CA60	BB1A690	
DEC 72 : 463635040.000000	191416928.000000	196191888.000000	
HEX 73 : 5CC92D0	EB13C40	2FDD4B4	
DEC 73 : 97293008.000000	246496320.000000	50189492.000000	
HEX 74 : 1BA80020	1881F740	14E80C40	
DEC 74 : 463994912.000000	411170624.000000	350751808.000000	
HEX 75 : 1D9AE7A0	13AF8260	1D71D2E	
DEC 75 : 496691104.000000	330269280.000000	30874926.000000	
HEX 76 : 13EF82A0	13AC1C00	20942D4	
DEC 76 : 334463648.000000	330046464.000000	34161364.000000	
HEX 77 : 1470FE20	16ABEE20	13C803C0	
DEC 77 : 342949408.000000	380366368.000000	331875264.000000	
HEX 78 : 5F7B6	1662F780	8ABD1E0	
DEC 78 : 391094.000000	375584640.000000	145478112.000000	
HEX 79 : 33CD240	BAEACF0	DD7E3C0	
DEC 79 : 54317632.000000	195996912.000000	232252352.000000	
HEX 80 : 1D31F0C0	138B8920	1A5B1A60	
DEC 80 : 489812160.000000	327911712.000000	442178144.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
