Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
HEX 1 : 28282D4	18811160	11CA0960	
DEC 1 : 42107604.000000	411111776.000000	298453344.000000	
HEX 2 : CB13000	6512AD0	5BEB5A8	
DEC 2 : 212938752.000000	105982672.000000	96384424.000000	
HEX 3 : 1C69B800	F4A5710	1A5B1A60	
DEC 3 : 476690432.000000	256530192.000000	442178144.000000	
HEX 4 : 6BCE040	8837C80	1661878	
DEC 4 : 113041472.000000	142834816.000000	23468152.000000	
HEX 5 : 131E1A6	1ACD3560	40FED30	
DEC 5 : 20046246.000000	449656160.000000	68152624.000000	
HEX 6 : AC6C660	784D658	DC5EE20	
DEC 6 : 180799072.000000	126146136.000000	231075360.000000	
HEX 7 : 185AEB80	19B6BE20	1951E100	
DEC 7 : 408611712.000000	431406624.000000	424796416.000000	
HEX 8 : 1567EAA0	D338A60	1875FC40	
DEC 8 : 359131808.000000	221481568.000000	410385472.000000	
HEX 9 : 965AED0	1D7506A0	15466A60	
DEC 9 : 157658832.000000	494208672.000000	356936288.000000	
HEX 10 : 11A36960	1367D6A0	A43E2D0	
DEC 10 : 295922016.000000	325572256.000000	172221136.000000	
HEX 11 : 9035880	1CAB0440	58371E0	
DEC 11 : 151214208.000000	480969792.000000	92500448.000000	
HEX 12 : 5864168	133BFAE0	24E53C4	
DEC 12 : 92684648.000000	322697952.000000	38687684.000000	
HEX 13 : 1A0276A0	14CC81E0	D2C50F0	
DEC 13 : 436369056.000000	348946912.000000	221008112.000000	
HEX 14 : 1856AF00	4BB8298	C52B3C0	
DEC 14 : 408334080.000000	79397528.000000	206746560.000000	
HEX 15 : DFB59A0	6868C78	14836F00	
DEC 15 : 234576288.000000	109481080.000000	344157952.000000	
HEX 16 : 1527F1E0	79E5C40	1281A1E0	
DEC 16 : 354939360.000000	127818816.000000	310485472.000000	
HEX 17 : 217E968	F60C7C0	1339A960	
DEC 17 : 35121512.000000	258000832.000000	322546016.000000	
HEX 18 : EC54380	1AB70900	A62FE20	
DEC 18 : 247808896.000000	448203008.000000	174259744.000000	
HEX 19 : 1015FCC0	D4E2DE0	1200F000	
DEC 19 : 269876416.000000	223227360.000000	302051328.000000	
HEX 20 : 14840D20	13C6C880	127E788	
DEC 20 : 344198432.000000	331794560.000000	19392392.000000	
HEX 21 : EE9BC80	10826620	1A5B1C40	
