Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 1 : 16368900	94281E0	9134690	
DEC 1 : 372672768.000000	155353568.000000	152258192.000000	
HEX 2 : 1FFAC520	4688440	F741880	
DEC 2 : 536528160.000000	73958464.000000	259266688.000000	
HEX 3 : 2656710	15585D60	B25B0F0	
DEC 3 : 40199952.000000	358112608.000000	187019504.000000	
HEX 4 : BCC3800	101FC700	139DEA60	
DEC 4 : 197933056.000000	270518016.000000	329116256.000000	
HEX 5 : 7B84168	4E8C5A8	11D1D4C0	
DEC 5 : 129515880.000000	82363816.000000	298964160.000000	
HEX 6 : 18DB44C0	CA5AC40	179DC5A0	
DEC 6 : 417023168.000000	212184128.000000	396215712.000000	
HEX 7 : D942170	C0C7CB0	B89F0F	
DEC 7 : 227811696.000000	202144944.000000	12099343.000000	
HEX 8 : AE84E20	135CB880	1A5B1A60	
DEC 8 : 182996512.000000	324843648.000000	442178144.000000	
HEX 9 : 38752D	F416A90	74A5698	
DEC 9 : 3700013.000000	255945360.000000	122312344.000000	
HEX 10 : E217780	1E0D1900	1A5B1C40	
DEC 10 : 237074304.000000	504174848.000000	442178624.000000	
HEX 11 : 15B79A60	4A78B4	1A3196A	
DEC 11 : 364354144.000000	4880564.000000	27466090.000000	
HEX 12 : 11624BC0	1733CA60	1A5B1A60	
DEC 12 : 291654592.000000	389270112.000000	442178144.000000	
HEX 13 : 16658F00	12C4F7C0	B7913C0	
DEC 13 : 375754496.000000	314898368.000000	192484288.000000	
HEX 14 : 13309440	75619A8	27404B4	
DEC 14 : 321950784.000000	123083176.000000	41157812.000000	
HEX 15 : C453DA0	80AF840	79F2698	
DEC 15 : 205864352.000000	134936640.000000	127870616.000000	
HEX 16 : 1145FBC0	4EF2388	CC2AD30	
DEC 16 : 289799104.000000	82781064.000000	214084912.000000	
HEX 17 : 155C3F80	F8C9260	27A7698	
DEC 17 : 358367104.000000	260870752.000000	41580184.000000	
HEX 18 : 1F43C880	91537C0	155006A0	
DEC 18 : 524535936.000000	152385472.000000	357566112.000000	
HEX 19 : 1D4A32E0	2D277C4	237AB4C	
DEC 19 : 491401952.000000	47347652.000000	37202764.000000	
HEX 20 : 39EA9E0	11785DE0	1A4EDB40	
DEC 20 : 60729824.000000	293101024.000000	441375552.000000	
HEX 21 : 10B57160	E6585E0	93053C0	
DEC 21 : 280326496.000000	241534432.000000	154162112.000000	
HEX 22 : 334CB4C	1350F780	F88000	
DEC 22 : 53791564.000000	324073344.000000	16285696.000000	
HEX 23 : 1915DB40	8D951A0	10590D20	
DEC 23 : 420862784.000000	148459936.000000	274271520.000000	
HEX 24 : BEFA530	A5B3170	EC773C0	
DEC 24 : 200254768.000000	173748592.000000	247952320.000000	
HEX 25 : 16022100	16A05D20	504A4B8	
DEC 25 : 369238272.000000	379608352.000000	84190392.000000	
HEX 26 : 5B2E8F0	14899480	13C0E960	
DEC 26 : 95611120.000000	344560768.000000	331409760.000000	
HEX 27 : 7508F88	1AE0B7C0	19F3BD20	
DEC 27 : 122720136.000000	450934720.000000	435404064.000000	
HEX 28 : 354834C	9F24E60	1A5B1A60	
DEC 28 : 55870284.000000	166874720.000000	442178144.000000	
HEX 29 : 36CFCB4	19FCF400	4742000	
DEC 29 : 57474228.000000	436007936.000000	74719232.000000	
HEX 30 : E94E690	142A5080	DE800F0	
DEC 30 : 244639376.000000	338317440.000000	233308400.000000	
HEX 31 : A208080	9AD1CB0	1720A780	
DEC 31 : 169902208.000000	162340016.000000	388016000.000000	
HEX 32 : D59F260	3392878	EEE1E	
DEC 32 : 223998560.000000	54077560.000000	978462.000000	
HEX 33 : 6632440	1A632DE0	F104970	
DEC 33 : 107160640.000000	442707424.000000	252725616.000000	
HEX 34 : 1FEB3E20	1EBC7A60	BCC3690	
DEC 34 : 535510560.000000	515668576.000000	197932688.000000	
HEX 35 : CC1E000	178D93C0	14615F00	
DEC 35 : 214032384.000000	395154368.000000	341925632.000000	
HEX 36 : 113F6880	B56DD70	18EC2000	
DEC 36 : 289368192.000000	190242160.000000	418127872.000000	
HEX 37 : 7FC9D30	E6B9C40	52BB788	
DEC 37 : 133995824.000000	241933376.000000	86751112.000000	
HEX 38 : 88DC690	2514ED4	ACCBA60	
DEC 38 : 143509136.000000	38883028.000000	181189216.000000	
HEX 39 : 8D9C3C0	1598D000	7474A58	
DEC 39 : 148489152.000000	362336256.000000	122112600.000000	
HEX 40 : 1F0952E	9E00B50	24FC698	
DEC 40 : 32544046.000000	165677904.000000	38782616.000000	
HEX 41 : EBAF780	130266E0	359D698	
DEC 41 : 247134080.000000	318924512.000000	56219288.000000	
HEX 42 : 11E54960	24AA078	1A5B1A60	
DEC 42 : 300239200.000000	38445176.000000	442178144.000000	
HEX 43 : 17554900	1B9A91A0	18F7CA60	
DEC 43 : 391465216.000000	463114656.000000	418892384.000000	
HEX 44 : 43A4AD0	B8F1290	12595F00	
DEC 44 : 70929104.000000	193925776.000000	307846912.000000	
HEX 45 : 17661F80	3D99E2	990D780	
DEC 45 : 392568704.000000	4037090.000000	160487296.000000	
HEX 46 : 1B375700	AD8FE60	1EDE4B4	
DEC 46 : 456611584.000000	181993056.000000	32367796.000000	
HEX 47 : 2953CB4	1DC556A0	149C5E20	
DEC 47 : 43334836.000000	499472032.000000	345792032.000000	
HEX 48 : 18B5ED20	13E66620	1A5B1A60	
DEC 48 : 414575904.000000	333866528.000000	442178144.000000	
HEX 49 : 126CB700	D4E5780	1134B2E0	
DEC 49 : 309114624.000000	223238016.000000	288666336.000000	
HEX 50 : DB85170	1BE70AE0	E457A60	
DEC 50 : 230183280.000000	468126432.000000	239434336.000000	
HEX 51 : 146DDB40	14354340	1427A000	
DEC 51 : 342743872.000000	339034944.000000	338141184.000000	
HEX 52 : 1A452800	1DE20520	11500A60	
DEC 52 : 440739840.000000	501351712.000000	290458208.000000	
HEX 53 : 79BFAD0	2FD9BC4	1A4F8B40	
DEC 53 : 127662800.000000	50174916.000000	441420608.000000	
HEX 54 : 7743620	1040A800	D6CA1E0	
DEC 54 : 125056544.000000	272672768.000000	225223136.000000	
HEX 55 : 1F3863C0	17B53C00	FE7A000	
DEC 55 : 523789248.000000	397753344.000000	266838016.000000	
HEX 56 : EF31710	4DD2800	13EC04C0	
DEC 56 : 250812176.000000	81602560.000000	334234816.000000	
HEX 57 : 18DB5EA0	1D6C3E20	98881E0	
DEC 57 : 417029792.000000	493633056.000000	159941088.000000	
HEX 58 : 9B438F0	1E272EA0	661C3C0	
DEC 58 : 162806000.000000	505884320.000000	107070400.000000	
HEX 59 : 1E767E20	1A4877C0	16F082E0	
DEC 59 : 511082016.000000	440956864.000000	384860896.000000	
HEX 60 : 133E9B40	1ED12AE0	3FAE878	
DEC 60 : 322870080.000000	517024480.000000	66775160.000000	
HEX 61 : 17DEB440	53947C0	16D59000	
DEC 61 : 400471104.000000	87640000.000000	383094784.000000	
HEX 62 : 1D388AE0	685D0B8	8C63D30	
DEC 62 : 490244832.000000	109433016.000000	147209520.000000	
HEX 63 : BB134B	427E220	164E4A60	
DEC 63 : 12260171.000000	69722656.000000	374229600.000000	
HEX 64 : 4839710	95F2690	A56D780	
DEC 64 : 75732752.000000	157230736.000000	173463424.000000	
HEX 65 : 14C152E0	AB25A	114DAB40	
