Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 68
HEX 1 : 16082520	170ED920	1A5A1780	
DEC 1 : 369632544.000000	386849056.000000	442111872.000000	
HEX 2 : 59BFDA8	A7E5ED0	109C35A0	
DEC 2 : 94109096.000000	176053968.000000	278672800.000000	
HEX 3 : 8A71080	1BB4BD60	B56969	
DEC 3 : 145166464.000000	464829792.000000	11889001.000000	
HEX 4 : E22E3C0	1AA7C380	17F443C0	
DEC 4 : 237167552.000000	447202176.000000	401884096.000000	
HEX 5 : D23EB50	89D6570	8DC65A0	
DEC 5 : 220457808.000000	144532848.000000	148661664.000000	
HEX 6 : 246E4B4	89ECC80	8F30F1	
DEC 6 : 38200500.000000	144624768.000000	9384177.000000	
HEX 7 : 1C3316A	1118FC80	C51B0F0	
DEC 7 : 29569386.000000	286850176.000000	206680304.000000	
HEX 8 : 1A2FC3C0	3CFCCB4	75A5C40	
DEC 8 : 439337920.000000	63950004.000000	123362368.000000	
HEX 9 : 188DEF00	1956DC80	10B2C6A0	
DEC 9 : 411954944.000000	425122944.000000	280151712.000000	
HEX 10 : 1CE1C000	B629B10	1A5B1A60	
DEC 10 : 484556800.000000	191011600.000000	442178144.000000	
HEX 11 : 1BC4A780	B321CF0	ABC8A60	
DEC 11 : 465872768.000000	187833584.000000	180128352.000000	
HEX 12 : 1C44C3C0	51A9258	F95A0F0	
DEC 12 : 474268608.000000	85627480.000000	261464304.000000	
HEX 13 : 1FEDF3C0	1B1DE080	137564C0	
DEC 13 : 535688128.000000	454942848.000000	326460608.000000	
HEX 14 : 10D544C0	58525E0	17660D20	
DEC 14 : 282412224.000000	92612064.000000	392564000.000000	
HEX 15 : F7471E0	18AFF700	4527878	
DEC 15 : 259289568.000000	414185216.000000	72513656.000000	
HEX 16 : 8FE52D	1AC26900	1D0A878	
DEC 16 : 9430317.000000	448948480.000000	30451832.000000	
HEX 17 : 11D221E0	1FE11BC0	51C0698	
DEC 17 : 298983904.000000	534846400.000000	85722776.000000	
HEX 18 : 73F6AD0	1443C340	10ED2A60	
DEC 18 : 121596624.000000	339985216.000000	283978336.000000	
HEX 19 : 18DA6E20	11593FC0	E4612D0	
DEC 19 : 416968224.000000	291061696.000000	239473360.000000	
HEX 20 : 17640800	1A595440	40854B8	
DEC 20 : 392431616.000000	442061888.000000	67654840.000000	
HEX 21 : 7B96000	17860900	1A5B1A60	
DEC 21 : 129589248.000000	394660096.000000	442178144.000000	
HEX 22 : 99945A0	FCD08B0	ACCFF10	
DEC 22 : 161039776.000000	265095344.000000	181206800.000000	
HEX 23 : 4697698	19504DA0	84810F0	
DEC 23 : 74020504.000000	424693152.000000	138940656.000000	
HEX 24 : 1404B900	1593C840	A584E20	
DEC 24 : 335853824.000000	362006592.000000	173559328.000000	
HEX 25 : 3F4652C	C4630F0	1A438B40	
DEC 25 : 66348332.000000	205926640.000000	440634176.000000	
HEX 26 : 12A59700	1D46ACC0	C2045A0	
DEC 26 : 312841984.000000	491171008.000000	203441568.000000	
HEX 27 : 1D3D0780	BF20380	363E1E0	
DEC 27 : 490538880.000000	200409984.000000	56877536.000000	
HEX 28 : F351970	D1AAA90	14A5D6A0	
DEC 28 : 255138160.000000	219851408.000000	346412704.000000	
HEX 29 : 1A9984C0	10BB9740	159264C0	
DEC 29 : 446268608.000000	280729408.000000	361915584.000000	
HEX 30 : 1F9F91E0	1B5C4FC0	52F91E0	
DEC 30 : 530551264.000000	459034560.000000	87003616.000000	
HEX 31 : 106E61E	14150B00	1A5B1A60	
DEC 31 : 17229342.000000	336923392.000000	442178144.000000	
HEX 32 : F452710	186C2080	10D5EA60	
DEC 32 : 256190224.000000	409739392.000000	282454624.000000	
HEX 33 : CB6C000	77D7E58	104B2D20	
DEC 33 : 213303296.000000	125664856.000000	273362208.000000	
HEX 34 : E84FD30	293BD68	4444788	
DEC 34 : 243596592.000000	43236712.000000	71583624.000000	
HEX 35 : 17738B40	14AC43C	143D9960	
DEC 35 : 393448256.000000	21677116.000000	339581280.000000	
HEX 36 : 14093D20	C2508B0	1A59AF00	
DEC 36 : 336149792.000000	203753648.000000	442085120.000000	
HEX 37 : 16425B40	1E957F80	1A5B1C40	
DEC 37 : 373447488.000000	513113984.000000	442178624.000000	
HEX 38 : 3C54710	A327310	95094B0	
DEC 38 : 63260432.000000	171078416.000000	156275888.000000	
HEX 39 : B6F2CB0	9F64480	1A5B1A60	
DEC 39 : 191835312.000000	167134336.000000	442178144.000000	
HEX 40 : 14CCB900	54F3298	CC51E2	
DEC 40 : 348961024.000000	89076376.000000	13390306.000000	
HEX 41 : B585530	17622880	A7EA880	
DEC 41 : 190338352.000000	392308864.000000	176072832.000000	
HEX 42 : 1E56C780	13645AE0	2A7E0F0	
DEC 42 : 509003648.000000	325343968.000000	44556528.000000	
HEX 43 : 1DC74B4	1009DB00	140F3A60	
DEC 43 : 31225012.000000	269081344.000000	336542304.000000	
HEX 44 : 8C87F10	140C4EE0	3B74B4C	
DEC 44 : 147357456.000000	336350944.000000	62344012.000000	
HEX 45 : 1B07788	10A3AE60	4A33F10	
DEC 45 : 28342152.000000	279162464.000000	77807376.000000	
HEX 46 : 5DFF9E0	4E251A8	1A5B1B40	
DEC 46 : 98564576.000000	81940904.000000	442178368.000000	
HEX 47 : 935AC40	10CB43C0	1752B2E0	
