Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 63
HEX 1 : 40BED30	13F22A60	2D093C4	
DEC 1 : 67890480.000000	334637664.000000	47223748.000000	
HEX 2 : 10F83F00	DC09290	5B84968	
DEC 2 : 284704512.000000	230724240.000000	95963496.000000	
HEX 3 : D2902D0	18E5FC40	1A5B1D20	
DEC 3 : 220791504.000000	417725504.000000	442178848.000000	
HEX 4 : EC89780	9EC1FC0	1A5B1D20	
DEC 4 : 248027008.000000	166469568.000000	442178848.000000	
HEX 5 : 6C090F0	1DCB34C0	6C2AB48	
DEC 5 : 113283312.000000	499856576.000000	113421128.000000	
HEX 6 : AA90780	A8FDF10	1416A2E0	
DEC 6 : 178849664.000000	177200912.000000	337027808.000000	
HEX 7 : D360E20	5880CB8	2318E20	
DEC 7 : 221646368.000000	92802232.000000	36802080.000000	
HEX 8 : 7CCDA58	CFEBF50	7300E20	
DEC 8 : 130865752.000000	218021712.000000	120589856.000000	
HEX 9 : 125B96A0	34B9D68	1A5B3B40	
DEC 9 : 307992224.000000	55287144.000000	442186560.000000	
HEX 10 : 17372A60	7FF7000	A7C9000	
DEC 10 : 389491296.000000	134180864.000000	175935488.000000	
HEX 11 : 187E7000	181F0B00	EB17690	
DEC 11 : 410939392.000000	404687616.000000	246511248.000000	
HEX 12 : 54D2000	1DF06D20	1A5A56A0	
DEC 12 : 88940544.000000	502295840.000000	442128032.000000	
HEX 13 : A6D7F10	1531E0C0	1465A3C0	
DEC 13 : 174948112.000000	355590336.000000	342205376.000000	
HEX 14 : 1301878	247AD68	D47D0F0	
DEC 14 : 19929208.000000	38251880.000000	222810352.000000	
HEX 15 : 11E50000	2C279E0	B74ED30	
DEC 15 : 300220416.000000	46299616.000000	192212272.000000	
HEX 16 : 76E5878	16A1AAA0	8FB30F0	
DEC 16 : 124672120.000000	379693728.000000	150679792.000000	
HEX 17 : 1381AB40	1DD24960	1A5B1A60	
DEC 17 : 327265088.000000	500320608.000000	442178144.000000	
HEX 18 : 11032880	116F5160	C498000	
DEC 18 : 285419648.000000	292508000.000000	206143488.000000	
HEX 19 : 1317FF00	1D5DEE20	ECC0B50	
DEC 19 : 320339712.000000	492695072.000000	248253264.000000	
HEX 20 : 278C878	E7FC0F0	D347C40	
DEC 20 : 41470072.000000	243253488.000000	221543488.000000	
HEX 21 : 17B72780	C88A620	1A5B1A60	
DEC 21 : 397879168.000000	210282016.000000	442178144.000000	
HEX 22 : D657F10	1EE8A880	A1F4690	
DEC 22 : 224755472.000000	518563968.000000	169821840.000000	
