Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 1 : 1EB11560	19256700	1A5B1F00	
DEC 1 : 514921824.000000	421881600.000000	442179328.000000	
HEX 2 : 10C744E0	DA059E0	1A5B1B40	
DEC 2 : 281494752.000000	228612576.000000	442178368.000000	
HEX 3 : 18651320	18E78260	B6D2D3	
DEC 3 : 409277216.000000	417825376.000000	11981523.000000	
HEX 4 : 5D3F0	199F9A60	FFD6D30	
DEC 4 : 381936.000000	429890144.000000	268266800.000000	
HEX 5 : 1D981900	4054788	2B34A5C	
DEC 5 : 496507136.000000	67454856.000000	45304412.000000	
HEX 6 : BDF4CE0	9B133C0	8A05780	
DEC 6 : 199183584.000000	162608064.000000	144725888.000000	
HEX 7 : 152730E0	1D9F96A0	D0495A0	
DEC 7 : 354889952.000000	496998048.000000	218404256.000000	
HEX 8 : 129D6680	15504880	92DEF10	
DEC 8 : 312305280.000000	357582976.000000	154005264.000000	
HEX 9 : 114F150	1234E440	74FFC40	
DEC 9 : 18149712.000000	305456192.000000	122682432.000000	
HEX 10 : 6F66568	6AB51E0	1077A2E0	
DEC 10 : 116811112.000000	111890912.000000	276275936.000000	
HEX 11 : CA7BD10	1F1FC800	C633000	
DEC 11 : 212319504.000000	522176512.000000	207826944.000000	
HEX 12 : 1DF2B1	4BF3620	D23E0F0	
DEC 12 : 1962673.000000	79640096.000000	220455152.000000	
HEX 13 : 57B1DC0	1D397440	13B8C3C0	
DEC 13 : 91954624.000000	490304576.000000	330875840.000000	
HEX 14 : 19B3D5E0	A37EDA0	E487690	
DEC 14 : 431216096.000000	171437472.000000	239629968.000000	
HEX 15 : 67D1A40	17595880	5468D30	
DEC 15 : 108862016.000000	391731328.000000	88509744.000000	
HEX 16 : 105EEFC0	3CB19E0	9E9E780	
DEC 16 : 274657216.000000	63642080.000000	166324096.000000	
HEX 17 : C1627F0	2D1169	1784ED20	
DEC 17 : 202778608.000000	2953577.000000	394587424.000000	
HEX 18 : 5F8B3	1863F88	13F1B6A0	
DEC 18 : 391347.000000	25575304.000000	334608032.000000	
HEX 19 : 1BF66820	1F4DCB40	A431B50	
DEC 19 : 469133344.000000	525192000.000000	172170064.000000	
HEX 20 : 79E0CF0	15BEE800	1A5B1B40	
DEC 20 : 127798512.000000	364832768.000000	442178368.000000	
HEX 21 : 7D7D0D0	DEE8780	3E27A5C	
DEC 21 : 131584208.000000	233736064.000000	65174108.000000	
HEX 22 : F692FA0	10AE1340	F3473C0	
DEC 22 : 258551712.000000	279843648.000000	255095744.000000	
HEX 23 : 5559418	1D6035A0	C3202D0	
DEC 23 : 89494552.000000	492844448.000000	204604112.000000	
HEX 24 : D326A20	13CDCF00	15B02100	
DEC 24 : 221407776.000000	332254976.000000	363864320.000000	
HEX 25 : 13C0FC80	1BF3AF80	5D00E20	
DEC 25 : 331414656.000000	468955008.000000	97521184.000000	
HEX 26 : B3B0270	14EB2520	A985970	
DEC 26 : 188416624.000000	350954784.000000	177756528.000000	
HEX 27 : 159346A0	3F87168	F5A14B0	
DEC 27 : 361973408.000000	66613608.000000	257561776.000000	
HEX 28 : 7B6DED0	5A0CF10	1A522F00	
DEC 28 : 129425104.000000	94424848.000000	441593600.000000	
HEX 29 : 5F7F5	161451E0	181185A0	
