Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 77
HEX 1 : 18096BC0	F93A880	13376D20	
DEC 1 : 403270592.000000	261335168.000000	322399520.000000	
HEX 2 : 6FE1478	784F8F0	B816E20	
DEC 2 : 117314680.000000	126154992.000000	193031712.000000	
HEX 3 : 8558DE0	10012F80	1456A6A0	
DEC 3 : 139824608.000000	268513152.000000	341223072.000000	
HEX 4 : 834DC80	13B51900	324F698	
DEC 4 : 137682048.000000	330635520.000000	52754072.000000	
HEX 5 : 1DDC1520	17B08BC0	8E00B50	
DEC 5 : 500962592.000000	397446080.000000	148900688.000000	
HEX 6 : 1DFC2D2	91E34B0	6385000	
DEC 6 : 31441618.000000	152974512.000000	104353792.000000	
HEX 7 : FBBDE90	7909C40	23495A4	
DEC 7 : 263970448.000000	126917696.000000	37000612.000000	
HEX 8 : 150E388	1B10D2E	166D4000	
DEC 8 : 22078344.000000	28380462.000000	376258560.000000	
HEX 9 : 15AC1520	2F7BD2C	2BF63C4	
DEC 9 : 363599136.000000	49790252.000000	46097348.000000	
HEX 10 : E2842D0	1185710	1A5B1C40	
DEC 10 : 237519568.000000	18372368.000000	442178624.000000	
HEX 11 : 1F340160	1D3E3160	1A5942E0	
DEC 11 : 523501920.000000	490615136.000000	442057440.000000	
HEX 12 : 4EC4B4	EE56F80	1A75F10	
DEC 12 : 5162164.000000	249917312.000000	27746064.000000	
HEX 13 : B2295A0	1EAB5620	1A5B15A0	
DEC 13 : 186815904.000000	514545184.000000	442176928.000000	
HEX 14 : 1FEB8F80	3F12168	11378000	
DEC 14 : 535531392.000000	66134376.000000	288849920.000000	
HEX 15 : 39BBFC4	1ED93620	1A5B3E20	
DEC 15 : 60538820.000000	517551648.000000	442187296.000000	
HEX 16 : 5CCE530	1E89078	1061E100	
DEC 16 : 97314096.000000	32018552.000000	274850048.000000	
HEX 17 : 12D57F40	67B7D30	139CFE20	
DEC 17 : 315981632.000000	108756272.000000	329055776.000000	
HEX 18 : 1C4D4000	165981E0	18B45A60	
DEC 18 : 474824704.000000	374964704.000000	414472800.000000	
HEX 19 : B8D7690	12FE5880	E3914B0	
DEC 19 : 193820304.000000	318658688.000000	238621872.000000	
HEX 20 : 345A25C	C23A530	1052C780	
DEC 20 : 54895196.000000	203662640.000000	273860480.000000	
HEX 21 : 7C67040	F0BEC40	90ABE20	
DEC 21 : 130445376.000000	252439616.000000	151698976.000000	
HEX 22 : F2701E0	1DDD3440	1409F6A0	
DEC 22 : 254214624.000000	501036096.000000	336197280.000000	
HEX 23 : 71C0B88	BA5E3C0	1A5B2780	
DEC 23 : 119278472.000000	195421120.000000	442181504.000000	
HEX 24 : 17809CC0	1FEF0F	12C03960	
DEC 24 : 394304704.000000	2092815.000000	314587488.000000	
HEX 25 : A7B9D30	175EC6A0	14416880	
DEC 25 : 175873328.000000	392087200.000000	339830912.000000	
HEX 26 : CC71620	10DD4440	1A5B12E0	
DEC 26 : 214373920.000000	282936384.000000	442176224.000000	
HEX 27 : 144D4D00	130B9780	1946A000	
DEC 27 : 340610304.000000	319526784.000000	424058880.000000	
HEX 28 : E59AC00	E420F1	EAC3B50	
DEC 28 : 240757760.000000	14950641.000000	246168400.000000	
HEX 29 : 9A8A5A0	1CB7AE20	F04EC40	
DEC 29 : 162047392.000000	481799712.000000	251980864.000000	
HEX 30 : E420710	9488E20	1A528D20	
DEC 30 : 239208208.000000	155749920.000000	441617696.000000	
HEX 31 : 33FBA5C	1B9C7E20	55F7D30	
DEC 31 : 54508124.000000	463240736.000000	90144048.000000	
HEX 32 : 1A8BCD60	1B971620	E65BF10	
DEC 32 : 445369696.000000	462886432.000000	241549072.000000	
HEX 33 : 11B66260	15DC6B40	12CA41E0	
DEC 33 : 297165408.000000	366766912.000000	315245024.000000	
HEX 34 : 17293000	1A832080	151B9960	
DEC 34 : 388575232.000000	444801152.000000	354130272.000000	
HEX 35 : 10CCE780	E0FD880	14A44100	
DEC 35 : 281864064.000000	235919488.000000	346308864.000000	
HEX 36 : 22FDA20	3C725A	9848A60	
