Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 75
HEX 1 : C9B8F1	F6DCC40	1713B880	
DEC 1 : 13220081.000000	258853952.000000	387168384.000000	
HEX 2 : 172DCF00	18A9E6A0	4AEEB48	
DEC 2 : 388878080.000000	413787808.000000	78572360.000000	
HEX 3 : 5DBC3C	AB2DAD0	3D02968	
DEC 3 : 6143036.000000	179493584.000000	63973736.000000	
HEX 4 : 14B1FB40	16708080	1A5B16A0	
DEC 4 : 347208512.000000	376471680.000000	442177184.000000	
HEX 5 : 10BAFCC0	15797BC0	2765E20	
DEC 5 : 280689856.000000	360283072.000000	41311776.000000	
HEX 6 : 1B9759E0	CE901E0	B9481E0	
DEC 6 : 462903776.000000	216596960.000000	194281952.000000	
HEX 7 : E617970	7D19DA8	115266A0	
DEC 7 : 241269104.000000	131177896.000000	290612896.000000	
HEX 8 : 7EC9AD0	1163B880	1A55F4C0	
DEC 8 : 132946640.000000	291747968.000000	441840832.000000	
HEX 9 : 1E1619E0	16E361E0	B7255A0	
DEC 9 : 504764896.000000	384000480.000000	192042400.000000	
HEX 10 : 1E1B61E0	1CA3E96	167AF960	
DEC 10 : 505111008.000000	30031510.000000	377157984.000000	
HEX 11 : 1B41E96	1EF91EA0	C942F10	
DEC 11 : 28581526.000000	519642784.000000	211037968.000000	
HEX 12 : 1A79F5A0	A4F6D30	15C2CA60	
DEC 12 : 444200352.000000	172977456.000000	365087328.000000	
HEX 13 : 1FF6C3C0	7F8F800	1A5B1D20	
DEC 13 : 536265664.000000	133756928.000000	442178848.000000	
HEX 14 : B3CE170	130EF10	13057000	
DEC 14 : 188539248.000000	19984144.000000	319123456.000000	
HEX 15 : 1541E1E0	BA64170	4E2969	
DEC 15 : 356639200.000000	195445104.000000	5122409.000000	
HEX 16 : 4C922D0	128E2D2	C306970	
DEC 16 : 80290512.000000	19456722.000000	204499312.000000	
HEX 17 : 1C2F9CC0	5E66968	FE712D0	
DEC 17 : 472882368.000000	98986344.000000	266801872.000000	
HEX 18 : 14E9F260	41DF4B8	10B9ED20	
DEC 18 : 350876256.000000	69072056.000000	280620320.000000	
HEX 19 : 10071800	1E52788	A5712D0	
