Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
HEX 1 : FCD3780	278D168	1A5AC3C0	
DEC 1 : 265107328.000000	41472360.000000	442155968.000000	
HEX 2 : 2F22078	113CEDA0	C852A60	
DEC 2 : 49422456.000000	289205664.000000	210053728.000000	
HEX 3 : 1D8155A0	8F91A60	6BC54B8	
DEC 3 : 495015328.000000	150542944.000000	113005752.000000	
HEX 4 : 10E865A0	96AE1E0	29CB000	
DEC 4 : 283665824.000000	157999584.000000	43823104.000000	
HEX 5 : BD55710	1E7CBE20	6637000	
DEC 5 : 198530832.000000	511491616.000000	107180032.000000	
HEX 6 : 16D48C40	1A96DF80	CF63880	
DEC 6 : 383028288.000000	446095232.000000	217462912.000000	
HEX 7 : 1981C880	1D0533C0	1A5B1B40	
DEC 7 : 427935872.000000	486880192.000000	442178368.000000	
HEX 8 : 69511E0	E8A51E0	17A2E1E	
DEC 8 : 110432736.000000	243945952.000000	24784414.000000	
HEX 9 : B759970	15815AE0	16E9B4C	
DEC 9 : 192256368.000000	360798944.000000	24025932.000000	
HEX 10 : E2CE440	16B90F80	9A99F10	
DEC 10 : 237823040.000000	381226880.000000	162111248.000000	
HEX 11 : FD3E780	1EF7DA60	CDC3690	
DEC 11 : 265545600.000000	519559776.000000	215758480.000000	
HEX 12 : 7DFF348	881AE20	6CC02D0	
DEC 12 : 132117320.000000	142716448.000000	114033360.000000	
HEX 13 : 208A878	82493C0	EE3F0F	
DEC 13 : 34121848.000000	136614848.000000	15613711.000000	
HEX 14 : 4F6BB48	136AB960	137061E0	
DEC 14 : 83278664.000000	325761376.000000	326132192.000000	
HEX 15 : 1264FE20	4A86AD0	F7CEB50	
DEC 15 : 308608544.000000	78146256.000000	259844944.000000	
HEX 16 : 13544C40	1AB322E0	13C4E6A0	
DEC 16 : 324291648.000000	447947488.000000	331671200.000000	
HEX 17 : 18541520	118FAD20	11D21E20	
DEC 17 : 408163616.000000	294628640.000000	298982944.000000	
HEX 18 : 1C9331E0	21A8C3C	3CBEB4C	
DEC 18 : 479408608.000000	35294268.000000	63695692.000000	
HEX 19 : DDF1970	172CC2E0	189001E0	
DEC 19 : 232724848.000000	388809440.000000	412090848.000000	
HEX 20 : 1661C5A0	D543BC0	6030698	
DEC 20 : 375506336.000000	223624128.000000	100861592.000000	
HEX 21 : 1B86C3C0	DE95170	C1051E0	
DEC 21 : 461816768.000000	233394544.000000	202396128.000000	
HEX 22 : 8648F1	1FF62800	CCDF4B0	
DEC 22 : 8800497.000000	536225792.000000	214824112.000000	
HEX 23 : 1742BDA0	64BC620	9FB1880	
DEC 23 : 390249888.000000	105629216.000000	167450752.000000	
HEX 24 : 72D6258	4F30078	18D2DD20	
DEC 24 : 120414808.000000	83034232.000000	416472352.000000	
HEX 25 : 3107D2C	1A06F900	192D83C0	
DEC 25 : 51412268.000000	436664576.000000	422413248.000000	
HEX 26 : E1A2780	7A299E0	14E916A0	
DEC 26 : 236595072.000000	128096736.000000	350820000.000000	
HEX 27 : 1C5152E0	DB2E620	FEDE1E	
DEC 27 : 475091680.000000	229828128.000000	16703006.000000	
HEX 28 : B873970	BD24B5	1353BD20	
DEC 28 : 193411440.000000	12395701.000000	324255008.000000	
HEX 29 : BD759E0	C514F10	1A5B2100	
DEC 29 : 198662624.000000	206655248.000000	442179840.000000	
HEX 30 : 160FCA60	44585A8	B404B5	
DEC 30 : 370133600.000000	71665064.000000	11797685.000000	
HEX 31 : 1A60F780	14F3C900	6E1000	
DEC 31 : 442562432.000000	351521024.000000	7213056.000000	
HEX 32 : 1233B080	1ED83AE0	1A5B21E0	
DEC 32 : 305377408.000000	517487328.000000	442180064.000000	
HEX 33 : 1B88B3C0	15E68F00	7CF3B48	
DEC 33 : 461943744.000000	367431424.000000	131021640.000000	
HEX 34 : 1233E520	10F23AE0	1A45A780	
DEC 34 : 305390880.000000	284310240.000000	440772480.000000	
HEX 35 : A6F2080	10A16EA0	C0640F0	
DEC 35 : 175054976.000000	279015072.000000	201736432.000000	
HEX 36 : 71A4E20	192F9BC0	8E34690	
DEC 36 : 119164448.000000	422550464.000000	149112464.000000	
HEX 37 : 11A8A5A	D2BC690	6751788	
DEC 37 : 18516570.000000	220972688.000000	108337032.000000	
HEX 38 : AF458F0	EDB7530	1352D100	
DEC 38 : 183785712.000000	249263408.000000	324194560.000000	
HEX 39 : 66EF000	1AFCA100	2071E2	
DEC 39 : 107933696.000000	452763904.000000	2126306.000000	
HEX 40 : 4F485A8	ED32D3	5C2C000	
DEC 40 : 83133864.000000	15545043.000000	96649216.000000	
HEX 41 : 1F554E20	4064698	C1BAB50	
DEC 41 : 525684256.000000	67520152.000000	203139920.000000	
HEX 42 : 484D5A8	C8A30F0	1678DD20	
DEC 42 : 75814312.000000	210383088.000000	377019680.000000	
HEX 43 : 10A83080	C85EA60	E0C6F10	
DEC 43 : 279457920.000000	210102880.000000	235695888.000000	
HEX 44 : 1CB371E0	EB79710	17403000	
DEC 44 : 481522144.000000	246912784.000000	390082560.000000	
HEX 45 : 4661348	1FA51160	61EAE20	
DEC 45 : 73798472.000000	530911584.000000	102673952.000000	
HEX 46 : 7D9F078	12B3F440	1A5B1880	
DEC 46 : 131723384.000000	313783360.000000	442177664.000000	
HEX 47 : 2C0C3C4	A530780	F7EFF10	
DEC 47 : 46187460.000000	173213568.000000	259981072.000000	
HEX 48 : 9FE9970	1D602260	1A5AE960	
DEC 48 : 167680368.000000	492839520.000000	442165600.000000	
HEX 49 : BBF9170	317CB4C	20763C4	
DEC 49 : 197103984.000000	51891020.000000	34038724.000000	
HEX 50 : 13672440	14ACCC40	33FF788	
DEC 50 : 325526592.000000	346868800.000000	54523784.000000	
HEX 51 : 1113D440	136994C0	12A67E20	
DEC 51 : 286512192.000000	325686464.000000	312901152.000000	
HEX 52 : E2600F0	FC983C0	58745A8	
