Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 69
HEX 1 : 160F3000	13F8F780	FB23C40	
DEC 1 : 370094080.000000	335083392.000000	263339072.000000	
HEX 2 : 185154C0	86EFE90	2EA1000	
DEC 2 : 407983296.000000	141491856.000000	48893952.000000	
HEX 3 : 1CF2BC40	109A8440	1A5B1A60	
DEC 3 : 485669952.000000	278561856.000000	442178144.000000	
HEX 4 : B83D1E0	1FA2EF80	F79D880	
DEC 4 : 193188320.000000	530771840.000000	259643520.000000	
HEX 5 : E9FA880	AE6F0F0	146634C0	
DEC 5 : 245344384.000000	182907120.000000	342242496.000000	
HEX 6 : 18846D20	A841170	1A5631E0	
DEC 6 : 411331872.000000	176427376.000000	441856480.000000	
HEX 7 : 3A305A4	B084690	163B63C0	
DEC 7 : 61015460.000000	185091728.000000	372990912.000000	
HEX 8 : 2E36698	19B4A000	99AA1E0	
DEC 8 : 48457368.000000	431267840.000000	161128928.000000	
HEX 9 : 1519D960	388FBC4	DCDB880	
DEC 9 : 354015584.000000	59308996.000000	231585920.000000	
HEX 10 : 6EB0A58	1D489EA0	2D3A878	
DEC 10 : 116066904.000000	491298464.000000	47425656.000000	
HEX 11 : 210C0F0	11143800	7B623C0	
DEC 11 : 34652400.000000	286537728.000000	129377216.000000	
HEX 12 : 895A0F0	2C83168	A6DE690	
DEC 12 : 144023792.000000	46674280.000000	174974608.000000	
HEX 13 : AFB7780	1B0044C0	98BD4B0	
DEC 13 : 184252288.000000	453002432.000000	160158896.000000	
HEX 14 : FDF35A0	14A8E520	B3B2780	
DEC 14 : 266286496.000000	346613024.000000	188426112.000000	
HEX 15 : 1F6A6960	77FA878	1A5B1A60	
DEC 15 : 527067488.000000	125806712.000000	442178144.000000	
HEX 16 : 1CE39A60	3C71168	70960F0	
DEC 16 : 484678240.000000	63377768.000000	118055152.000000	
HEX 17 : 7A05878	32439E0	1A5943C0	
DEC 17 : 127948920.000000	52705760.000000	442057664.000000	
HEX 18 : 123ED960	44D7AD0	6E10A58	
DEC 18 : 306108768.000000	72186576.000000	115411544.000000	
HEX 19 : 11CB72E0	1AB123C0	FFB4000	
DEC 19 : 298545888.000000	447816640.000000	268124160.000000	
HEX 20 : 156453C0	79D5698	14201880	
DEC 20 : 358896576.000000	127751832.000000	337647744.000000	
HEX 21 : EE74D30	1E5B96A	15670C40	
DEC 21 : 250039600.000000	31832426.000000	359074880.000000	
HEX 22 : 168585A0	10A44440	166ED6A0	
DEC 22 : 377849248.000000	279200832.000000	376362656.000000	
HEX 23 : 9C8C000	101DEEA0	920E2D0	
DEC 23 : 164151296.000000	270397088.000000	153150160.000000	
HEX 24 : 7BFB0F0	15CAE620	E9D7B50	
DEC 24 : 130003184.000000	365618720.000000	245201744.000000	
HEX 25 : 1C5EA5A	1062F5A0	FE10E20	
DEC 25 : 29747802.000000	274920864.000000	266407456.000000	
HEX 26 : 7E14B4	190A1AE0	20D4E20	
DEC 26 : 8262836.000000	420092640.000000	34426400.000000	
HEX 27 : 968F780	EB2C530	10837880	
DEC 27 : 157874048.000000	246596912.000000	277051520.000000	
HEX 28 : 1B73E3C0	179E1100	2EDCE20	
DEC 28 : 460579776.000000	396235008.000000	49139232.000000	
HEX 29 : F08E4B0	88FD170	CFC8C40	
DEC 29 : 252241072.000000	143642992.000000	217877568.000000	
HEX 30 : 1438EA60	16F90620	4EDAF10	
DEC 30 : 339274336.000000	385418784.000000	82685712.000000	
HEX 31 : 93145A0	157F0AE0	3B97B4C	
DEC 31 : 154224032.000000	360647392.000000	62487372.000000	
HEX 32 : 1D050100	164ED1E0	115E1880	
DEC 32 : 486867200.000000	374264288.000000	291379328.000000	
HEX 33 : F020690	13DFE3C0	12F66B40	
DEC 33 : 251790992.000000	333439936.000000	318139200.000000	
HEX 34 : DDE4970	16E3A000	1A5B1A60	
DEC 34 : 232671600.000000	384016384.000000	442178144.000000	
HEX 35 : 311BA5C	3C17D2C	1461CD20	
DEC 35 : 51493468.000000	63012140.000000	341953824.000000	
HEX 36 : 1C165C40	BE0A2D0	87FD970	
DEC 36 : 471227456.000000	199271120.000000	142596464.000000	
HEX 37 : 2A7DD2C	121F25A0	1A5B1B40	
DEC 37 : 44555564.000000	304031136.000000	442178368.000000	
HEX 38 : 1F2C02E0	193FEDA0	94574B0	
DEC 38 : 522978016.000000	423620000.000000	155546800.000000	
HEX 39 : 3A50A5C	1D401100	110FD1E0	
DEC 39 : 61147740.000000	490737920.000000	286249440.000000	
HEX 40 : 1A20C000	135DC6A0	94AB2D0	
DEC 40 : 438353920.000000	324912800.000000	155890384.000000	
HEX 41 : 65AB968	18E7A880	1A5B1A60	
DEC 41 : 106609000.000000	417835136.000000	442178144.000000	
HEX 42 : 160C54C0	152296A	1A5B1A60	
DEC 42 : 369906880.000000	22161770.000000	442178144.000000	
HEX 43 : 1B796A60	19161700	188ECD20	
DEC 43 : 460941920.000000	420878080.000000	412011808.000000	
HEX 44 : 99A6970	1159E520	178EB880	
DEC 44 : 161114480.000000	291104032.000000	395229312.000000	
HEX 45 : 1132A3C0	7154A58	1A5B1A60	
DEC 45 : 288531392.000000	118835800.000000	442178144.000000	
HEX 46 : 1EDB63C0	1271878	E93AB50	
DEC 46 : 517694400.000000	19339384.000000	244558672.000000	
HEX 47 : 11A9BE20	1F656880	8558A60	
DEC 47 : 296336928.000000	526739584.000000	139823712.000000	
HEX 48 : 15A20000	C2F65A0	D27F3C0	
DEC 48 : 362938368.000000	204432800.000000	220722112.000000	
HEX 49 : 144DA960	17EA2E20	169565A0	
DEC 49 : 340633952.000000	401223200.000000	378889632.000000	
HEX 50 : 1CD02100	69BA3C0	1358D4C0	
DEC 50 : 483401984.000000	110863296.000000	324588736.000000	
HEX 51 : 174E1E20	1051F900	1843878	
DEC 51 : 390995488.000000	273807616.000000	25442424.000000	
HEX 52 : C26969	1D8CC080	18673100	
DEC 52 : 12740969.000000	495763584.000000	409415936.000000	
HEX 53 : 17DDE3C0	1ADC59E0	ABD63C0	
DEC 53 : 400417728.000000	450648544.000000	180184000.000000	
HEX 54 : E9D9C40	1B941AE0	1A6AA5A	
DEC 54 : 245210176.000000	462691040.000000	27699802.000000	
HEX 55 : 1041B780	F355710	1A5B1A60	
DEC 55 : 272742272.000000	255153936.000000	442178144.000000	
HEX 56 : CBFF690	1EBE8A60	1A5B1A60	
DEC 56 : 213907088.000000	515803744.000000	442178144.000000	
HEX 57 : 9BF4E20	5E10E98	11A0A4C0	
DEC 57 : 163532320.000000	98635416.000000	295740608.000000	
HEX 58 : 174C31E0	1EA8A3C0	30D62D4	
DEC 58 : 390869472.000000	514368448.000000	51208916.000000	
HEX 59 : 2C0F878	1677DC40	143561E0	
DEC 59 : 46200952.000000	376953920.000000	339042784.000000	
HEX 60 : 39C2D2C	3759968	17B15A6	
DEC 60 : 60566828.000000	58038632.000000	24843686.000000	
HEX 61 : AA443C0	19DFAD20	143E1780	
DEC 61 : 178537408.000000	434089248.000000	339613568.000000	
HEX 62 : 1C095000	DFFCF10	120A4960	
DEC 62 : 470372352.000000	234868496.000000	302664032.000000	
HEX 63 : 5057C40	911B780	64CF000	
DEC 63 : 84245568.000000	152156032.000000	105705472.000000	
HEX 64 : 182422E0	57FB4B	1F19A5A	
DEC 64 : 405021408.000000	5765963.000000	32610906.000000	
HEX 65 : 1120B4C0	F160780	5B8D3C0	
DEC 65 : 287356096.000000	253101952.000000	95998912.000000	
HEX 66 : 18ABAB40	1C8711E0	1270A880	
DEC 66 : 413903680.000000	478613984.000000	309373056.000000	
HEX 67 : C8A4B50	91E4DA0	5E77878	
DEC 67 : 210389840.000000	152980896.000000	99055736.000000	
HEX 68 : 9F05970	A587A60	1A4BE1E0	
DEC 68 : 166746480.000000	173570656.000000	441180640.000000	
HEX 69 : 47FCA58	9AF3620	DC95E20	
DEC 69 : 75483736.000000	162477600.000000	231300640.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
