Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 1 : 12293960	11A32D2	1A50B960	
DEC 1 : 304691552.000000	18494162.000000	441497952.000000	
HEX 2 : 169B78C0	1C6DAF00	14D741E0	
DEC 2 : 379287744.000000	476950272.000000	349651424.000000	
HEX 3 : C66CFC0	116EC100	20AFD2C	
DEC 3 : 208064448.000000	292471040.000000	34274604.000000	
HEX 4 : 8191540	AEE83C0	EB442D0	
DEC 4 : 135861568.000000	183403456.000000	246694608.000000	
HEX 5 : 1C300B00	A9D5F10	111826A0	
DEC 5 : 472910592.000000	178085648.000000	286795424.000000	
HEX 6 : D66B710	175AC960	1A5B84C0	
DEC 6 : 224835344.000000	391825760.000000	442205376.000000	
HEX 7 : C8BD2F0	123AF88	14C94780	
DEC 7 : 210490096.000000	19115912.000000	348735360.000000	
HEX 8 : B3AD4C0	153FE900	86D2000	
DEC 8 : 188404928.000000	356509952.000000	141369344.000000	
HEX 9 : EF54AA	14BFBB40	11FEF780	
DEC 9 : 15684778.000000	348109632.000000	301922176.000000	
HEX 10 : 4E80388	A968BC0	1A5BC5A0	
DEC 10 : 82314120.000000	177638336.000000	442221984.000000	
HEX 11 : D7C3BF0	7F0F620	A608970	
DEC 11 : 226245616.000000	133232160.000000	174098800.000000	
HEX 12 : 73BF370	3927800	100A0B40	
DEC 12 : 121369456.000000	59930624.000000	269093696.000000	
HEX 13 : 195C7080	16971900	5B04F10	
DEC 13 : 425488512.000000	379001088.000000	95440656.000000	
HEX 14 : 7194750	1F9FFE20	14739B40	
DEC 14 : 119097168.000000	530578976.000000	343120704.000000	
HEX 15 : 4D21C	11B13C4	86260F0	
DEC 15 : 315932.000000	18551748.000000	140665072.000000	
HEX 16 : E0F1E20	1DF26D20	16C7A2E0	
DEC 16 : 235871776.000000	502426912.000000	382182112.000000	
HEX 17 : 1D1F7700	899BC4	16ED1B40	
DEC 17 : 488601344.000000	9018308.000000	384637760.000000	
HEX 18 : DF710A0	192CA4C0	E3D8970	
DEC 18 : 234295456.000000	422356160.000000	238913904.000000	
HEX 19 : 5979868	EEBB8F0	A14B4	
DEC 19 : 93821032.000000	250329328.000000	660660.000000	
HEX 20 : A86AA00	3864000	4FAAF10	
DEC 20 : 176597504.000000	59129856.000000	83537680.000000	
HEX 21 : 1856DC40	566A878	1A1CEC40	
