Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : A085A60	A725C40	120DCD20	
DEC 1 : 168319584.000000	175266880.000000	302894368.000000	
HEX 2 : 2C915E0	1D826C40	5500D30	
DEC 2 : 46732768.000000	495086656.000000	89132336.000000	
HEX 3 : 1BC81440	1B045D20	E9370F0	
DEC 3 : 466097216.000000	453270816.000000	244543728.000000	
HEX 4 : 11D27FC0	BACAAD0	14223880	
DEC 4 : 299007936.000000	195865296.000000	337787008.000000	
HEX 5 : 1847D380	1C1801E0	1A5B0880	
DEC 5 : 407360384.000000	471335392.000000	442173568.000000	
HEX 6 : 1F486800	156AA1E0	1A5B2880	
DEC 6 : 524838912.000000	359309792.000000	442181760.000000	
HEX 7 : 1A8435E0	46E60F0	1A5B25A0	
DEC 7 : 444872160.000000	74342640.000000	442181024.000000	
HEX 8 : 4684A98	F555350	13D68D20	
DEC 8 : 73943704.000000	257250128.000000	332827936.000000	
HEX 9 : 5802D3	1A54AD2	FEB4A60	
DEC 9 : 5767891.000000	27609810.000000	267078240.000000	
HEX 10 : 17377440	B32DCB0	1A5BB2E0	
DEC 10 : 389510208.000000	187882672.000000	442217184.000000	
HEX 11 : 14326E20	1E320A60	136B1A60	
DEC 11 : 338849312.000000	506595936.000000	325786208.000000	
HEX 12 : 1E3F0BC0	E0E04B0	18F9FF00	
DEC 12 : 507448256.000000	235799728.000000	419036928.000000	
HEX 13 : 192B1BC0	D2CC9E0	135C26A0	
DEC 13 : 422255552.000000	221039072.000000	324806304.000000	
HEX 14 : CE24400	F0C5E90	3A12F10	
DEC 14 : 216155136.000000	252468880.000000	60894992.000000	
HEX 15 : A44A3C0	1D4104C0	4847F10	
DEC 15 : 172270528.000000	490800320.000000	75792144.000000	
HEX 16 : 1B76BC40	1FFF75A0	14367B40	
DEC 16 : 460766272.000000	536835488.000000	339114816.000000	
HEX 17 : 1E0BD880	1480A9E0	4663788	
DEC 17 : 504092800.000000	343976416.000000	73807752.000000	
HEX 18 : 10C601A0	1ABB7A60	7590788	
DEC 18 : 281412000.000000	448494176.000000	123275144.000000	
HEX 19 : CB85690	3B95620	FFC10F0	
DEC 19 : 213407376.000000	62477856.000000	268177648.000000	
HEX 20 : D08A97	1127B3C0	68384B8	
DEC 20 : 13666967.000000	287814592.000000	109282488.000000	
HEX 21 : 14922040	36B125C	93691E0	
DEC 21 : 345120832.000000	57348700.000000	154571232.000000	
HEX 22 : 18823D20	10402080	190B0F0	
DEC 22 : 411188512.000000	272638080.000000	26259696.000000	
HEX 23 : 12723FC0	175596A0	1A5B1A60	
DEC 23 : 309477312.000000	391485088.000000	442178144.000000	
HEX 24 : 1C9804C0	1B611D20	7196E20	
DEC 24 : 479724736.000000	459349280.000000	119107104.000000	
HEX 25 : 2213C3	1587A5A0	13B65960	
DEC 25 : 2233283.000000	361211296.000000	330717536.000000	
HEX 26 : 6D30078	18FB8100	13B98E20	
DEC 26 : 114491512.000000	419135744.000000	330927648.000000	
HEX 27 : 150F80C0	2B6325C	10B17B40	
DEC 27 : 353337536.000000	45494876.000000	280066880.000000	
HEX 28 : 11475B80	1EDCBE20	1A539A60	
DEC 28 : 289889152.000000	517783072.000000	441686624.000000	
HEX 29 : C044AD0	58CBBC0	176B01E0	
DEC 29 : 201607888.000000	93109184.000000	392888800.000000	
HEX 30 : CD80260	17C486A0	D0B70F0	
DEC 30 : 215482976.000000	398755488.000000	218853616.000000	
HEX 31 : B0E11A0	11E3FB40	1165BF00	
DEC 31 : 185471392.000000	300153664.000000	291880704.000000	
HEX 32 : 1850AEE0	12A03CC0	19C32880	
DEC 32 : 407940832.000000	312491200.000000	432220288.000000	
HEX 33 : AB06DE0	E3FE800	AD13C40	
DEC 33 : 179334624.000000	239069184.000000	181484608.000000	
HEX 34 : 8759660	16086520	72CB3C0	
DEC 34 : 141923936.000000	369648928.000000	120370112.000000	
HEX 35 : 114FD300	8F68E90	D20CD30	
DEC 35 : 290444032.000000	150376080.000000	220253488.000000	
HEX 36 : 122D3160	143F5C40	258B788	
DEC 36 : 304951648.000000	339696704.000000	39368584.000000	
HEX 37 : 2FAF568	7FCCCB8	13012780	
DEC 37 : 50001256.000000	134007992.000000	318842752.000000	
HEX 38 : 1DEA6C40	144CA6A0	BECBB50	
DEC 38 : 501902400.000000	340567712.000000	200063824.000000	
HEX 39 : D1BC480	84785A0	6EB5968	
DEC 39 : 219923584.000000	138904992.000000	116087144.000000	
HEX 40 : 173E6100	110D3800	D32EC40	
DEC 40 : 389964032.000000	286078976.000000	221441088.000000	
HEX 41 : 5BB65E0	B7752D0	5E184B8	
DEC 41 : 96167392.000000	192369360.000000	98665656.000000	
HEX 42 : 77B4E98	7236620	BCA51E0	
DEC 42 : 125521560.000000	119760416.000000	197808608.000000	
HEX 43 : 1DE29880	130B3260	135932E0	
DEC 43 : 501389440.000000	319500896.000000	324612832.000000	
HEX 44 : 1D7B8900	D412A60	65BC5A8	
DEC 44 : 494635264.000000	222374496.000000	106677672.000000	
HEX 45 : 87DC800	B84E1E0	1A5B1000	
DEC 45 : 142460928.000000	193257952.000000	442175488.000000	
HEX 46 : 844F4B	389E25C	139CD2E	
DEC 46 : 8671051.000000	59368028.000000	20565294.000000	
HEX 47 : 143A0220	18FDCB40	DDEA5A0	
DEC 47 : 339345952.000000	419285824.000000	232695200.000000	
HEX 48 : 1EB11A6	C2AA8F0	C770E20	
DEC 48 : 32182694.000000	204122352.000000	209128992.000000	
HEX 49 : 45F3310	14763900	D94F1E0	
DEC 49 : 73347856.000000	343292160.000000	227865056.000000	
HEX 50 : 301C568	65C3F88	1A5B1E20	
DEC 50 : 50447720.000000	106708872.000000	442179104.000000	
HEX 51 : 7B51E20	492E788	33445A4	
DEC 51 : 129310240.000000	76736392.000000	53757348.000000	
HEX 52 : A7938F0	12A12080	18DE2C40	
DEC 52 : 175716592.000000	312549504.000000	417213504.000000	
HEX 53 : 180D8D00	17B97A60	143A6880	
DEC 53 : 403541248.000000	398031456.000000	339372160.000000	
HEX 54 : 166CC380	1F005E20	9E70E20	
DEC 54 : 376226688.000000	520117792.000000	166137376.000000	
HEX 55 : 1E35CE20	C796350	DCFD780	
DEC 55 : 506842656.000000	209281872.000000	231724928.000000	
HEX 56 : 1B70B340	5A22D3	8A25B50	
DEC 56 : 460370752.000000	5907155.000000	144857936.000000	
HEX 57 : 3AC9878	157FFDA0	1A5B4880	
DEC 57 : 61642872.000000	360709536.000000	442189952.000000	
HEX 58 : 10D14440	126D95A0	98650F0	
DEC 58 : 282149952.000000	309171616.000000	159797488.000000	
HEX 59 : 128DD6A	1C095A60	FD20780	
DEC 59 : 19455338.000000	470375008.000000	265422720.000000	
HEX 60 : 15FC5340	BCCED30	7F3A1E0	
DEC 60 : 368857920.000000	197979440.000000	133407200.000000	
HEX 61 : 1EB2C520	778CAD0	14E1F6A0	
DEC 61 : 515032352.000000	125356752.000000	350353056.000000	
HEX 62 : 731F8B8	1C723960	B57F000	
DEC 62 : 120715448.000000	477247840.000000	190312448.000000	
HEX 63 : 143A35A0	93D4440	117DE1E	
DEC 63 : 339359136.000000	155010112.000000	18341406.000000	
HEX 64 : 1265ECC0	13069A60	129CDE20	
DEC 64 : 308669632.000000	319199840.000000	312270368.000000	
HEX 65 : 16843660	1C664960	2C5F0F0	
DEC 65 : 377763424.000000	476465504.000000	46526704.000000	
HEX 66 : 6AA4F48	17FA3C4	14019A60	
