Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
HEX 1 : 6185A58	13554260	17EB0C40	
DEC 1 : 102259288.000000	324354656.000000	401280064.000000	
HEX 2 : 14583F80	5492698	11265D20	
DEC 2 : 341327744.000000	88680088.000000	287726880.000000	
HEX 3 : 95EC800	130DA1E0	6430698	
DEC 3 : 157206528.000000	319660512.000000	105055896.000000	
HEX 4 : E921620	1A39EB40	8B273C0	
DEC 4 : 244454944.000000	440003392.000000	145912768.000000	
HEX 5 : 11E00900	137D8BC0	B28878	
DEC 5 : 299895040.000000	326994880.000000	11700344.000000	
HEX 6 : 440BE20	F60F1E0	A62A1E0	
DEC 6 : 71351840.000000	258011616.000000	174236128.000000	
HEX 7 : 38EB4B	1A2CF780	14990C40	
DEC 7 : 3730251.000000	439154560.000000	345574464.000000	
HEX 8 : 10D5C100	B86C8F0	137AAF00	
DEC 8 : 282444032.000000	193382640.000000	326807296.000000	
HEX 9 : 1AC9CE20	4D59A58	AE0F0	
DEC 9 : 449433120.000000	81107544.000000	712944.000000	
HEX 10 : 16AC8260	15567F00	C0532D0	
DEC 10 : 380404320.000000	357990144.000000	201667280.000000	
HEX 11 : E6ABE20	5687AD0	1A5B1A60	
DEC 11 : 241876512.000000	90733264.000000	442178144.000000	
HEX 12 : 10344D20	1D47DD20	161A16A0	
DEC 12 : 271863072.000000	491248928.000000	370808480.000000	
HEX 13 : 2997D2C	7CB4168	2A560F0	
DEC 13 : 43613484.000000	130761064.000000	44392688.000000	
HEX 14 : A1E95A0	87935A0	14FCA2E0	
DEC 14 : 169776544.000000	142161312.000000	352101088.000000	
HEX 15 : 1D807CC0	9E59710	1219D100	
DEC 15 : 494959808.000000	166041360.000000	303681792.000000	
HEX 16 : 139931E0	1813EDA0	1A5B24C0	
DEC 16 : 328806880.000000	403959200.000000	442180800.000000	
HEX 17 : 3EE3078	2457000	135FD000	
DEC 17 : 65941624.000000	38105088.000000	325046272.000000	
HEX 18 : 1D5F6780	188A15A0	524E0F0	
DEC 18 : 492791680.000000	411702688.000000	86302960.000000	
HEX 19 : ABD48F0	12B971E0	1205E780	
DEC 19 : 180177136.000000	314143200.000000	302376832.000000	
HEX 20 : 1A9D9C40	FA201E0	192B5C40	
DEC 20 : 446536768.000000	262275552.000000	422272064.000000	
HEX 21 : E232880	7A87800	D9C1C40	
DEC 21 : 237185152.000000	128481280.000000	228334656.000000	
HEX 22 : 81F8D30	1C4833C0	13BDD2E0	
DEC 22 : 136285488.000000	474493888.000000	331207392.000000	
HEX 23 : 34BB788	504ACB8	1A5B1B40	
DEC 23 : 55293832.000000	84192440.000000	442178368.000000	
HEX 24 : 17051800	1EC8F4C0	1A5B2100	
DEC 24 : 386209792.000000	516486336.000000	442179840.000000	
HEX 25 : 356B5A4	18A885A0	90C0B50	
DEC 25 : 56014244.000000	413697440.000000	151784272.000000	
HEX 26 : DFF4780	193F04C0	1023E4C0	
DEC 26 : 234833792.000000	423560384.000000	270787776.000000	
HEX 27 : 1D9AA880	12FFA620	A3CA5A0	
DEC 27 : 496674944.000000	318744096.000000	171746720.000000	
HEX 28 : 1BFEF700	B9F3970	A900880	
DEC 28 : 469694208.000000	194984304.000000	177211520.000000	
HEX 29 : A6AE3C0	11F55A6	D3C5F10	
DEC 29 : 174777280.000000	18830758.000000	222060304.000000	
HEX 30 : 6DCD968	97B9E20	E4612D0	
DEC 30 : 115136872.000000	159096352.000000	239473360.000000	
HEX 31 : 1796CBC0	9314AD0	16B57B40	
DEC 31 : 395758528.000000	154225360.000000	380992320.000000	
HEX 32 : 1597CA60	2EA3F88	1A5B1B40	
DEC 32 : 362269280.000000	48906120.000000	442178368.000000	
HEX 33 : 7957878	2B0E000	6704878	
DEC 33 : 127236216.000000	45146112.000000	108021880.000000	
HEX 34 : 41AA078	15A6A880	FFFAA60	
DEC 34 : 68853880.000000	363243648.000000	268413536.000000	
HEX 35 : 1E81DEA0	5B14E20	6A8AD30	
DEC 35 : 511827616.000000	95505952.000000	111717680.000000	
HEX 36 : 2E20698	1DC7CD20	E8BFB50	
DEC 36 : 48367256.000000	499633440.000000	244054864.000000	
HEX 37 : 1A6F15A0	19CF1F00	10C586A0	
DEC 37 : 443487648.000000	433004288.000000	281380512.000000	
