Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
HEX 1 : 11BFAAE0	F5291E0	5CFDD30	
DEC 1 : 297773792.000000	257069536.000000	97508656.000000	
HEX 2 : DEF6970	14C87100	1A5B25A0	
DEC 2 : 233793904.000000	348680448.000000	442181024.000000	
HEX 3 : A8F4000	10545CC0	7CF6788	
DEC 3 : 177160192.000000	273964224.000000	131032968.000000	
HEX 4 : 14DD6F80	282DE98	4846C40	
DEC 4 : 350056320.000000	42131096.000000	75787328.000000	
HEX 5 : E31EBC0	5559348	8722000	
DEC 5 : 238152640.000000	89494344.000000	141697024.000000	
HEX 6 : 107DACC0	1655B340	13721C40	
DEC 6 : 276671680.000000	374715200.000000	326245440.000000	
HEX 7 : 434969	31CE710	13D8AC40	
DEC 7 : 4409705.000000	52225808.000000	332966976.000000	
HEX 8 : 8FC9C40	19B6C100	12B03C40	
DEC 8 : 150772800.000000	431407360.000000	313539648.000000	
HEX 9 : 4B4E698	14680700	EB35B50	
DEC 9 : 78964376.000000	342361856.000000	246635344.000000	
HEX 10 : 1653C900	148FBDA0	8B07A60	
DEC 10 : 374589696.000000	344964512.000000	145783392.000000	
HEX 11 : 1A1E7880	6609440	1663F880	
DEC 11 : 438204544.000000	106992704.000000	375650432.000000	
HEX 12 : 1D16FB40	139DC800	5639B48	
DEC 12 : 488045376.000000	329107456.000000	90413896.000000	
HEX 13 : 10F1D2E0	76C3530	F2303C0	
DEC 13 : 284283616.000000	124532016.000000	253952960.000000	
HEX 14 : 16821340	159CEA60	13C3D2E	
DEC 14 : 377623360.000000	362605152.000000	20725038.000000	
HEX 15 : 15841C40	91DA5A0	812D5A0	
DEC 15 : 360979520.000000	152937888.000000	135452064.000000	
HEX 16 : 1AA343C	1734D620	14FE4E20	
DEC 16 : 27931708.000000	389338656.000000	352210464.000000	
HEX 17 : 15FE8F00	1D0905A0	1A5AEC40	
DEC 17 : 369004288.000000	487130528.000000	442166336.000000	
HEX 18 : 3A0EE20	A3BDAD0	18B6BC40	
DEC 18 : 60878368.000000	171694800.000000	414628928.000000	
HEX 19 : 1D63D4C0	105C39E0	1A5B1A60	
DEC 19 : 493081792.000000	274479584.000000	442178144.000000	
HEX 20 : 1F714C40	4606878	1174CB40	
DEC 20 : 527518784.000000	73427064.000000	292866880.000000	
HEX 21 : 1CF804C0	161831E0	C7F6D30	
DEC 21 : 486016192.000000	370684384.000000	209677616.000000	
HEX 22 : 1D92A1E0	7240878	9C511E0	
DEC 22 : 496148960.000000	119801976.000000	163910112.000000	
HEX 23 : 927E970	1BC71960	3210968	
DEC 23 : 153610608.000000	466032992.000000	52496744.000000	
HEX 24 : 1AD85000	E88F8F0	A7BE970	
DEC 24 : 450383872.000000	243857648.000000	175892848.000000	
HEX 25 : 7E79788	6BC8F88	131BD000	
DEC 25 : 132618120.000000	113020808.000000	320589824.000000	
HEX 26 : 8A1B880	FD892D0	184EEF00	
DEC 26 : 144816256.000000	265851600.000000	407826176.000000	
HEX 27 : E3D91E0	3F570F	141BBB40	
DEC 27 : 238916064.000000	4151055.000000	337361728.000000	
HEX 28 : 3548800	E234D30	AC32B50	
DEC 28 : 55871488.000000	237194544.000000	180562768.000000	
HEX 29 : 19D59880	D552000	27BE878	
DEC 29 : 433428608.000000	223682560.000000	41674872.000000	
HEX 30 : 19CE6C40	1EA142E0	9303C40	
DEC 30 : 432958528.000000	513884896.000000	154156096.000000	
HEX 31 : 6DA7968	6B7A800	6EBD5A8	
DEC 31 : 114981224.000000	112699392.000000	116118952.000000	
HEX 32 : 13383C40	1D2AFA60	52FE878	
DEC 32 : 322452544.000000	489355872.000000	87025784.000000	
HEX 33 : 2522710	140A1620	1AFB3C4	
DEC 33 : 38938384.000000	336205344.000000	28292036.000000	
HEX 34 : 12781780	1D981F00	13B9C3C0	
DEC 34 : 309860224.000000	496508672.000000	330941376.000000	
HEX 35 : 9BE8D30	129EFAE0	AF44B5	
DEC 35 : 163482928.000000	312408800.000000	11486389.000000	
HEX 36 : F47B350	17811DA0	22AEB4C	
DEC 36 : 256357200.000000	394337696.000000	36367180.000000	
HEX 37 : 1BE30100	ED4B800	13236780	
DEC 37 : 467861760.000000	248821760.000000	321087360.000000	
HEX 38 : D17F3C0	1C3A32E0	1999BA60	
DEC 38 : 219673536.000000	473576160.000000	429505120.000000	
HEX 39 : 1B5071E0	5CD39E0	2735788	
DEC 39 : 458256864.000000	97335776.000000	41113480.000000	
HEX 40 : 13A97440	FA0A780	14BD25A0	
DEC 40 : 329872448.000000	262186880.000000	347940256.000000	
HEX 41 : BF49800	1261CBC0	EEB1E20	
DEC 41 : 200579072.000000	308399040.000000	250289696.000000	
HEX 42 : 1F5A02E0	1F7EF1E0	E3522D0	
DEC 42 : 525992672.000000	528413152.000000	238363344.000000	
HEX 43 : 14ED1160	1A7912E0	D232780	
DEC 43 : 351080800.000000	444142304.000000	220407680.000000	
HEX 44 : 17B082E0	2C4DBC4	B7DEE20	
DEC 44 : 397443808.000000	46455748.000000	192802336.000000	
HEX 45 : 183A7160	95CEE20	F79F4B0	
DEC 45 : 406483296.000000	157085216.000000	259650736.000000	
HEX 46 : 52B0530	D4FAB50	381F788	
DEC 46 : 86705456.000000	223325008.000000	58849160.000000	
HEX 47 : E951440	18095080	9E52000	
DEC 47 : 244651072.000000	403263616.000000	166010880.000000	
HEX 48 : 1C95B100	17D8B340	1A5B22E0	
DEC 48 : 479572224.000000	400077632.000000	442180320.000000	
HEX 49 : 1116C880	67B1B48	1739DE20	
DEC 49 : 286705792.000000	108731208.000000	389668384.000000	
HEX 50 : F55EC40	D1958F0	1A5BCC40	
DEC 50 : 257289280.000000	219764976.000000	442223680.000000	
HEX 51 : 2BBD34C	1E22C6A0	123FCD20	
DEC 51 : 45863756.000000	505595552.000000	306171168.000000	
HEX 52 : 6F1AAD0	179419E0	1A5952E0	
DEC 52 : 116501200.000000	395581920.000000	442061536.000000	
HEX 53 : CF72D30	C4F9260	13417000	
DEC 53 : 217525552.000000	206541408.000000	323055616.000000	
HEX 54 : 1572E800	1D51A5A	129E7000	
DEC 54 : 359852032.000000	30743130.000000	312373248.000000	
HEX 55 : C59EE20	B5E5620	25C03C4	
DEC 55 : 207220256.000000	190731808.000000	39584708.000000	
HEX 56 : 2BC9BC4	7212C40	D7335A0	
DEC 56 : 45915076.000000	119614528.000000	225654176.000000	
HEX 57 : 3A91BC4	1727788	1A5B13C0	
DEC 57 : 61414340.000000	24278920.000000	442176448.000000	
HEX 58 : 156DF1E0	1580ED20	1A493E20	
DEC 58 : 359526880.000000	360770848.000000	441007648.000000	
HEX 59 : A0524B0	66C1AD0	1A5B1A60	
DEC 59 : 168109232.000000	107748048.000000	442178144.000000	
HEX 60 : 8C214B0	2282168	84DC3C	
DEC 60 : 146937008.000000	36184424.000000	8707132.000000	
HEX 61 : 63A1B48	1F394E20	18D9C4C0	
DEC 61 : 104471368.000000	523849248.000000	416924864.000000	
HEX 62 : 12C93D20	FAE6BC0	D42C780	
DEC 62 : 315178272.000000	263089088.000000	222480256.000000	
HEX 63 : 63C7348	167EC880	7A160F0	
DEC 63 : 104624968.000000	377407616.000000	128016624.000000	
HEX 64 : 1CF22880	1A87AE20	13549000	
DEC 64 : 485632128.000000	445099552.000000	324308992.000000	
HEX 65 : 17334900	C12BA60	1A5B2F00	
DEC 65 : 389236992.000000	202553952.000000	442183424.000000	
HEX 66 : 818A3C0	1CE541E0	B301970	
DEC 66 : 135832512.000000	484786656.000000	187701616.000000	
HEX 67 : 9B84000	AA43E90	CAB9690	
DEC 67 : 163069952.000000	178536080.000000	212571792.000000	
HEX 68 : 17C6A780	15402260	11E25F00	
DEC 68 : 398894976.000000	356524640.000000	300048128.000000	
HEX 69 : 1B98DF00	1AE89D20	2E48878	
DEC 69 : 463003392.000000	451452192.000000	48531576.000000	
HEX 70 : 2D2E698	6CA65A8	8FD878	
DEC 70 : 47376024.000000	113927592.000000	9427064.000000	
HEX 71 : 3EE078	19D45C40	BFBE4B0	
DEC 71 : 4120696.000000	433347648.000000	201057456.000000	
HEX 72 : 4F85168	D9EE0F0	121DFE20	
DEC 72 : 83382632.000000	228516080.000000	303955488.000000	
HEX 73 : 80F49E0	1BCC9E2	CBA23C0	
DEC 73 : 135219680.000000	29149666.000000	213525440.000000	
HEX 74 : 1B09788	11EBE6A0	1A5B32E0	
DEC 74 : 28350344.000000	300672672.000000	442184416.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
