Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 70
HEX 1 : 368B878	BA9CE90	16868100	
DEC 1 : 57194616.000000	195677840.000000	377913600.000000	
HEX 2 : D9D2780	CA10260	10221E20	
DEC 2 : 228403072.000000	211878496.000000	270671392.000000	
HEX 3 : 16BA6E20	1278FF80	CE6CF10	
DEC 3 : 381316640.000000	309919616.000000	216452880.000000	
HEX 4 : 1EFAB960	77EC258	ABC6D30	
DEC 4 : 519747936.000000	125747800.000000	180120880.000000	
HEX 5 : 1015A100	1F6ECA60	58A5F10	
DEC 5 : 269852928.000000	527354464.000000	92954384.000000	
HEX 6 : 1E6F1100	1DB40100	633A3C0	
DEC 6 : 510595328.000000	498336000.000000	104047552.000000	
HEX 7 : 1B4C41E0	1BB996A0	10851000	
DEC 7 : 457982432.000000	465147552.000000	277155840.000000	
HEX 8 : 17949B40	691FB48	9B0D690	
DEC 8 : 395615040.000000	110230344.000000	162584208.000000	
HEX 9 : BA8F0F0	15101CC0	3A9EB4C	
DEC 9 : 195621104.000000	353377472.000000	61467468.000000	
HEX 10 : AE74B5	13B2710	51854B8	
DEC 10 : 11433141.000000	20653840.000000	85480632.000000	
HEX 11 : 1D70EE20	2D97BC4	43AD4B8	
DEC 11 : 493940256.000000	47807428.000000	70964408.000000	
HEX 12 : DDDF880	5C82710	B6F95A0	
DEC 12 : 232650880.000000	97003280.000000	191862176.000000	
HEX 13 : 16E03D20	EA7AD30	4FD80F0	
DEC 13 : 383794464.000000	245869872.000000	83722480.000000	
HEX 14 : 748C3C0	731A800	10A54A60	
DEC 14 : 122209216.000000	120694784.000000	279267936.000000	
HEX 15 : 73DA968	944E880	8B1F4B0	
DEC 15 : 121481576.000000	155510912.000000	145880240.000000	
HEX 16 : 711D2D	5622AD0	1A5B1A60	
DEC 16 : 7413037.000000	90319568.000000	442178144.000000	
HEX 17 : E6AA780	D1D53C0	3283B4C	
DEC 17 : 241870720.000000	220025792.000000	52968268.000000	
HEX 18 : 1ECAC6A0	A3D59E0	3BA22D4	
DEC 18 : 516605600.000000	171792864.000000	62530260.000000	
HEX 19 : 76DDC40	E208690	8A9A5A	
DEC 19 : 124640320.000000	237012624.000000	9083482.000000	
HEX 20 : DBD80F0	6E46698	1A5B1A60	
DEC 20 : 230523120.000000	115631768.000000	442178144.000000	
HEX 21 : 136EA5A	BC36B50	ECA9000	
DEC 21 : 20376154.000000	197356368.000000	248156160.000000	
HEX 22 : 3A74F10	1864B000	10A8F3C0	
DEC 22 : 61296400.000000	409251840.000000	279507904.000000	
HEX 23 : 19E41000	181D7CC0	90C2A60	
DEC 23 : 434376704.000000	404585664.000000	151792224.000000	
HEX 24 : 95B22D0	1C143A60	521E968	
DEC 24 : 156967632.000000	471087712.000000	86108520.000000	
HEX 25 : 2A040F0	1D7996A0	20E6968	
DEC 25 : 44056816.000000	494507680.000000	34498920.000000	
HEX 26 : 39E02D4	1BA8E780	17C43960	
DEC 26 : 60687060.000000	464054144.000000	398735712.000000	
HEX 27 : 17E4C4C0	128B8E20	1A5B21E0	
DEC 27 : 400868544.000000	311135776.000000	442180064.000000	
HEX 28 : E59F5A0	5AF5710	12F2F5A0	
DEC 28 : 240776608.000000	95377168.000000	317912480.000000	
HEX 29 : 1D222000	3734B4	B46D880	
DEC 29 : 488775680.000000	3617972.000000	189192320.000000	
HEX 30 : 1213DC40	1A9C34C0	B25F880	
DEC 30 : 303291456.000000	446444736.000000	187037824.000000	
HEX 31 : 6FA3000	1FF91E2	16C7E4C0	
DEC 31 : 117059584.000000	33526242.000000	382198976.000000	
HEX 32 : 1F149E20	13C93620	E8875A0	
DEC 32 : 521444896.000000	331953696.000000	243824032.000000	
HEX 33 : 1D9035A0	10498520	80A7690	
DEC 33 : 495990176.000000	273253664.000000	134903440.000000	
HEX 34 : 1A1CD4C0	155E9DA0	1D82788	
DEC 34 : 438097088.000000	358522272.000000	30943112.000000	
HEX 35 : 2269B4C	1A133100	8C1DA60	
DEC 35 : 36084556.000000	437465344.000000	146922080.000000	
HEX 36 : 468F4B8	66A0000	C2FD2D	
DEC 36 : 73987256.000000	107610112.000000	12778797.000000	
HEX 37 : 5FB1B48	18843C4	ABC4690	
DEC 37 : 100342600.000000	25707460.000000	180110992.000000	
HEX 38 : 1BB016A0	D108260	E969880	
DEC 38 : 464524960.000000	219185760.000000	244750464.000000	
HEX 39 : 1B1256A0	99CE1E	184CC880	
DEC 39 : 454186656.000000	10079774.000000	407685248.000000	
HEX 40 : 42A0968	14B391E0	30D14B4	
DEC 40 : 69863784.000000	347312608.000000	51188916.000000	
HEX 41 : 11865100	E877530	1A5B1B40	
DEC 41 : 294015232.000000	243758384.000000	442178368.000000	
HEX 42 : 1C0EFF00	DFB7170	160D5F00	
DEC 42 : 470744832.000000	234582384.000000	369975040.000000	
HEX 43 : 78FB3C0	11491E20	11CDED20	
DEC 43 : 126858176.000000	290004512.000000	298708256.000000	
HEX 44 : 125535A0	144A2340	7108968	
DEC 44 : 307574176.000000	340403008.000000	118524264.000000	
HEX 45 : 153F7E20	9E7CF80	10E0AE20	
DEC 45 : 356482592.000000	166186880.000000	283160096.000000	
HEX 46 : ABDC1E0	D227F10	17669780	
DEC 46 : 180208096.000000	220364560.000000	392599424.000000	
HEX 47 : 197E06A0	15049C40	136D1F00	
DEC 47 : 427689632.000000	352623680.000000	325918464.000000	
