Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 62
HEX 1 : 12EB52E0	5085078	9D470F0	
DEC 1 : 317412064.000000	84430968.000000	164917488.000000	
HEX 2 : 1205AF00	13471C40	7F995A8	
DEC 2 : 302362368.000000	323427392.000000	133797288.000000	
HEX 3 : 4B4F000	4D8DBC0	3AB5D2C	
DEC 3 : 78966784.000000	81320896.000000	61562156.000000	
HEX 4 : 10F68C40	1AFC5100	4B96788	
DEC 4 : 284593216.000000	452743424.000000	79259528.000000	
HEX 5 : 5F07788	14AF1080	1181B960	
DEC 5 : 99645320.000000	347017344.000000	293714272.000000	
HEX 6 : 187EF2E0	DC54AD0	12C95A60	
DEC 6 : 410972896.000000	231033552.000000	315185760.000000	
HEX 7 : 187E7780	905E880	CF14A60	
DEC 7 : 410941312.000000	151382144.000000	217139808.000000	
HEX 8 : 21550F0	26BB698	1A5B1A60	
DEC 8 : 34951408.000000	40613528.000000	442178144.000000	
HEX 9 : 635E1E	81A35A0	14371A60	
DEC 9 : 6512158.000000	135935392.000000	339155552.000000	
HEX 10 : 8A600F0	1442C5A0	5C2A698	
DEC 10 : 145096944.000000	339920288.000000	96642712.000000	
HEX 11 : 44E23C0	F2E3710	BAC2690	
DEC 11 : 72229824.000000	254686992.000000	195831440.000000	
HEX 12 : 187E73C0	1049B1E0	2736788	
DEC 12 : 410940352.000000	273265120.000000	41117576.000000	
HEX 13 : BDCBF10	10AD5DA0	B8CD0F0	
DEC 13 : 199016208.000000	279797152.000000	193777904.000000	
HEX 14 : 187E7100	1D9DD2E	FC6FD30	
DEC 14 : 410939648.000000	31055150.000000	264699184.000000	
HEX 15 : 17B92C40	96E4AD0	576BB48	
DEC 15 : 398011456.000000	158223056.000000	91667272.000000	
HEX 16 : 61F50F0	1BA97C40	31144B4	
DEC 16 : 102715632.000000	464092224.000000	51463348.000000	
HEX 17 : 13267B40	125F33C0	156BFB40	
DEC 17 : 321289024.000000	308229056.000000	359398208.000000	
HEX 18 : B0655A0	2E63E20	1A5B2000	
DEC 18 : 184964512.000000	48643616.000000	442179584.000000	
HEX 19 : E99F1E0	17E63700	13066B40	
DEC 19 : 244969952.000000	400963328.000000	319187776.000000	
HEX 20 : 13936C40	3E70E20	75C2D3	
DEC 20 : 328428608.000000	65474080.000000	7717587.000000	
HEX 21 : 11EBCB40	5380F1	144721E0	
DEC 21 : 300665664.000000	5472497.000000	340206048.000000	
HEX 22 : BBAFA60	2F06698	63E7B48	
DEC 22 : 196803168.000000	49309336.000000	104758088.000000	
HEX 23 : 187E7000	938E3C0	1A2A3F00	
DEC 23 : 410939392.000000	154723264.000000	438976256.000000	
HEX 24 : 5C56698	4FBA168	CCC4B50	
DEC 24 : 96822936.000000	83599720.000000	214715216.000000	
HEX 25 : 1793DA60	14AF8520	FC9C3C0	
DEC 25 : 395565664.000000	347047200.000000	264881088.000000	
HEX 26 : EB43780	8012170	F54BF10	
DEC 26 : 246691712.000000	134291824.000000	257212176.000000	
HEX 27 : 1559BF00	1D765100	1A5AF6A0	
DEC 27 : 358203136.000000	494293248.000000	442168992.000000	
HEX 28 : 8FA5000	1CE54960	12B3FF00	
DEC 28 : 150622208.000000	484788576.000000	313786112.000000	
HEX 29 : 187E75A0	1DA37880	134683C0	
DEC 29 : 410940832.000000	497252480.000000	323388352.000000	
HEX 30 : 12A725A0	14AA1100	99EA5A	
DEC 30 : 312944032.000000	346689792.000000	10087002.000000	
HEX 31 : 1118FE20	19813E20	C1AF970	
DEC 31 : 286850592.000000	427900448.000000	203094384.000000	
HEX 32 : 187E81E0	1A9E7C40	B3E8F10	
DEC 32 : 410943968.000000	446594112.000000	188649232.000000	
HEX 33 : 254E2D4	19EAF780	B9D1780	
DEC 33 : 39117524.000000	434829184.000000	194844544.000000	
HEX 34 : 35C3788	1E4CCD20	1A5B1A60	
DEC 34 : 56375176.000000	508349728.000000	442178144.000000	
HEX 35 : 10B6D100	C1EC0F0	609EA58	
DEC 35 : 280416512.000000	203342064.000000	101313112.000000	
HEX 36 : 187E73C0	FFD6000	9F96B50	
DEC 36 : 410940352.000000	268263424.000000	167340880.000000	
HEX 37 : C87C5A0	927F9E0	16728100	
DEC 37 : 210224544.000000	153614816.000000	376602880.000000	
HEX 38 : E32C1E0	A97D2D	DBDE880	
DEC 38 : 238207456.000000	11107629.000000	230549632.000000	
HEX 39 : 187E56A0	174FD080	175B8A60	
DEC 39 : 410932896.000000	391106688.000000	391875168.000000	
HEX 40 : BC4FF10	F93E620	C22697	
DEC 40 : 197459728.000000	261350944.000000	12723863.000000	
HEX 41 : 7EBC0F0	AFF8080	10C8A780	
DEC 41 : 132890864.000000	184516736.000000	281585536.000000	
HEX 42 : 14E4A2E0	7371000	13A4EB40	
DEC 42 : 350528224.000000	121049088.000000	329575232.000000	
HEX 43 : 59074B8	D72FC40	4742C40	
DEC 43 : 93353144.000000	225639488.000000	74722368.000000	
HEX 44 : 9AB20F0	184823C0	C0B4C40	
DEC 44 : 162210032.000000	407380928.000000	202067008.000000	
HEX 45 : 25D0698	14804000	1A5B1D20	
DEC 45 : 39650968.000000	343949312.000000	442178848.000000	
HEX 46 : 11DAFB40	CC51620	1A5B1C40	
DEC 46 : 299563840.000000	214242848.000000	442178624.000000	
HEX 47 : 187E71E0	17924520	45BFF10	
DEC 47 : 410939872.000000	395461920.000000	73137936.000000	
HEX 48 : A881880	FCEE5A0	1A5B25A0	
DEC 48 : 176691328.000000	265217440.000000	442181024.000000	
HEX 49 : 102B44C0	1736AF00	1A5B81E0	
DEC 49 : 271271104.000000	389459712.000000	442204640.000000	
HEX 50 : 123FF000	504C258	1A57ED20	
DEC 50 : 306180096.000000	84197976.000000	441969952.000000	
HEX 51 : 10CCA5A	196241E0	14C6EA60	
DEC 51 : 17615450.000000	425869792.000000	348580448.000000	
HEX 52 : C2DB000	10C54000	13127F00	
DEC 52 : 204320768.000000	281362432.000000	319979264.000000	
HEX 53 : D5751E0	1E2976A0	19B6B2E0	
DEC 53 : 223826400.000000	506033824.000000	431403744.000000	
HEX 54 : A3C6970	9C24440	9103E20	
DEC 54 : 171731312.000000	163726400.000000	152059424.000000	
HEX 55 : 6ED3D30	45E7348	14367C40	
DEC 55 : 116210992.000000	73298760.000000	339115072.000000	
HEX 56 : 187D9780	18EAF88	17F152E0	
DEC 56 : 410883968.000000	26128264.000000	401691360.000000	
HEX 57 : 187E7000	1F302D2	5D0F5A8	
DEC 57 : 410939392.000000	32703186.000000	97580456.000000	
HEX 58 : 1282AD20	E699BC0	E4391E0	
DEC 58 : 310553888.000000	241802176.000000	239309280.000000	
HEX 59 : 3868788	ED0A000	158F1F00	
DEC 59 : 59148168.000000	248553472.000000	361701120.000000	
HEX 60 : 900F1E0	1731C520	180B6B40	
DEC 60 : 151056864.000000	389137696.000000	403401536.000000	
HEX 61 : 15FE96A	161E4100	52EF788	
DEC 61 : 23062890.000000	371081472.000000	86964104.000000	
HEX 62 : 61B9C40	99111E0	1A5B0880	
DEC 62 : 102472768.000000	160502240.000000	442173568.000000	
63 : 0.000000	0.000000	0.000000	
64 : 0.000000	0.000000	0.000000	
65 : 0.000000	0.000000	0.000000	
66 : 0.000000	0.000000	0.000000	
67 : 0.000000	0.000000	0.000000	
68 : 0.000000	0.000000	0.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
