Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
HEX 1 : 1B9EB280	1B9816A0	D4D54B0	
DEC 1 : 463385216.000000	462952096.000000	223171760.000000	
HEX 2 : 5F738	122E0F0	6A711E0	
DEC 2 : 390968.000000	19063024.000000	111612384.000000	
HEX 3 : E21E2D0	1BD5B2E0	50DE000	
DEC 3 : 237101776.000000	466989792.000000	84795392.000000	
HEX 4 : 10473440	1DADD960	11F722E0	
DEC 4 : 273101888.000000	497932640.000000	301408992.000000	
HEX 5 : 1A057240	3368F10	DF5B780	
DEC 5 : 436564544.000000	53907216.000000	234207104.000000	
HEX 6 : DDA03E0	179C878	1021BF00	
DEC 6 : 232391648.000000	24758392.000000	270647040.000000	
HEX 7 : 1A5E5CC0	1BDDCA60	14B8C3C0	
DEC 7 : 442391744.000000	467520096.000000	347653056.000000	
HEX 8 : CE75E80	116802E0	1A5B1880	
DEC 8 : 216489600.000000	292029152.000000	442177664.000000	
HEX 9 : 109F59C0	ACC3970	1A5B2A60	
DEC 9 : 278878656.000000	181156208.000000	442182240.000000	
HEX 10 : 1EE0C220	14FF8A60	BB2E780	
DEC 10 : 518046240.000000	352291424.000000	196274048.000000	
HEX 11 : 6738C70	B6422D0	8F070F0	
DEC 11 : 108235888.000000	191111888.000000	149975280.000000	
HEX 12 : 7C9B900	3FADD2C	5C56788	
DEC 12 : 130660608.000000	66772268.000000	96823176.000000	
HEX 13 : 14439500	1781CE20	13F5CB40	
DEC 13 : 339973376.000000	394382880.000000	334875456.000000	
HEX 14 : 5F7B6	EAB1A60	11033780	
DEC 14 : 391094.000000	246094432.000000	285423488.000000	
HEX 15 : B87437	2244B4C	F521000	
DEC 15 : 12088375.000000	35933004.000000	257036288.000000	
HEX 16 : 5F3C4	7B7CD30	A4F3B50	
DEC 16 : 390084.000000	129486128.000000	172964688.000000	
HEX 17 : 49D89F8	18EF55A0	F7BCB50	
DEC 17 : 77433336.000000	418338208.000000	259771216.000000	
HEX 18 : 1FF54260	6C0AC40	10F22F00	
DEC 18 : 536167008.000000	113290304.000000	284307200.000000	
HEX 19 : 19569120	FA01B50	71D0968	
DEC 19 : 425103648.000000	262150992.000000	119343464.000000	
HEX 20 : B53DA3	1375B4C0	1792EA60	
DEC 20 : 11877795.000000	326481088.000000	395504224.000000	
HEX 21 : 147E9A20	1B9663C0	ADE6780	
DEC 21 : 343841312.000000	462840768.000000	182347648.000000	
HEX 22 : C6CD1D0	48EB1E0	19FE3100	
DEC 22 : 208458192.000000	76460512.000000	436089088.000000	
HEX 23 : 1CC1B020	B42B5A0	160E3D20	
DEC 23 : 482455584.000000	188921248.000000	370031904.000000	
HEX 24 : 16EB6940	88233C0	78C8968	
DEC 24 : 384526656.000000	142750656.000000	126650728.000000	
HEX 25 : 1A43EAA0	170762E0	61ADF10	
DEC 25 : 440658592.000000	386360032.000000	102424336.000000	
HEX 26 : 1403D180	D961E2	1A5B64C0	
DEC 26 : 335794560.000000	14246370.000000	442197184.000000	
HEX 27 : B439B30	14F80C40	C9F93C0	
DEC 27 : 188980016.000000	351800384.000000	211784640.000000	
HEX 28 : 10DE3D40	3EAA0F0	4FE9878	
DEC 28 : 283000128.000000	65708272.000000	83794040.000000	
HEX 29 : 5F7B6	19340F00	9409F10	
DEC 29 : 391094.000000	422842112.000000	155229968.000000	
