Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
HEX 1 : 4604348	18090100	FDA00F0	
DEC 1 : 73417544.000000	403243264.000000	265945328.000000	
HEX 2 : 2752B10	8DB65A0	3A07000	
DEC 2 : 41233168.000000	148596128.000000	60846080.000000	
HEX 3 : 181F5500	1EF9C1E0	89C5E20	
DEC 3 : 404706560.000000	519684576.000000	144465440.000000	
HEX 4 : B08C350	1F588E20	1466B880	
DEC 4 : 185123664.000000	525897248.000000	342276224.000000	
HEX 5 : 42238F0	16552D2	14319880	
DEC 5 : 69351664.000000	23417554.000000	338794624.000000	
HEX 6 : B7F4570	DF09B50	13C8D4C0	
DEC 6 : 192890224.000000	233872208.000000	331928768.000000	
HEX 7 : 19787960	CE3D690	E9F41E0	
DEC 7 : 427325792.000000	216258192.000000	245318112.000000	
HEX 8 : D7814B0	1A750C40	1A5B1A60	
DEC 8 : 225973424.000000	443878464.000000	442178144.000000	
HEX 9 : 11FC400	1FFC4B4	B39F880	
DEC 9 : 18859008.000000	33539252.000000	188348544.000000	
HEX 10 : B3E80F0	1574BB40	142716A0	
DEC 10 : 188645616.000000	359971648.000000	338106016.000000	
HEX 11 : 121ECAA0	15521B40	17398780	
DEC 11 : 304007840.000000	357702464.000000	389646208.000000	
HEX 12 : E5D88F0	5B67968	123351E0	
DEC 12 : 241010928.000000	95844712.000000	305353184.000000	
HEX 13 : CBEC78	16DEFD20	165F5100	
DEC 13 : 13364344.000000	383712544.000000	375345408.000000	
HEX 14 : 1D03D160	F6D4690	14C2F6A0	
DEC 14 : 486789472.000000	258819728.000000	348321440.000000	
HEX 15 : 19000880	396A5A4	1A5B14C0	
DEC 15 : 419432576.000000	60204452.000000	442176704.000000	
HEX 16 : CF87400	C895F10	C7F1A60	
DEC 16 : 217609216.000000	210329360.000000	209656416.000000	
HEX 17 : F726B80	1FEDE780	632D0F0	
DEC 17 : 259156864.000000	535684992.000000	103993584.000000	
HEX 18 : AE5E880	1B559E20	E07F3C0	
DEC 18 : 182839424.000000	458595872.000000	235402176.000000	
HEX 19 : 165B5E60	EA985A0	183186A0	
DEC 19 : 375086688.000000	245990816.000000	405898912.000000	
HEX 20 : 9949DE0	10F99000	63C15A8	
DEC 20 : 160734688.000000	284790784.000000	104601000.000000	
HEX 21 : 11DDED20	1A0BD780	B7CF5A0	
DEC 21 : 299756832.000000	436983680.000000	192738720.000000	
HEX 22 : 1B2975A0	1204DB40	23F30F0	
DEC 22 : 455701920.000000	302308160.000000	37695728.000000	
HEX 23 : 10B9E220	25DAF10	48B4000	
DEC 23 : 280617504.000000	39694096.000000	76234752.000000	
HEX 24 : 1D4ED520	2B7EE20	D706880	
DEC 24 : 491705632.000000	45608480.000000	225470592.000000	
HEX 25 : 45245A8	739BF10	18F3F6A0	
DEC 25 : 72500648.000000	121224976.000000	418641568.000000	
HEX 26 : 124B69E0	1CBB73C0	150AE880	
DEC 26 : 306932192.000000	482046912.000000	353036416.000000	
HEX 27 : 40E0C78	1964D6A0	872AB50	
DEC 27 : 68029560.000000	426038944.000000	141732688.000000	
HEX 28 : 66D71E0	1F3B6960	1A5B14C0	
DEC 28 : 107835872.000000	523987296.000000	442176704.000000	
HEX 29 : 10390700	13320D20	EF9EA60	
DEC 29 : 272172800.000000	322047264.000000	251259488.000000	
HEX 30 : 12E703C0	194CA880	4115968	
DEC 30 : 317129664.000000	424454272.000000	68245864.000000	
HEX 31 : 179CC840	1C4BDC40	1A5AE780	
DEC 31 : 396150848.000000	474733632.000000	442165120.000000	
HEX 32 : 2A93710	1EFEFE20	12272A60	
DEC 32 : 44644112.000000	520027680.000000	304556640.000000	
HEX 33 : 1C31BD20	A680000	1A4FF780	
DEC 33 : 473021728.000000	174587904.000000	441448320.000000	
HEX 34 : 7594220	83011E0	110B3F00	
