Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
HEX 1 : 19EAECC0	1FA90D20	73AE000	
DEC 1 : 434826432.000000	531172640.000000	121298944.000000	
HEX 2 : 778F0F0	59F13C0	7A42A58	
DEC 2 : 125366512.000000	94311360.000000	128199256.000000	
HEX 3 : BA2FB50	1A75A1E0	A4CEA60	
DEC 3 : 195230544.000000	443916768.000000	172812896.000000	
HEX 4 : 1CAB3E20	5EB4698	8A12780	
DEC 4 : 480984608.000000	99305112.000000	144779136.000000	
HEX 5 : 127D8F00	9F77970	161A9880	
DEC 5 : 310218496.000000	167213424.000000	370841728.000000	
HEX 6 : 7533F88	18BDCB40	17B93000	
DEC 6 : 122896264.000000	415091520.000000	398012416.000000	
HEX 7 : 356C1E0	7C59C40	1BA7B4C	
DEC 7 : 56017376.000000	130391104.000000	28998476.000000	
HEX 8 : 161DBCC0	133F7880	78AD788	
DEC 8 : 371047616.000000	322926720.000000	126539656.000000	
HEX 9 : BFD2620	15A31A60	12B163C0	
DEC 9 : 201139744.000000	363010656.000000	313615296.000000	
HEX 10 : 3C2969	99F0F10	E20BE20	
DEC 10 : 3942761.000000	161419024.000000	237026848.000000	
HEX 11 : 1DB07900	1C59E1E0	FA535A0	
DEC 11 : 498104576.000000	475652576.000000	262485408.000000	
HEX 12 : AED0440	12054E20	C2CD000	
DEC 12 : 183305280.000000	302337568.000000	204263424.000000	
HEX 13 : 1353CCC0	1AFC52E0	11F1B3C0	
DEC 13 : 324259008.000000	452743904.000000	301052864.000000	
HEX 14 : A54AAD0	1F1F8B40	1A5B2000	
DEC 14 : 173320912.000000	522160960.000000	442179584.000000	
HEX 15 : 17AD5440	673F000	1A5B16A0	
DEC 15 : 397235264.000000	108261376.000000	442177184.000000	
HEX 16 : 11120C40	CFE5970	4C23D30	
DEC 16 : 286395456.000000	217995632.000000	79838512.000000	
HEX 17 : C0022D0	10CF06A0	18785D20	
DEC 17 : 201335504.000000	282003104.000000	410541344.000000	
HEX 18 : 1A4DEBC0	1B589960	1A4A52E0	
DEC 18 : 441314240.000000	458791264.000000	441078496.000000	
HEX 19 : 10C3C160	377C698	1A5B1E20	
DEC 19 : 281264480.000000	58181272.000000	442179104.000000	
HEX 20 : 4855B48	15F8CE20	C69EA60	
DEC 20 : 75848520.000000	368627232.000000	208267872.000000	
HEX 21 : 18C35000	1FA213C0	144C61E0	
DEC 21 : 415453184.000000	530715584.000000	340550112.000000	
HEX 22 : 180643C0	19376B40	BCD5690	
DEC 22 : 403063744.000000	423062336.000000	198006416.000000	
HEX 23 : 13E56D20	6056968	3F1DA5C	
DEC 23 : 333802784.000000	101017960.000000	66181724.000000	
HEX 24 : 28BBC3C	12F7E3C0	187192E0	
DEC 24 : 42712124.000000	318235584.000000	410096352.000000	
HEX 25 : 1BEA02E0	618DA58	123E696	
DEC 25 : 468320992.000000	102292056.000000	19130006.000000	
HEX 26 : 1DA70080	10A2C880	138DEA60	
DEC 26 : 497483904.000000	279103616.000000	328067680.000000	
HEX 27 : 7532C40	138BDA60	6B9A5A	
DEC 27 : 122891328.000000	327932512.000000	7051866.000000	
HEX 28 : 18CF3960	165C5A60	143C4880	
DEC 28 : 416233824.000000	375151200.000000	339495040.000000	
HEX 29 : C3FD970	1D2205A0	135A46A0	
DEC 29 : 205511024.000000	488768928.000000	324683424.000000	
HEX 30 : 15205C40	2C66A5C	14420F00	
DEC 30 : 354442304.000000	46557788.000000	339873536.000000	
HEX 31 : A3359E0	2E15698	16B6F6A0	
DEC 31 : 171137504.000000	48322200.000000	381089440.000000	
HEX 32 : B4A64B0	19F865A0	1FA7000	
DEC 32 : 189424816.000000	435709344.000000	33189888.000000	
HEX 33 : 107D3C4	15F84F00	5BE0000	
DEC 33 : 17290180.000000	368594688.000000	96337920.000000	
HEX 34 : 183EF88	E951970	45EE788	
DEC 34 : 25423752.000000	244652400.000000	73328520.000000	
HEX 35 : 116EA800	15BE36A0	CE21F10	
DEC 35 : 292464640.000000	364787360.000000	216145680.000000	
HEX 36 : 16C9696	1267E1E	7551E20	
DEC 36 : 23893654.000000	19299870.000000	123018784.000000	
HEX 37 : C19CE90	83F13C0	1AF04B4	
DEC 37 : 203017872.000000	138351552.000000	28247220.000000	
HEX 38 : 75CD878	B64FA60	C78DF10	
DEC 38 : 123525240.000000	191167072.000000	209248016.000000	
HEX 39 : 14D96080	4AA9878	CF9B4B0	
DEC 39 : 349790336.000000	78289016.000000	217691312.000000	
HEX 40 : 541EAD0	C35AA60	1A5B1D20	
DEC 40 : 88206032.000000	204843616.000000	442178848.000000	
HEX 41 : 45F0878	1F622880	15C2F880	
DEC 41 : 73336952.000000	526526592.000000	365099136.000000	
HEX 42 : 1AB92CC0	18944D20	4CD51E0	
DEC 42 : 448343232.000000	412372256.000000	80564704.000000	
HEX 43 : 12C83E20	19FE75A0	673DA58	
DEC 43 : 315112992.000000	436106656.000000	108255832.000000	
HEX 44 : 3837878	1C7BB5A0	2E54D2C	
DEC 44 : 58947704.000000	477869472.000000	48581932.000000	
HEX 45 : 306B788	16C7C3C	18A42000	
DEC 45 : 50771848.000000	23886908.000000	413409280.000000	
HEX 46 : 12CD4960	112C2100	13F13100	
DEC 46 : 315443552.000000	288104704.000000	334573824.000000	
