Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 76
HEX 1 : 14ADF1E0	1EEE9C40	B25CD30	
DEC 1 : 346943968.000000	518954048.000000	187026736.000000	
HEX 2 : 7F25698	19FB0960	7525F10	
DEC 2 : 133322392.000000	435882336.000000	122838800.000000	
HEX 3 : 1A4AAF00	1582EA60	80411E0	
DEC 3 : 441102080.000000	360901216.000000	134484448.000000	
HEX 4 : 1794F960	1D8F0F	18AD7E20	
DEC 4 : 395639136.000000	1937167.000000	414023200.000000	
HEX 5 : 1F95B000	DE061E0	1A5B22E0	
DEC 5 : 529903616.000000	232808928.000000	442180320.000000	
HEX 6 : 16FA4D20	C8CD1E0	1A5B1A60	
DEC 6 : 385502496.000000	210555360.000000	442178144.000000	
HEX 7 : 4EC2D3	14842960	162376A0	
DEC 7 : 5161683.000000	344205664.000000	371422880.000000	
HEX 8 : 98B9880	1D9CD880	1A3A06A0	
DEC 8 : 160143488.000000	496818304.000000	440010400.000000	
HEX 9 : 3A86F10	6E18B48	E0C1780	
DEC 9 : 61370128.000000	115444552.000000	235673472.000000	
HEX 10 : 5261A58	148BCB40	105F36A0	
DEC 10 : 86383192.000000	344705856.000000	274675360.000000	
HEX 11 : 1C2A4E20	375B1E0	BCCCE20	
DEC 11 : 472534560.000000	58044896.000000	197971488.000000	
HEX 12 : F57DD30	DDFAD30	10374C40	
DEC 12 : 257416496.000000	232762672.000000	272059456.000000	
HEX 13 : 1B9255A0	C1D04B0	C80CD30	
DEC 13 : 462575008.000000	203228336.000000	209767728.000000	
HEX 14 : 15B494C0	527696	E7351E0	
DEC 14 : 364156096.000000	5404310.000000	242438624.000000	
HEX 15 : 8843880	985B690	1A5B1D20	
DEC 15 : 142882944.000000	159757968.000000	442178848.000000	
HEX 16 : 1C269E20	65643C0	1A5B1D20	
DEC 16 : 472292896.000000	106316736.000000	442178848.000000	
HEX 17 : 39331E0	F3402D0	1A5B1960	
DEC 17 : 59978208.000000	255066832.000000	442177888.000000	
HEX 18 : D12A5A	83270F0	1A5B1880	
DEC 18 : 13707866.000000	137523440.000000	442177664.000000	
HEX 19 : 1EFFB4C	195A4C40	2D405A4	
DEC 19 : 32504652.000000	425348160.000000	47449508.000000	
HEX 20 : 82A64B0	1F3F9F00	ED42F10	
DEC 20 : 136996016.000000	524263168.000000	248786704.000000	
HEX 21 : 1415F780	140EE2E0	1A5B1D20	
DEC 21 : 336983936.000000	336519904.000000	442178848.000000	
HEX 22 : 1A6823C0	1A731780	1A5B1A60	
DEC 22 : 443032512.000000	443750272.000000	442178144.000000	
HEX 23 : 8576C40	17067000	16B96F00	
DEC 23 : 139947072.000000	386297856.000000	381251328.000000	
HEX 24 : 676FF10	DD271E0	D3FF2D0	
DEC 24 : 108461840.000000	231895520.000000	222294736.000000	
HEX 25 : C8120F0	DAEF780	8A76000	
DEC 25 : 209789168.000000	229570432.000000	145186816.000000	
HEX 26 : 866A1E0	1317E960	21CA968	
DEC 26 : 140943840.000000	320334176.000000	35432808.000000	
HEX 27 : 1A7E0960	DB75D30	539D968	
DEC 27 : 444467552.000000	230120752.000000	87677288.000000	
HEX 28 : 165B15A0	EA25970	13220F00	
DEC 28 : 375068064.000000	245520752.000000	320999168.000000	
HEX 29 : CCC7B50	1229CA60	1A5B1C40	
DEC 29 : 214727504.000000	304728672.000000	442178624.000000	
HEX 30 : 6C191E0	90ADA60	7339968	
DEC 30 : 113349088.000000	151706208.000000	120822120.000000	
HEX 31 : 9589D30	350EF10	30E1788	
DEC 31 : 156802352.000000	55635728.000000	51255176.000000	
HEX 32 : 1350EC40	74AF5A8	1152AD20	
DEC 32 : 324070464.000000	122353064.000000	290630944.000000	
HEX 33 : 1BD80960	13568D20	1051B1E0	
DEC 33 : 467143008.000000	324439328.000000	273789408.000000	
HEX 34 : 8465C40	E4D3A60	148AFA60	
