Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 62
HEX 1 : C2604B0	29500F0	6B4B788	
DEC 1 : 203818160.000000	43319536.000000	112506760.000000	
HEX 2 : 26911E0	D8831E0	4DC11E0	
DEC 2 : 40440288.000000	227029472.000000	81531360.000000	
HEX 3 : 187E71E0	162FFB40	1A5B1B40	
DEC 3 : 410939872.000000	372243264.000000	442178368.000000	
HEX 4 : A5E2880	9726E20	93BFE20	
DEC 4 : 173942912.000000	158494240.000000	154926624.000000	
HEX 5 : 2D1B000	11A64A60	12D63D20	
DEC 5 : 47296512.000000	296110688.000000	316030240.000000	
HEX 6 : 9524C40	50C2968	1116C780	
DEC 6 : 156388416.000000	84683112.000000	286705536.000000	
HEX 7 : F695970	1EAC82E0	1A5B1B40	
DEC 7 : 258562416.000000	514622176.000000	442178368.000000	
HEX 8 : 1E99D2E	1901E3C0	8AD4C40	
DEC 8 : 32087342.000000	419554240.000000	145574976.000000	
HEX 9 : 187E7000	1E907D20	1A5B1A60	
DEC 9 : 410939392.000000	512785696.000000	442178144.000000	
HEX 10 : 1713EC40	6066000	15544F00	
DEC 10 : 387181632.000000	101081088.000000	357846784.000000	
HEX 11 : E015C40	1AB54100	114E1000	
DEC 11 : 234970176.000000	448086272.000000	290328576.000000	
HEX 12 : 90ED880	4522F10	1A5B24C0	
DEC 12 : 151967872.000000	72494864.000000	442180800.000000	
HEX 13 : 11D1E3C0	171C4960	16FEA960	
DEC 13 : 298968000.000000	387729760.000000	385788256.000000	
HEX 14 : 14700B40	1294CC40	5A5CA58	
DEC 14 : 342887232.000000	311741504.000000	94751320.000000	
HEX 15 : 556D000	49D2D3	8F4BE20	
DEC 15 : 89575424.000000	4838099.000000	150257184.000000	
HEX 16 : 11072960	158164C0	C351780	
DEC 16 : 285682016.000000	360801472.000000	204806016.000000	
HEX 17 : 187E6F00	18B52100	3FFC1E0	
DEC 17 : 410939136.000000	414523648.000000	67092960.000000	
HEX 18 : 10FCDF00	19C25B40	4D462D0	
DEC 18 : 285007616.000000	432167744.000000	81027792.000000	
HEX 19 : 2A67E20	59F73C0	169F5A60	
DEC 19 : 44465696.000000	94335936.000000	379542112.000000	
HEX 20 : 6B8E1E0	B7A9C40	1A5B1F00	
DEC 20 : 112779744.000000	192584768.000000	442179328.000000	
HEX 21 : 124EAD20	62FDB48	D8FEE20	
DEC 21 : 307146016.000000	103799624.000000	227536416.000000	
HEX 22 : 152FB000	10172D2	659B788	
DEC 22 : 355446784.000000	16872146.000000	106542984.000000	
HEX 23 : 69535A8	1A0091E0	14A67780	
DEC 23 : 110441896.000000	436244960.000000	346453888.000000	
HEX 24 : EF8E2D0	738C698	16ADE100	
DEC 24 : 251192016.000000	121161368.000000	380494080.000000	
HEX 25 : 1FC64B4	7057A58	89E2880	
DEC 25 : 33318068.000000	117799512.000000	144582784.000000	
HEX 26 : A80C690	1DABB4C0	A9002D0	
DEC 26 : 176211600.000000	497792192.000000	177210064.000000	
HEX 27 : B93000	11DFE3C0	AC652D0	
DEC 27 : 12136448.000000	299885504.000000	180769488.000000	
HEX 28 : DCADC40	100FCB40	8226E20	
DEC 28 : 231398464.000000	269470528.000000	136474144.000000	
HEX 29 : 28CE000	2D2B000	15B00F0	
DEC 29 : 42786816.000000	47362048.000000	22741232.000000	
HEX 30 : 17117000	147AB780	1247CA60	
DEC 30 : 387018752.000000	343586688.000000	306694752.000000	
HEX 31 : C0BE000	10CD8E20	1A5B1A60	
DEC 31 : 202104832.000000	281906720.000000	442178144.000000	
HEX 32 : 187E7780	C6864B0	4307C40	
DEC 32 : 410941312.000000	208168112.000000	70286400.000000	
HEX 33 : 187E7000	1621F5A0	B1311E0	
DEC 33 : 410939392.000000	371324320.000000	185799136.000000	
HEX 34 : C9EEE20	12E01E20	12EB33C0	
DEC 34 : 211742240.000000	316677664.000000	317404096.000000	
HEX 35 : 91A32D0	15CBC100	6941968	
DEC 35 : 152711888.000000	365674752.000000	110369128.000000	
HEX 36 : 1E003C4	1B6843C0	1A5B1A60	
DEC 36 : 31458244.000000	459817920.000000	442178144.000000	
HEX 37 : 8D1C1E0	C4452D0	132AE3C0	
DEC 37 : 147964384.000000	205804240.000000	321577920.000000	
HEX 38 : 10FB01E0	4EF8F10	16EDF10	
DEC 38 : 284885472.000000	82808592.000000	24043280.000000	
