Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 53
HEX 1 : 5F835	17773A60	79E969	
DEC 1 : 391221.000000	393689696.000000	7989609.000000	
HEX 2 : 1F7452A0	C878	176C5A6	
DEC 2 : 527717024.000000	51320.000000	24561062.000000	
HEX 3 : 18714CA0	C1153C0	14BD54C0	
DEC 3 : 410078368.000000	202462144.000000	347952320.000000	
HEX 4 : 355A814	144EF10	CF291E0	
DEC 4 : 55945236.000000	21294864.000000	217223648.000000	
HEX 5 : 16FEB500	883BB50	8C59690	
DEC 5 : 385791232.000000	142850896.000000	147166864.000000	
HEX 6 : 17CAD280	15CDD2E	10447960	
DEC 6 : 399168128.000000	22863150.000000	272922976.000000	
HEX 7 : 11FF3820	93D9E20	2377F10	
DEC 7 : 301938720.000000	155033120.000000	37191440.000000	
HEX 8 : 1C4D0860	C1C74B0	3ACFA5C	
DEC 8 : 474810464.000000	203191472.000000	61667932.000000	
HEX 9 : 644F748	7A60A58	11BB0D20	
DEC 9 : 105183048.000000	128322136.000000	297471264.000000	
HEX 10 : 1CF31D00	F206A60	1A168100	
DEC 10 : 485694720.000000	253782624.000000	437682432.000000	
HEX 11 : 1376E020	1879E3C0	15147C40	
DEC 11 : 326557728.000000	410641344.000000	353664064.000000	
HEX 12 : A0C1040	E452000	192C26A0	
DEC 12 : 168562752.000000	239411200.000000	422323872.000000	
HEX 13 : 1D679700	1E1F000	990E1E0	
DEC 13 : 493328128.000000	31584256.000000	160489952.000000	
HEX 14 : 66E1640	1879E3C0	A2C2970	
DEC 14 : 107877952.000000	410641344.000000	170666352.000000	
HEX 15 : EBB4A90	491EC40	16269B40	
DEC 15 : 247155344.000000	76672064.000000	371628864.000000	
HEX 16 : 5F7B6	892B5A0	D97CF10	
DEC 16 : 391094.000000	143832480.000000	228052752.000000	
HEX 17 : 66E9060	804B690	9ADEC40	
DEC 17 : 107909216.000000	134526608.000000	162393152.000000	
HEX 18 : 1B661200	18629960	B3C9F10	
DEC 18 : 459674112.000000	409114976.000000	188522256.000000	
HEX 19 : 5F7B6	10161C40	203DA5C	
DEC 19 : 391094.000000	269884480.000000	33806940.000000	
HEX 20 : 1AE3DB60	EE7D880	B16E690	
DEC 20 : 451140448.000000	250075264.000000	186050192.000000	
HEX 21 : 174122E	14941960	144621E0	
DEC 21 : 24384046.000000	345250144.000000	340140512.000000	
HEX 22 : 18D0C0A0	1879E1E0	3CFD788	
DEC 22 : 416333984.000000	410640864.000000	63952776.000000	
HEX 23 : 125960C0	A9CEA60	1A5B1A60	
DEC 23 : 307847360.000000	178055776.000000	442178144.000000	
HEX 24 : 7313F50	EF8CC40	40753C0	
DEC 24 : 120667984.000000	251186240.000000	67589056.000000	
HEX 25 : 5A595D8	1879E3C0	1A28C1E0	
DEC 25 : 94737880.000000	410641344.000000	438878688.000000	
HEX 26 : 48E17F	2B28C3C	147E1780	
DEC 26 : 4776319.000000	45255740.000000	343807872.000000	
HEX 27 : 4534238	F1D8A60	EC1B690	
DEC 27 : 72565304.000000	253594208.000000	247576208.000000	
HEX 28 : F752550	1879E3C0	AEEE780	
DEC 28 : 259335504.000000	410641344.000000	183428992.000000	
HEX 29 : 15CA9660	15D7C3C	57331E0	
DEC 29 : 365598304.000000	22903868.000000	91435488.000000	
HEX 30 : 5ABEDC8	5ABE5A8	1A07E780	
DEC 30 : 95153608.000000	95151528.000000	436725632.000000	
HEX 31 : 1BDA5DE0	7B351E0	F2DEF10	
DEC 31 : 467295712.000000	129192416.000000	254668560.000000	
HEX 32 : 11D2CBA0	59C32D0	E876E20	
DEC 32 : 299027360.000000	94122704.000000	243756576.000000	
HEX 33 : D6CB6F0	15CB96A0	19E60A60	
DEC 33 : 225228528.000000	365663904.000000	434506336.000000	
HEX 34 : 13FF3F40	D77B0F0	DC18690	
DEC 34 : 335494976.000000	225947888.000000	230786704.000000	
