Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 62
HEX 1 : 1BA60E60	149ABE20	158BE5A0	
DEC 1 : 463867488.000000	345685536.000000	361489824.000000	
HEX 2 : 142D5220	13E08C40	14F72780	
DEC 2 : 338514464.000000	333483072.000000	351741824.000000	
HEX 3 : A76F800	A3B2000	1064C5A0	
DEC 3 : 175568896.000000	171646976.000000	275039648.000000	
HEX 4 : 1AB71800	1877D1E0	758D968	
DEC 4 : 448206848.000000	410505696.000000	123263336.000000	
HEX 5 : 1643EF40	9F8F3C0	1604A1E0	
DEC 5 : 373550912.000000	167310272.000000	369402336.000000	
HEX 6 : 18A7BF40	FA4FD30	1A5B1A60	
DEC 6 : 413646656.000000	262470960.000000	442178144.000000	
HEX 7 : 1E0359E0	22CBE20	416AE20	
DEC 7 : 503536096.000000	36486688.000000	68595232.000000	
HEX 8 : 37CCBC4	1879E3C0	84FC5A0	
DEC 8 : 58510276.000000	410641344.000000	139445664.000000	
HEX 9 : F7D5310	1879E780	11483A60	
DEC 9 : 259871504.000000	410642304.000000	289946208.000000	
HEX 10 : A0E1170	122F5000	1A5B1C40	
DEC 10 : 168694128.000000	305090560.000000	442178624.000000	
HEX 11 : EDD169	14C74B40	168243C0	
DEC 11 : 15585641.000000	348605248.000000	377635776.000000	
HEX 12 : 7753168	1879E5A0	1722E960	
DEC 12 : 125120872.000000	410641824.000000	388163936.000000	
HEX 13 : 16D96E20	1877CB40	1A58C780	
DEC 13 : 383348256.000000	410504000.000000	442025856.000000	
HEX 14 : 1230E960	12C99960	D27B3C0	
DEC 14 : 305195360.000000	315201888.000000	220705728.000000	
HEX 15 : 106F6220	D2453C0	87E3000	
DEC 15 : 275735072.000000	220484544.000000	142487552.000000	
HEX 16 : F025A90	1877CB40	21DF878	
DEC 16 : 251812496.000000	410504000.000000	35518584.000000	
HEX 17 : 1ADE6260	94A1D30	36511E0	
DEC 17 : 450781792.000000	155852080.000000	56955360.000000	
HEX 18 : FE2D130	67E5788	140B9000	
DEC 18 : 266522928.000000	108943240.000000	336302080.000000	
HEX 19 : 1F3DF000	78214B8	9426690	
DEC 19 : 524152832.000000	125965496.000000	155346576.000000	
HEX 20 : 1766BF00	18485B40	E9FB970	
DEC 20 : 392609536.000000	407395136.000000	245348720.000000	
HEX 21 : 13405340	1879E6A0	85675A0	
DEC 21 : 322982720.000000	410642080.000000	139883936.000000	
HEX 22 : 132A1D60	126B0C40	3DDD968	
DEC 22 : 321527136.000000	309005376.000000	64870760.000000	
HEX 23 : 163CE040	3712000	25EBE20	
DEC 23 : 373088320.000000	57745408.000000	39763488.000000	
HEX 24 : DC20130	102B73C0	13A564C0	
DEC 24 : 230818096.000000	271283136.000000	329606336.000000	
HEX 25 : 11202560	F98C1E0	1A5B1C40	
DEC 25 : 287319392.000000	261669344.000000	442178624.000000	
HEX 26 : F476400	79EE3C0	35CDC3C	
DEC 26 : 256336896.000000	127853504.000000	56417340.000000	
HEX 27 : 152485A0	65122D0	9A76880	
DEC 27 : 354715040.000000	105980624.000000	161966208.000000	
HEX 28 : 17F0F120	D484D30	9116D30	
DEC 28 : 401666336.000000	222842160.000000	152137008.000000	
HEX 29 : 1C5B6160	9167C40	1A5ABF00	
DEC 29 : 475750752.000000	152468544.000000	442154752.000000	
HEX 30 : 169EAE60	1879E780	10761E2	
DEC 30 : 379498080.000000	410642304.000000	17261026.000000	
HEX 31 : 1D0F7C40	1CA1696	E0452D0	
DEC 31 : 487554112.000000	30021270.000000	235164368.000000	
HEX 32 : 7C861E	17A442E0	174ED2E	
DEC 32 : 8160798.000000	396640992.000000	24440110.000000	
HEX 33 : F5210B0	18789F00	1A3CF2E0	
DEC 33 : 257036464.000000	410558208.000000	440201952.000000	
HEX 34 : 97EDF10	25B1A5C	BB3C000	
DEC 34 : 159309584.000000	39524956.000000	196329472.000000	
HEX 35 : 970ABC0	9590780	8E8AE20	
DEC 35 : 158378944.000000	156829568.000000	149466656.000000	
HEX 36 : D20A350	3737A5C	1A5B1960	
DEC 36 : 220242768.000000	57899612.000000	442177888.000000	
HEX 37 : 1E6DF520	D9E92D0	13DF04C0	
DEC 37 : 510522656.000000	228496080.000000	333382848.000000	
HEX 38 : 130724C0	B7C2F10	F5D6A60	
DEC 38 : 319235264.000000	192687888.000000	257780320.000000	
HEX 39 : 801A750	15D11F00	2E870F0	
DEC 39 : 134326096.000000	366026496.000000	48787696.000000	
HEX 40 : 48F4788	D6E85A0	18616960	
DEC 40 : 76498824.000000	225346976.000000	409037152.000000	
HEX 41 : 10D581E0	196D1E2	E694A60	
DEC 41 : 282427872.000000	26661346.000000	241781344.000000	
HEX 42 : 6F7A568	5D80788	16B72A60	
DEC 42 : 116893032.000000	98043784.000000	381102688.000000	
HEX 43 : B595260	AC474B0	1A5B1B40	
DEC 43 : 190403168.000000	180647088.000000	442178368.000000	
HEX 44 : 6CF23C0	996E0F0	1BAB000	
DEC 44 : 114238400.000000	160882928.000000	29011968.000000	
