Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 63
HEX 1 : 10849EA0	11F3D4C0	1A5B1C40	
DEC 1 : 277126816.000000	301192384.000000	442178624.000000	
HEX 2 : 514B968	683C000	3E06968	
DEC 2 : 85244264.000000	109297664.000000	65038696.000000	
HEX 3 : CC23BC0	1879E6A0	1A583A60	
DEC 3 : 214055872.000000	410642080.000000	441989728.000000	
HEX 4 : 241D3C4	E326A60	1A5B1780	
DEC 4 : 37868484.000000	238185056.000000	442177408.000000	
HEX 5 : 15DB7C40	16D134C0	7B83C4	
DEC 5 : 366705728.000000	382809280.000000	8094660.000000	
HEX 6 : 14D2F700	164152E0	B7C9880	
DEC 6 : 349370112.000000	373379808.000000	192714880.000000	
HEX 7 : 168F1340	1871C000	132C31E0	
DEC 7 : 378475328.000000	410107904.000000	321663456.000000	
HEX 8 : 19A0AD2	18763780	13026E20	
DEC 8 : 26872530.000000	410400640.000000	318926368.000000	
HEX 9 : 1AD44B4	16654E20	19420F0	
DEC 9 : 28132532.000000	375737888.000000	26484976.000000	
HEX 10 : 26064B4	DA85A60	37FDC3C	
DEC 10 : 39871668.000000	229136992.000000	58711100.000000	
HEX 11 : 18690620	1153E5A0	6716E20	
DEC 11 : 409536032.000000	290710944.000000	108097056.000000	
HEX 12 : 1D70EB40	13FF61E0	915E1E	
DEC 12 : 493939520.000000	335503840.000000	9526814.000000	
HEX 13 : 1AF47E20	CE3F5A0	8F82D3	
DEC 13 : 452230688.000000	216266144.000000	9405139.000000	
HEX 14 : 8FF7080	17613F00	13EA23C0	
DEC 14 : 150958208.000000	392249088.000000	334111680.000000	
HEX 15 : 9562A60	D6773C0	903BB50	
DEC 15 : 156641888.000000	224883648.000000	151239504.000000	
HEX 16 : 14A3BF00	ECBCD30	C7F1A60	
DEC 16 : 346275584.000000	248237360.000000	209656416.000000	
HEX 17 : 1F13B3C0	2ADCD2C	BCEEB50	
DEC 17 : 521384896.000000	44944684.000000	198110032.000000	
HEX 18 : F9459E0	182B8E20	66F63C0	
DEC 18 : 261380576.000000	405507616.000000	107963328.000000	
HEX 19 : 8A7A620	1879E2E0	37E95A4	
DEC 19 : 145204768.000000	410641120.000000	58627492.000000	
HEX 20 : 182959E0	1204E880	1A55E780	
DEC 20 : 405363168.000000	302311552.000000	441837440.000000	
HEX 21 : 12D94CC0	3096F10	6DEF2D0	
DEC 21 : 316230848.000000	50949904.000000	115274448.000000	
HEX 22 : 9E0A260	FFA8D30	157B92E0	
DEC 22 : 165716576.000000	268078384.000000	360420064.000000	
HEX 23 : 1449C260	1879CF00	1A59F5A0	
DEC 23 : 340378208.000000	410636032.000000	442103200.000000	
HEX 24 : 109EFF00	114C6C40	1267A3C0	
DEC 24 : 278855424.000000	290221120.000000	308782016.000000	
HEX 25 : 182CABC0	410AE20	1A5B21E0	
DEC 25 : 405580736.000000	68202016.000000	442180064.000000	
HEX 26 : 1BBF96A0	1879F2E0	D7051E0	
DEC 26 : 465540768.000000	410645216.000000	225464800.000000	
HEX 27 : 65B8168	14830E20	1A5B2F00	
DEC 27 : 106660200.000000	344133152.000000	442183424.000000	
HEX 28 : B0612D0	5661878	14AB1E20	
DEC 28 : 184947408.000000	90577016.000000	346758688.000000	
HEX 29 : 4F8E4B8	13625100	7A44A58	
DEC 29 : 83420344.000000	325210368.000000	128207448.000000	
HEX 30 : 522FCB8	A2F94B0	14ABE960	
DEC 30 : 86179000.000000	170890416.000000	346810720.000000	
HEX 31 : 1DFDB620	152A3E20	13D172E0	
DEC 31 : 503166496.000000	355089952.000000	332493536.000000	
HEX 32 : 2C3B0F0	C52BC40	DDA5000	
DEC 32 : 46379248.000000	206748736.000000	232411136.000000	
HEX 33 : 1A255800	A354A60	A3064B0	
DEC 33 : 438654976.000000	171264608.000000	170943664.000000	
HEX 34 : 1C435E20	1879E5A0	1A5B1D20	
DEC 34 : 474177056.000000	410641824.000000	442178848.000000	
HEX 35 : E41B880	12FFC3C	D55AF10	
DEC 35 : 239188096.000000	19921980.000000	223719184.000000	
HEX 36 : F8FC9E0	1879EA60	106475A0	
DEC 36 : 261081568.000000	410643040.000000	275019168.000000	
HEX 37 : 1BDE2520	591F878	2FDE698	
DEC 37 : 467543328.000000	93452408.000000	50194072.000000	
HEX 38 : B9223C0	A7E9B50	1A5B1E20	
DEC 38 : 194126784.000000	176069456.000000	442179104.000000	
HEX 39 : 15198440	A6E73C0	49AF698	
DEC 39 : 353993792.000000	175010752.000000	77264536.000000	
HEX 40 : 1F924D20	10AEFA60	1A525A60	
DEC 40 : 529681696.000000	279902816.000000	441604704.000000	
HEX 41 : 11569A60	10C8D960	320D968	
DEC 41 : 290888288.000000	281598304.000000	52484456.000000	
HEX 42 : FD73BC0	44A30F0	1A5B1A60	
DEC 42 : 265763776.000000	71971056.000000	442178144.000000	
HEX 43 : 117E63C0	7F592D0	CBA2E20	
DEC 43 : 293495744.000000	133534416.000000	213528096.000000	
HEX 44 : 514F9E0	43D82D0	100D5960	
DEC 44 : 85260768.000000	71140048.000000	269310304.000000	
HEX 45 : 1E1E3780	D6122D0	FBE6B50	
DEC 45 : 505296768.000000	224469712.000000	264137552.000000	
HEX 46 : E3D60F0	129ABF00	B61E690	
DEC 46 : 238903536.000000	312131328.000000	190965392.000000	
HEX 47 : 6152620	556FA58	1A5B2000	
DEC 47 : 102049312.000000	89586264.000000	442179584.000000	
HEX 48 : FE1969	1879EE20	B813970	
DEC 48 : 16652649.000000	410644000.000000	193018224.000000	
HEX 49 : CB811E0	976A1E0	3901878	
DEC 49 : 213389792.000000	158769632.000000	59775096.000000	
HEX 50 : 130B1960	AFAD5A0	190DA2E0	
DEC 50 : 319494496.000000	184210848.000000	420324064.000000	
HEX 51 : 9DAD1E0	1120B3C0	25F70F0	
DEC 51 : 165335520.000000	287355840.000000	39809264.000000	
HEX 52 : 1A1BF340	A448E20	168D32E0	
DEC 52 : 438039360.000000	172264992.000000	378352352.000000	
HEX 53 : B7A30F0	B332E20	FE371E0	
DEC 53 : 192557296.000000	187903520.000000	266564064.000000	
HEX 54 : 9653690	5F50C40	A1FDB50	
DEC 54 : 157628048.000000	99945536.000000	169859920.000000	
HEX 55 : 18184900	10908100	12F2C4C0	
DEC 55 : 404244736.000000	277905664.000000	317899968.000000	
HEX 56 : 1A122000	5F074B8	10641100	
DEC 56 : 437395456.000000	99644600.000000	274993408.000000	
HEX 57 : 77C2D30	12217C40	EACF3C0	
DEC 57 : 125578544.000000	304184384.000000	246215616.000000	
HEX 58 : 987E8F0	1879E3C0	B2D3F10	
DEC 58 : 159901936.000000	410641344.000000	187514640.000000	
HEX 59 : 15C11BC0	8455A6	D717970	
DEC 59 : 364977088.000000	8672678.000000	225540464.000000	
HEX 60 : 134A64C0	599DE20	13CA4D20	
DEC 60 : 323642560.000000	93969952.000000	332025120.000000	
HEX 61 : 1ABA9780	1879E4C0	5FA8B48	
DEC 61 : 448436096.000000	410641600.000000	100305736.000000	
HEX 62 : 3A48CB4	12D6696	94215A0	
DEC 62 : 61115572.000000	19752598.000000	155325856.000000	
HEX 63 : BAB54B0	CB33C4	52381E0	
DEC 63 : 195777712.000000	13317060.000000	86213088.000000	
64 : 0.000000	0.000000	0.000000	
65 : 0.000000	0.000000	0.000000	
