Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 65
HEX 1 : 166FC3C0	945697	276E698	
DEC 1 : 376423360.000000	9721495.000000	41346712.000000	
HEX 2 : B2F800	A2BBD30	67B3968	
DEC 2 : 11728896.000000	170638640.000000	108738920.000000	
HEX 3 : C171DA0	378969	1358E100	
DEC 3 : 202841504.000000	3639657.000000	324591872.000000	
HEX 4 : 1BAABB40	3979698	1A5B1A60	
DEC 4 : 464173888.000000	60266136.000000	442178144.000000	
HEX 5 : 117D0440	1195F100	1A5B2000	
DEC 5 : 293405760.000000	295039232.000000	442179584.000000	
HEX 6 : 605DC40	F4865A0	CEFFF10	
DEC 6 : 101047360.000000	256402848.000000	217054992.000000	
HEX 7 : 1623BEA0	FE0BC40	FDF8690	
DEC 7 : 371441312.000000	266386496.000000	266307216.000000	
HEX 8 : 103C73C0	CAAEE20	134502E0	
DEC 8 : 272397248.000000	212528672.000000	323289824.000000	
HEX 9 : 1D68B100	FCB54B0	11E31000	
DEC 9 : 493400320.000000	264983728.000000	300093440.000000	
HEX 10 : 7E300F0	ACA0690	4535B48	
DEC 10 : 132317424.000000	181012112.000000	72571720.000000	
HEX 11 : B752BC0	A2ECD30	E021780	
DEC 11 : 192228288.000000	170839344.000000	235018112.000000	
HEX 12 : 1824ED20	11E175A0	16D955A0	
DEC 12 : 405073184.000000	299988384.000000	383341984.000000	
HEX 13 : DA9A440	3191E20	1A5B1880	
DEC 13 : 229221440.000000	51977760.000000	442177664.000000	
HEX 14 : DFCC0F0	11F091E0	908697	
DEC 14 : 234668272.000000	300978656.000000	9471639.000000	
HEX 15 : 374D0F0	1879E960	17CCEB40	
DEC 15 : 57987312.000000	410642784.000000	399305536.000000	
HEX 16 : 1E9911E0	1879E3C0	223B5A4	
DEC 16 : 513348064.000000	410641344.000000	35894692.000000	
HEX 17 : 1B6E9E2	11987960	7364B48	
DEC 17 : 28764642.000000	295205216.000000	120998728.000000	
HEX 18 : 82D0080	1879F1E0	11EED5A0	
DEC 18 : 137166976.000000	410644960.000000	300864928.000000	
HEX 19 : 14000880	7651878	F6EC4B0	
DEC 19 : 335546496.000000	124065912.000000	258917552.000000	
HEX 20 : A97DE90	76940F0	14FD11E0	
DEC 20 : 177725072.000000	124338416.000000	352129504.000000	
HEX 21 : EACA4B0	A75B000	11562D2	
DEC 21 : 246195376.000000	175484928.000000	18178770.000000	
HEX 22 : 5261258	FA8788	5065B48	
DEC 22 : 86381144.000000	16418696.000000	84302664.000000	
HEX 23 : 18F3E2E0	1879E5A0	82082D0	
DEC 23 : 418636512.000000	410641824.000000	136348368.000000	
HEX 24 : 9BF3620	17F8D000	A962D30	
DEC 24 : 163526176.000000	402182144.000000	177614128.000000	
HEX 25 : 2E51E20	16212B40	D1B3000	
DEC 25 : 48569888.000000	371272512.000000	219885568.000000	
HEX 26 : 1528A900	11FFCA60	8B73880	
DEC 26 : 354986240.000000	301976160.000000	146225280.000000	
HEX 27 : 5B0F0	424D698	14A3A960	
DEC 27 : 372976.000000	69523096.000000	346270048.000000	
HEX 28 : 1DCFAD20	15626960	1A5B31E0	
DEC 28 : 500149536.000000	358771040.000000	442184160.000000	
HEX 29 : 19B71000	AAA71E0	BC80C40	
DEC 29 : 431427584.000000	178942432.000000	197659712.000000	
HEX 30 : 14ABB4C0	3C14878	15FD5780	
DEC 30 : 346797248.000000	62998648.000000	368924544.000000	
HEX 31 : 1ACCD3C0	A30C3C0	3DF9A5C	
DEC 31 : 449631168.000000	170968000.000000	64985692.000000	
HEX 32 : 85E6170	135FD780	1A5B2F00	
DEC 32 : 140403056.000000	325048192.000000	442183424.000000	
HEX 33 : 6250F88	12CC7880	11FD96A	
DEC 33 : 103092104.000000	315390080.000000	18864490.000000	
HEX 34 : 1EA58A60	281000	23C9878	
DEC 34 : 514165344.000000	2625536.000000	37525624.000000	
HEX 35 : D1C1440	136791E0	1481C780	
DEC 35 : 219944000.000000	325554656.000000	344049536.000000	
HEX 36 : 3DF1DA4	A8B65A0	13AFFE20	
DEC 36 : 64953764.000000	176907680.000000	330300960.000000	
HEX 37 : 1480BB40	1877E3C0	16483960	
DEC 37 : 343980864.000000	410510272.000000	373832032.000000	
HEX 38 : 1777CE20	17464B40	F68FE20	
DEC 38 : 393727520.000000	390482752.000000	258539040.000000	
HEX 39 : 1B20E1E0	773CA58	13BFA780	
DEC 39 : 455139808.000000	125028952.000000	331327360.000000	
HEX 40 : 14BB0800	EDC7970	1E283C4	
DEC 40 : 347801600.000000	249330032.000000	31622084.000000	
HEX 41 : 1D15FE20	D695A60	1A5B1960	
DEC 41 : 487980576.000000	225008224.000000	442177888.000000	
HEX 42 : 164CE080	16C4F6A0	14A41E2	
DEC 42 : 374136960.000000	382006944.000000	21643746.000000	
HEX 43 : 13033A60	40F5000	8C13C40	
DEC 43 : 318978656.000000	68112384.000000	146881600.000000	
HEX 44 : 1DADDD20	1879E880	137DFF00	
DEC 44 : 497933600.000000	410642560.000000	327024384.000000	
HEX 45 : 1B9B9A60	11A4B5A0	32BD788	
DEC 45 : 463182432.000000	296007072.000000	53204872.000000	
HEX 46 : A665170	114D8000	7274878	
DEC 46 : 174477680.000000	290291712.000000	120014968.000000	
HEX 47 : 1F5226A0	187273C0	C24DF10	
DEC 47 : 525477536.000000	410153920.000000	203742992.000000	
HEX 48 : 7735698	BE74880	1A2BD6A0	
DEC 48 : 124999320.000000	199706752.000000	439080608.000000	
