Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 59
HEX 1 : 1D4433C0	4A0C5A8	CFAE780	
DEC 1 : 491008960.000000	77645224.000000	217769856.000000	
HEX 2 : 64045A8	DC270F0	130F8A60	
DEC 2 : 104875432.000000	230846704.000000	319785568.000000	
HEX 3 : AF094B0	5D92000	371B968	
DEC 3 : 183538864.000000	98115584.000000	57784680.000000	
HEX 4 : 1CCD2D2	7A8DB48	18C40100	
DEC 4 : 30200530.000000	128506696.000000	415498496.000000	
HEX 5 : 12B8EB40	1879E3C0	1737E2E0	
DEC 5 : 314108736.000000	410641344.000000	389538528.000000	
HEX 6 : 61F34B8	120000	32241E0	
DEC 6 : 102708408.000000	1179648.000000	52576736.000000	
HEX 7 : 19491C40	175156A0	13B70960	
DEC 7 : 424221760.000000	391206560.000000	330762592.000000	
HEX 8 : 1CB7EF00	1879B4C0	1A58ED20	
DEC 8 : 481816320.000000	410629312.000000	442035488.000000	
HEX 9 : D562970	14FB33C0	A154D30	
DEC 9 : 223750512.000000	352007104.000000	169168176.000000	
HEX 10 : C36E0F0	11C723C0	10D40960	
DEC 10 : 204923120.000000	298263488.000000	282331488.000000	
HEX 11 : 179F5C40	CF18D30	67BB2D0	
DEC 11 : 396319808.000000	217156912.000000	108770000.000000	
HEX 12 : 1E46E4C0	1879E6A0	3932698	
DEC 12 : 507962560.000000	410642080.000000	59975320.000000	
HEX 13 : 1E5D0000	9BFA880	575D3C0	
DEC 13 : 509411328.000000	163555456.000000	91608000.000000	
HEX 14 : D335A60	5A9E698	F36BF10	
DEC 14 : 221469280.000000	95020696.000000	255246096.000000	
HEX 15 : 107F2880	1879E4C0	FFD7D30	
DEC 15 : 276768896.000000	410641600.000000	268270896.000000	
HEX 16 : 39784B4	14823A60	110B5C40	
DEC 16 : 60261556.000000	344078944.000000	285957184.000000	
HEX 17 : 138FDF00	7E78A58	128F9C40	
DEC 17 : 328195840.000000	132614744.000000	311401536.000000	
HEX 18 : 45094B8	14D73780	56CBB48	
DEC 18 : 72389816.000000	349648768.000000	91011912.000000	
HEX 19 : 196EE100	1879E780	956D780	
DEC 19 : 426696960.000000	410642304.000000	156686208.000000	
HEX 20 : 16B7E000	5FF00F0	98644B0	
DEC 20 : 381149184.000000	100598000.000000	159794352.000000	
HEX 21 : 161F5D20	70445A8	216A1E0	
DEC 21 : 371154208.000000	117720488.000000	35037664.000000	
HEX 22 : 1F97D4C0	E164B5	133CBC40	
DEC 22 : 530044096.000000	14771381.000000	322747456.000000	
HEX 23 : 12D8F000	1879E5A0	46E7B48	
DEC 23 : 316207104.000000	410641824.000000	74349384.000000	
HEX 24 : E0A2970	1AB5B4C	8E2FE20	
DEC 24 : 235546992.000000	28007244.000000	149093920.000000	
HEX 25 : 1476A100	137AA880	BFDED30	
DEC 25 : 343318784.000000	326805632.000000	201190704.000000	
HEX 26 : BE0D880	18644780	1A5B1960	
DEC 26 : 199284864.000000	409225088.000000	442177888.000000	
HEX 27 : 90A1C40	EC17000	5BDEB48	
DEC 27 : 151657536.000000	247558144.000000	96332616.000000	
HEX 28 : 1BA9CC40	103983C0	12DCC3C0	
DEC 28 : 464112704.000000	272204736.000000	316457920.000000	
HEX 29 : 19E13C40	848AE20	1A5B1960	
DEC 29 : 434191424.000000	138980896.000000	442177888.000000	
HEX 30 : 1C695A6	33AE4B4	EBC45A0	
DEC 30 : 29791654.000000	54191284.000000	247219616.000000	
HEX 31 : 98E2880	BB745A0	C9C71E0	
DEC 31 : 160311424.000000	196560288.000000	211579360.000000	
HEX 32 : 6F5D3C0	6454968	13623B40	
DEC 32 : 116773824.000000	105204072.000000	325204800.000000	
HEX 33 : 17ADD2E	AB9CC40	E169E20	
DEC 33 : 24829230.000000	179948608.000000	236363296.000000	
HEX 34 : 117DE1E0	111AAC40	524E1E0	
DEC 34 : 293462496.000000	286960704.000000	86303200.000000	
HEX 35 : 9A58C40	1879E6A0	131D95A0	
DEC 35 : 161844288.000000	410642080.000000	320705952.000000	
HEX 36 : 171D15A0	CB8AE20	DFDF880	
DEC 36 : 387782048.000000	213429792.000000	234748032.000000	
HEX 37 : 2AEB3C4	6AB8878	4614788	
DEC 37 : 45003716.000000	111904888.000000	73484168.000000	
HEX 38 : 17D3C100	1D10E1E	115CB6A0	
DEC 38 : 399753472.000000	30477854.000000	291288736.000000	
HEX 39 : 1DBCF6A0	114016A0	59F1968	
DEC 39 : 498923168.000000	289412768.000000	94312808.000000	
HEX 40 : 10DD1D20	ACF43C0	9FD1A60	
DEC 40 : 282926368.000000	181355456.000000	167582304.000000	
HEX 41 : 10CAC960	1039000	13EC31E0	
DEC 41 : 281725280.000000	17010688.000000	334246368.000000	
HEX 42 : 1BAC878	D9CF3C0	7239D30	
DEC 42 : 29018232.000000	228389824.000000	119774512.000000	
HEX 43 : F20C5A0	B7BF1E0	B9E5A6	
DEC 43 : 253805984.000000	192672224.000000	12182950.000000	
HEX 44 : 7608A58	4FD5D30	A058B50	
DEC 44 : 123767384.000000	83713328.000000	168135504.000000	
HEX 45 : D0D65A0	B1FC5A0	14EDB1E0	
DEC 45 : 218981792.000000	186631584.000000	351121888.000000	
HEX 46 : 1790B5A0	144BB4C	18E68C40	
DEC 46 : 395359648.000000	21281612.000000	417762368.000000	
HEX 47 : 1B1D7960	8B263C0	12F0A3C0	
