Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 50
HEX 1 : 124E5780	130662E0	13D1D2E	
DEC 1 : 307124096.000000	319185632.000000	20782382.000000	
HEX 2 : 141073C0	807C5A0	102821E0	
DEC 2 : 336622528.000000	134727072.000000	271065568.000000	
HEX 3 : 107B32E0	E9A2F10	124563C0	
DEC 3 : 276509408.000000	244985616.000000	306537408.000000	
HEX 4 : 135EFE20	1879E3C0	895F0F0	
DEC 4 : 324992544.000000	410641344.000000	144044272.000000	
HEX 5 : 15FEBD20	C891880	17189F00	
DEC 5 : 369016096.000000	210311296.000000	387489536.000000	
HEX 6 : 4642A58	61D74B8	EED53C0	
DEC 6 : 73673304.000000	102593720.000000	250434496.000000	
HEX 7 : 187AAA60	4EB4B	5CBEB48	
DEC 7 : 410692192.000000	322379.000000	97250120.000000	
HEX 8 : 897A2D0	E17C3C	1256EF00	
DEC 8 : 144155344.000000	14777404.000000	307687168.000000	
HEX 9 : 170AFE20	17B6CB40	F1D60F0	
DEC 9 : 386596384.000000	397855552.000000	253583600.000000	
HEX 10 : ECD31E0	4852E20	148D2960	
DEC 10 : 248328672.000000	75836960.000000	344795488.000000	
HEX 11 : 187E7100	E996880	104CCA60	
DEC 11 : 410939648.000000	244934784.000000	273468000.000000	
HEX 12 : 9238780	111B3880	131F7000	
DEC 12 : 153323392.000000	286996608.000000	320827392.000000	
HEX 13 : FD43970	1074F880	1A5B1A60	
DEC 13 : 265566576.000000	276101248.000000	442178144.000000	
HEX 14 : 7D394B8	F7A70F0	1A5B1D20	
DEC 14 : 131306680.000000	259682544.000000	442178848.000000	
HEX 15 : 2D8DF10	14AEF100	1829EE20	
DEC 15 : 47767312.000000	347009280.000000	405401120.000000	
HEX 16 : 58715A8	CB7E4B0	3DB84B4	
DEC 16 : 92738984.000000	213378224.000000	64718004.000000	
HEX 17 : 812A000	1879F3C0	12029C40	
DEC 17 : 135438336.000000	410645440.000000	302160960.000000	
